model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,interrogative,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What was the nationality of Oliver Reed's character in the film Royal Flash?,0.9773578643798828,In the film,In the film,0.0,1.000000238418579,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,1,global,interrogative,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug was performed by the Pacific Mozart Ensemble in 2002?,0.9432644844055176,Pacific Mozart Ensemble performed,The German composer,0.0,0.8485146164894104,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,2,global,interrogative,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who was the first to release the song ""With or Without You,"" Jai McDowall or U2?",0.9769418835639954,**,"The song ""With",0.0,0.8258920311927795,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,3,global,interrogative,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",0.9998205900192261,The Kentucky county with,The Kentucky county with,100.00000000000004,1.0,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,4,global,interrogative,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","What is the estimated population of Para Hills West, South Australia?",0.9174759984016418,The,According to the **,0.0,0.861783504486084,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,5,global,interrogative,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,The narrator of,The narrator of,0.0,1.000000238418579,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,6,global,interrogative,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","When was Thomas Fitch defending John Henry Holliday, who was accused of killing men during the gunfight at the O.K. Corral?",0.9450029730796814,The gunfight at,Thomas Fitch did not,0.0,0.809956967830658,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,7,global,interrogative,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,What 2016 Punjabi film directed by Smeep Kang did the actor that played Gutthi on Comedy Nights with Kapil Show also star in?,0.9506701827049255,The actor who played,The actor who played,100.00000000000004,1.0,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,8,global,interrogative,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Which brother of Eddie Murphy starred in Twisted Fortune, directed by Victor Varnada?",0.9348964095115662,The brother of,The brother of Eddie,59.460355750136046,0.9370562434196472,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,9,global,interrogative,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain to the Bishop of Lincoln after his curacy at the village that is a suburb of Scunthorpe?,0.9607990980148315,This sounds like **,This,0.0,0.8493514657020569,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,10,global,interrogative,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are the first two words of the fifth studio album of Joseph Edgar Foreman?,0.9942041635513306,The first two,The first,0.0,0.9125295877456665,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,11,global,interrogative,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the first position held by the commander of the Twelfth United States Army Group?,0.9186240434646606,The Twelfth United States,The commander of,0.0,0.8118976354598999,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,12,global,interrogative,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,In which New York county was politician Lyman Sherwood born?,0.9387792348861694,Lyman,Lyman Sherwood,0.0,0.9015633463859558,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,13,global,interrogative,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who originally founded the oil company owned by Robert Earl Holding?,0.9113263487815857,Robert Earl Holding owned,Robert Earl Holding acquired,59.460355750136046,0.9606273174285889,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,14,global,interrogative,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who is the lead singer of the band that performs ""November Rain,"" which is referenced in the chorus of ""On the Radio""?",0.914697527885437,The band that,The lead singer,0.0,0.8700183629989624,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,15,global,interrogative,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?","Was the Charhki Dadri crash less dangerous than the Tenerife airport disaster, and which occurred first?",0.9398341774940491,The information provided,Yes,0.0,0.8327165246009827,,,,,0.0,0.0,0.0,,
