model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,0.25,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?",Best exercise for arthritis?,0.8783136606216431,For someone,"The ""best",0.0,0.8745333552360535,,,,0.0,0.0,-0.12168627977371216,-0.12546676397323608,,0.0
gemini-2.5-flash,1,global,0.25,alpaca,"Instruction:
Calculate the atomic mass for lithium.",Lithium mass?,0.8613904714584351,To,The **,0.0,0.9104080200195312,,,,0.0,0.0,-0.13860946893692017,-0.0895918607711792,,0.0
gemini-2.5-flash,2,global,0.25,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",Binary to ASCII conversion?,0.8243435621261597,Let',Binary to ASCII,0.0,0.8322640061378479,,,,0.0,0.0,-0.17565643787384033,-0.16773611307144165,,0.0
gemini-2.5-flash,3,global,0.25,alpaca,"Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.",She felt fear.,0.8638916611671448,Here are several,This is a very,0.0,0.8962509632110596,,,,0.0,-100.00000000000004,-0.13610833883285522,-0.10374903678894043,,0.0
gemini-2.5-flash,4,global,0.25,alpaca,"Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard",Ideas to promote skateboard,0.8747648596763611,Here are 3,Promoting skateboarding,0.0,0.8186567425727844,,,,0.0,0.0,-0.12523525953292847,-0.11443239450454712,,0.0
gemini-2.5-flash,5,global,0.25,alpaca,"Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.",Pick up the book.,0.8711336255073547,Pick up the book,"As an AI,",0.0,0.8573272228240967,,,,0.0,-100.00000000000004,-0.12886637449264526,-0.14267271757125854,,0.0
gemini-2.5-flash,6,global,0.25,alpaca,"Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.",Four people go on a picnic.,0.8655502200126648,"The """,That,0.0,0.9260298609733582,,,,0.0,0.0,-0.1344497799873352,-0.0739700198173523,,0.0
gemini-2.5-flash,7,global,0.25,alpaca,"Instruction:
Explain the concept of Big Data and what it means for companies and customers.",What is Big Data's impact?,0.8879432082176208,Let,Big Data,0.0,0.8820271492004395,,,,0.0,0.0,-0.11205679178237915,0.03240501880645752,,0.0
gemini-2.5-flash,8,global,0.25,alpaca,"Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase",Fruitless search,0.8074811100959778,"The phrase """,This phrase perfectly encapsulates,15.97357760615681,0.8598341941833496,,,,0.0,15.97357760615681,-0.19251900911331177,-0.08125263452529907,,0.0
gemini-2.5-flash,9,global,0.25,alpaca,"Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?",Three sources for online learning benefits?,0.8848106861114502,Here are three,Here are three excellent,59.460355750136046,0.9624636769294739,,,,0.0,59.460355750136046,-0.11518925428390503,-0.03753632307052612,,0.0
gemini-2.5-flash,10,global,0.25,alpaca,"Instruction:
Arrange the following countries in ascending order of GDP per capita.

Input:
China, US, India, Japan",Order countries by GDP per capita.,0.8862702250480652,Here are,Ordering,0.0,0.9153598546981812,,,,0.0,0.0,-0.11372989416122437,-0.0846400260925293,,0.0
gemini-2.5-flash,11,global,0.25,alpaca,"Instruction:
Name the boat depicted in the provided photo.

Input:
Attached photo",What boat?,0.844144880771637,"I am sorry,",I'd,0.0,0.8271328210830688,,,,0.0,0.0,-0.15585505962371826,-0.13733673095703125,,0.0
gemini-2.5-flash,12,global,0.25,alpaca,"Instruction:
Edit the grammar and punctuation of the given sentence.

Input:
Humor is one of the most important ingredients of life",Is humor essential in life?,0.8661957383155823,Humor,"While """,0.0,0.8503143191337585,,,,0.0,0.0,-0.13380426168441772,-0.149685800075531,,0.0
gemini-2.5-flash,13,global,0.25,alpaca,"Instruction:
Calculate the length of the hypotenuse in the following triangle.

Input:
![alt text](https://www.onlinemathlearning.com/image-files/triangle-hypotenuse-length.png ""Right Triangle"")",Find hypotenuse length?,0.8282957077026367,To,I,0.0,0.9986104965209961,,,,0.0,0.0,-0.1717042326927185,-0.0013893842697143555,,0.0
gemini-2.5-flash,14,global,0.25,alpaca,"Instruction:
How many instruments does a symphony orchestra typically have?",Number of instruments?,0.87187659740448,A symphony,That,0.0,0.8555076122283936,,,,0.0,0.0,-0.12812352180480957,-0.14449238777160645,,0.0
gemini-2.5-flash,15,global,0.25,alpaca,"Instruction:
Summarize the phrase: ""GPT is a natural language processing architecture.""",GPT architecture,0.8572410941123962,GPT is a design,The GPT (Gener,15.97357760615681,0.8571652770042419,,,,0.0,15.97357760615681,-0.14275890588760376,-0.08335143327713013,,0.0
gemini-2.5-flash,0,global,0.5,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?",What is the best exercise for someone with arthritis?,0.9382757544517517,For someone,There,0.0,0.8863955140113831,,,,0.0,0.0,-0.061724185943603516,-0.1136046051979065,,0.0
gemini-2.5-flash,1,global,0.5,alpaca,"Instruction:
Calculate the atomic mass for lithium.",Find lithium's atomic mass.,0.9179789423942566,To,The atomic,0.0,0.9066617488861084,,,,0.0,0.0,-0.08202099800109863,-0.09333813190460205,,0.0
gemini-2.5-flash,2,global,0.5,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",Convert this binary code to ASCII characters.,0.8691933155059814,Let',Please provide,0.0,0.8847084641456604,,,,0.0,0.0,-0.13080668449401855,-0.11529165506362915,,0.0
gemini-2.5-flash,3,global,0.5,alpaca,"Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.",She felt afraid.,0.8660901784896851,Here are several,This is a,0.0,0.9087771773338318,,,,0.0,-100.00000000000004,-0.13390982151031494,-0.09122282266616821,,0.0
gemini-2.5-flash,4,global,0.5,alpaca,"Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard",Suggest 3 ways to promote the motorized skateboard.,0.8968310952186584,Here are 3,Here are 3,0.0,1.0,,,,0.0,0.0,-0.1031690239906311,0.06691086292266846,,0.0
gemini-2.5-flash,5,global,0.5,alpaca,"Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.",Pick up the book from the shelf.,0.8959327936172485,Pick up the book,"As an AI,",0.0,0.8573272228240967,,,,0.0,-100.00000000000004,-0.10406720638275146,-0.14267271757125854,,0.0
gemini-2.5-flash,6,global,0.5,alpaca,"Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.",Four people are going on a picnic trip together.,0.8871864676475525,"The """,That,0.0,0.9260298609733582,,,,0.0,0.0,-0.11281353235244751,-0.0739700198173523,,0.0
gemini-2.5-flash,7,global,0.5,alpaca,"Instruction:
Explain the concept of Big Data and what it means for companies and customers.",What is Big Data and its impact on companies and customers?,0.9184566736221313,Let's break,Let,0.0,0.8496221899986267,,,,0.0,0.0,-0.08154332637786865,5.960464477539063e-08,,0.0
gemini-2.5-flash,8,global,0.5,alpaca,"Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase","What are the connotations of ""wild goose chase""?",0.8747693300247192,"The phrase ""","""Wild goose",0.0,0.8156024813652039,,,,0.0,0.0,-0.1252307891845703,-0.12548434734344482,,0.0
gemini-2.5-flash,9,global,0.5,alpaca,"Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?",What are three sources discussing online learning benefits?,0.8878264427185059,Here are three,Here are three,0.0,1.0,,,,0.0,0.0,-0.11217349767684937,0.0,,0.0
gemini-2.5-flash,10,global,0.5,alpaca,"Instruction:
Arrange the following countries in ascending order of GDP per capita.

Input:
China, US, India, Japan","Order China, US, India, Japan by GDP per capita.",0.9108685851097107,Here are,"Ordering China, US",0.0,0.8260627388954163,,,,0.0,0.0,-0.08913153409957886,-0.1739371418952942,,0.0
gemini-2.5-flash,11,global,0.5,alpaca,"Instruction:
Name the boat depicted in the provided photo.

Input:
Attached photo",What boat is shown in the photo?,0.8702376484870911,"I am sorry,",I,0.0,0.8205527067184448,,,,0.0,0.0,-0.12976229190826416,-0.14391684532165527,,0.0
gemini-2.5-flash,12,global,0.5,alpaca,"Instruction:
Edit the grammar and punctuation of the given sentence.

Input:
Humor is one of the most important ingredients of life",Is humor one of life's most important ingredients?,0.8869187235832214,Humor,"While ""most",0.0,0.8377720713615417,,,,0.0,0.0,-0.11308127641677856,-0.1622280478477478,,0.0
gemini-2.5-flash,13,global,0.5,alpaca,"Instruction:
Calculate the length of the hypotenuse in the following triangle.

Input:
![alt text](https://www.onlinemathlearning.com/image-files/triangle-hypotenuse-length.png ""Right Triangle"")",What is the hypotenuse length in this triangle?,0.8470284342765808,To,I',0.0,0.92155522108078,,,,0.0,0.0,-0.15297150611877441,-0.07844465970993042,,0.0
gemini-2.5-flash,14,global,0.5,alpaca,"Instruction:
How many instruments does a symphony orchestra typically have?",How many instruments are in a symphony?,0.9241220355033875,A symphony,That's,0.0,0.8539042472839355,,,,0.0,0.0,-0.0758780837059021,-0.14609575271606445,,0.0
gemini-2.5-flash,15,global,0.5,alpaca,"Instruction:
Summarize the phrase: ""GPT is a natural language processing architecture.""",What is GPT's architecture?,0.8729100823402405,GPT is a design,GPT (Gener,0.0,0.8876314163208008,,,,0.0,0.0,-0.12708991765975952,-0.05288529396057129,,0.0
gemini-2.5-flash,0,global,1.0,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?","Instruction:
What would be the best type of exercise for a person who has arthritis?",0.9999999403953552,For someone,For someone,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,1,global,1.0,alpaca,"Instruction:
Calculate the atomic mass for lithium.","Instruction:
Calculate the atomic mass for lithium.",0.9999999403953552,To,To,0.0,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,2,global,1.0,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100","Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",1.0,Let',Let',0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
