model,place,strength,cot_steps_mean,cot_steps_std,n_prompts,cot_correct_mean,cot_correct_std
G-2B,global,imperative,3.22,1.26,73,0.0411,0.1999
G-2B,global,interrogative,3.34,1.2,88,0.0227,0.1499
G-7B,global,imperative,2.8,0.96,87,0.2184,0.4155
G-7B,global,interrogative,2.85,0.89,96,0.3646,0.4838
L3.1-8B,global,imperative,3.75,1.18,69,0.7246,0.45
L3.1-8B,global,interrogative,4.14,1.47,88,0.7955,0.4057
L3.2-3B,global,imperative,3.79,1.43,77,0.6883,0.4662
L3.2-3B,global,interrogative,4.07,1.37,92,0.7065,0.4579
Q2.5-1.5B,global,imperative,3.67,1.23,54,0.5556,0.5016
Q2.5-1.5B,global,interrogative,3.56,1.25,63,0.5873,0.4963
Q2.5-7B,global,imperative,3.52,0.9,52,0.6538,0.4804
Q2.5-7B,global,interrogative,3.56,1.11,64,0.7969,0.4055
