model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,interrogative,natural_questions,who did deion sanders go in the hall of fame as,Who did Deion Sanders go into the Hall of Fame as?,0.9090046882629395,Deion Sanders was,Deion Sanders was,0.0,1.0,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,1,global,interrogative,natural_questions,what is the title of the person who runs the house of representatives,What is the title of the person who runs the House of Representatives?,0.9710590243339539,The title of,The person who runs,15.97357760615681,0.8102736473083496,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,2,global,interrogative,natural_questions,why did france decide to aid the united states in its war for independence,Why did France decide to aid the United States in its war for independence?,0.9638338088989258,France's decision,France',0.0,0.8551265001296997,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,3,global,interrogative,natural_questions,yo la tengo theres a riot going on release date,"What is the release date for Yo La Tengo's ""There's a Riot Going On""?",0.8477321267127991,The album,"Yo La Tengo's album """,10.682175159905848,0.8524590730667114,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,4,global,interrogative,natural_questions,who played the hobbits in the lord of the rings,Who played the hobbits in The Lord of the Rings?,0.9419450163841248,The four main,The main hob,0.0,0.8999361395835876,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,5,global,interrogative,natural_questions,who played the doctor in band of brothers,Who played the doctor in Band of Brothers?,0.9330207109451294,That's an,There isn',0.0,0.8730764389038086,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,6,global,interrogative,natural_questions,short notes on characters of merchant of venice,What are the short notes on the characters of The Merchant of Venice?,0.8702970147132874,Here are short notes,Here are short,0.0,0.8751053810119629,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,7,global,interrogative,natural_questions,did the movie rocky win any academy awards,Did the movie Rocky win any Academy Awards?,0.9338464736938477,"Yes, the movie","Yes,",0.0,0.8389257788658142,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,8,global,interrogative,natural_questions,where does the show the path take place,Where does the show The Path take place?,0.9094788432121277,The,The show *The Path* takes place in **Upstate New York**.,2.2869567780619007,0.8031267523765564,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,9,global,interrogative,natural_questions,when did michigan last win a national championship,When did Michigan last win a national championship?,0.9570222496986389,The Michigan Wolverines most,The Michigan,0.0,0.8861426115036011,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,10,global,interrogative,natural_questions,sweet leavened bread prepared for easter in romania,What is sweet leavened bread prepared for Easter in Romania?,0.9132373929023743,That would,The sweet,0.0,0.8636234402656555,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,11,global,interrogative,natural_questions,when did united states enter world war i,When did the United States enter World War I?,0.9301199913024902,The United States,The United States,0.0,0.9999999403953552,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,12,global,interrogative,natural_questions,where do secondary xylem and phloem cells arise from,Where do secondary xylem and phloem cells arise from?,0.9887575507164001,Secondary xylem and ph,Secondary xylem and ph,100.00000000000004,1.0000001192092896,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,13,global,interrogative,natural_questions,when was modem invented and in which country,When was the modem invented and in which country?,0.9700984954833984,The first,The first,0.0,1.0,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,14,global,interrogative,natural_questions,who sings the song one thing leads to another,"Who sings the song ""One Thing Leads to Another""?",0.9173272252082825,"The song ""One","The song """,0.0,0.931466281414032,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,15,global,interrogative,natural_questions,where did the term 'robot' come from,Where did the term 'robot' come from?,0.9881764650344849,"The term ""robot","The term ""robot",100.00000000000004,0.9999999403953552,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,0,global,imperative,natural_questions,who did deion sanders go in the hall of fame as,Go in the hall of fame as who did Deion Sanders?,0.8855986595153809,Deion Sanders was,Deion Sanders,0.0,0.9680268168449402,,,,,0.0,-0.023406028747558594,-0.031973183155059814,,
gemini-2.5-flash,1,global,imperative,natural_questions,what is the title of the person who runs the house of representatives,Tell me the title of the person who runs the House of Representatives.,0.9399128556251526,The title of,The person who,0.0,0.8393319249153137,,,,,-15.97357760615681,-0.03114616870880127,0.02905827760696411,,
gemini-2.5-flash,2,global,imperative,natural_questions,why did france decide to aid the united states in its war for independence,Explain why France decided to aid the United States in its war for independence.,0.9530891180038452,France's decision,France's,0.0,0.904083251953125,,,,,0.0,-0.010744690895080566,0.04895675182342529,,
gemini-2.5-flash,3,global,imperative,natural_questions,yo la tengo theres a riot going on release date,"Provide the release date for Yo La Tengo's ""There's a Riot Going On.""",0.852726936340332,The album,Yo La Tengo's,0.0,0.8039101958274841,,,,,-10.682175159905848,0.004994809627532959,-0.048548877239227295,,
gemini-2.5-flash,4,global,imperative,natural_questions,who played the hobbits in the lord of the rings,Identify who played the hobbits in The Lord of the Rings.,0.9237982630729675,The four main,The main,0.0,0.935295045375824,,,,,0.0,-0.018146753311157227,0.03535890579223633,,
gemini-2.5-flash,5,global,imperative,natural_questions,who played the doctor in band of brothers,Identify who played the doctor in Band of Brothers.,0.9183470010757446,That's a,The main,0.0,0.8645288348197937,,,,,0.0,-0.014673709869384766,-0.008547604084014893,,
gemini-2.5-flash,6,global,imperative,natural_questions,short notes on characters of merchant of venice,Write short notes on the characters of Merchant of Venice.,0.9146212935447693,Here are short,Here,0.0,0.8552373051643372,,,,,0.0,0.044324278831481934,-0.019868075847625732,,
gemini-2.5-flash,7,global,imperative,natural_questions,did the movie rocky win any academy awards,Find out if the movie Rocky won any Academy Awards.,0.9123914837837219,"Yes, the","Yes,",0.0,0.8805993795394897,,,,,0.0,-0.021454989910125732,0.04167360067367554,,
gemini-2.5-flash,8,global,imperative,natural_questions,where does the show the path take place,Find out where the show The Path takes place.,0.8825249075889587,"The show *The Path* primarily takes place in **Upstate New York**, specifically in a fictional town called **Meyerism**.","The show ""The Path"" is set in **Upstate New York**, specifically in a fictional town called **Frenchtown**.",63.668315074112414,0.9580451846122742,,,,,61.381358296050514,-0.026953935623168945,0.15491843223571777,,
gemini-2.5-flash,9,global,imperative,natural_questions,when did michigan last win a national championship,When did Michigan last win a national championship?,0.9570222496986389,Michigan,The Michigan Wolverines last,15.97357760615681,0.8184049129486084,,,,,15.97357760615681,0.0,-0.06773769855499268,,
gemini-2.5-flash,10,global,imperative,natural_questions,sweet leavened bread prepared for easter in romania,Prepare sweet leavened bread for Easter in Romania.,0.9317635297775269,That,"Ah, Cozon",0.0,0.8622820377349854,,,,,0.0,0.018526136875152588,-0.001341402530670166,,
