model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gemini-2.5-flash,0,global,0,natural_questions,who did deion sanders go in the hall of fame as,who did deion sanders go in the hall of fame as,1.0,Deion Sanders was,Deion Sanders was,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,1,global,0,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the person who runs the house of representatives,1.0,The title of,The title of,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,2,global,0,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for independence,1.0,France,France,0.0,0.999999701976776,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,3,global,0,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going on release date,1.0,The album,The album,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,4,global,0,natural_questions,who played the hobbits in the lord of the rings,who played the hobbits in the lord of the rings,0.9999999403953552,The main hob,The main hob,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,5,global,0,natural_questions,who played the doctor in band of brothers,who played the doctor in band of brothers,1.0,That's an,That's an,0.0,1.000000238418579,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,6,global,0,natural_questions,short notes on characters of merchant of venice,short notes on characters of merchant of venice,1.0000001192092896,Here are short notes,Here are short notes,100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,7,global,0,natural_questions,did the movie rocky win any academy awards,did the movie rocky win any academy awards,1.0000001192092896,"Yes, the movie","Yes, the",0.0,0.8876305818557739,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,8,global,0,natural_questions,where does the show the path take place,where does the show the path take place,0.9999998211860656,The,The,0.0,0.9999998211860656,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,9,global,0,natural_questions,when did michigan last win a national championship,when did michigan last win a national championship,1.0,Michigan,Michigan,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,10,global,0,natural_questions,sweet leavened bread prepared for easter in romania,sweet leavened bread prepared for easter in romania,1.0,That,That would,0.0,0.8943743109703064,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,11,global,0,natural_questions,when did united states enter world war i,when did united states enter world war i,1.0000001192092896,The United States,The United States,0.0,0.9999999403953552,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,12,global,0,natural_questions,where do secondary xylem and phloem cells arise from,where do secondary xylem and phloem cells arise from,1.0,Secondary xylem and ph,Secondary xylem and ph,100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,13,global,0,natural_questions,when was modem invented and in which country,when was modem invented and in which country,1.0,The first,The first,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,14,global,0,natural_questions,who sings the song one thing leads to another,who sings the song one thing leads to another,1.0000001192092896,"The song ""","The song """,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,15,global,0,natural_questions,where did the term 'robot' come from,where did the term 'robot' come from,1.0,"The term ""robot","The term ""robot",100.00000000000004,0.9999999403953552,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,0,global,1,natural_questions,who did deion sanders go in the hall of fame as,who  did deion sanders go in the hall of fame as,0.9895262122154236,Deion Sanders was,Deion,0.0,0.8417491316795349,,,,0.0,0.0,-0.010473787784576416,-0.1582508683204651,,0.0,
gemini-2.5-flash,1,global,1,natural_questions,what is the title of the person who runs the house of representatives, what  is the title of the person who runs the house of representatives,0.971842646598816,The title of,The title of the,59.460355750136046,0.9598815441131592,,,,0.0,59.460355750136046,-0.02815735340118397,-0.04011857509613037,,0.0,
gemini-2.5-flash,2,global,1,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states  in its war for independence,0.9765118956565856,France's decision,France,0.0,0.8477963805198669,,,,0.0,0.0,-0.023488104343414418,-0.15220332145690907,,0.0,
gemini-2.5-flash,3,global,1,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going  on release date,0.9842225313186646,The album,"""",0.0,0.8815609812736511,,,,0.0,0.0,-0.01577746868133545,-0.11843901872634888,,0.0,
gemini-2.5-flash,4,global,1,natural_questions,who played the hobbits in the lord of the rings,who played  the hobbits in the lord of the rings,0.984925389289856,The main hob,The main hob,0.0,1.0,,,,0.0,0.0,-0.015074551105499268,0.0,,0.0,
gemini-2.5-flash,5,global,1,natural_questions,who played the doctor in band of brothers,who played the  doctor in band of brothers,0.978215515613556,That's a,There isn',0.0,0.8763725161552429,,,,0.0,0.0,-0.02178448438644398,-0.12362772226333618,,0.0,
gemini-2.5-flash,6,global,1,natural_questions,short notes on characters of merchant of venice,short notes on  characters of merchant of venice,0.9774065613746644,Here are short,Here are short notes,59.460355750136046,0.8751053810119629,,,,0.0,-40.539644249864,-0.022593557834625133,-0.12489449977874756,,0.0,
gemini-2.5-flash,7,global,1,natural_questions,did the movie rocky win any academy awards, did  the movie rocky win any academy awards,0.9813348054885864,"Yes, the movie","Yes, the movie",100.00000000000004,1.0,,,,0.0,100.00000000000004,-0.018665313720703125,0.11236941814422607,,0.0,
gemini-2.5-flash,8,global,1,natural_questions,where does the show the path take place, where  does the show the path take place,0.955549657344818,The,"The show ""The",15.97357760615681,0.8524978756904602,,,,0.0,15.97357760615681,-0.04445016384124756,-0.14750194549560536,,0.0,
gemini-2.5-flash,9,global,1,natural_questions,when did michigan last win a national championship,when did michigan last win a national championship ,1.0,Michigan,The Michigan Wolverines football,15.97357760615681,0.7964633703231812,,,,0.0,15.97357760615681,0.0,-0.2035367488861084,,0.0,
gemini-2.5-flash,10,global,1,natural_questions,sweet leavened bread prepared for easter in romania,sweet leavened bread prepared  for easter in romania,0.9872055649757384,That would,The sweet leav,0.0,0.8445547819137573,,,,0.0,0.0,-0.012794435024261586,-0.04981952905654907,,0.0,
gemini-2.5-flash,11,global,1,natural_questions,when did united states enter world war i,when did united states enter world war i ,1.0000001192092896,The United States,The United,0.0,0.8582374453544617,,,,0.0,0.0,0.0,-0.14176249504089355,,0.0,
gemini-2.5-flash,12,global,1,natural_questions,where do secondary xylem and phloem cells arise from,where do secondary xylem and phloem cells  arise from,0.9879061579704284,Secondary xylem and ph,Secondary xylem and,0.0,0.9455056190490724,,,,0.0,-100.00000000000004,-0.012093842029571644,-0.054494500160217174,,0.0,
gemini-2.5-flash,13,global,1,natural_questions,when was modem invented and in which country,when was  modem invented and in which country,0.9756013751029968,The first commercial modem,The first commercial,0.0,0.9286055564880372,,,,0.0,0.0,-0.024398624897003174,-0.07139444351196278,,0.0,
gemini-2.5-flash,14,global,1,natural_questions,who sings the song one thing leads to another,who sings the song  one thing leads to another,0.9768994450569152,"The song ""","The song ""One Thing Leads to Another"" is sung by the British band **The Fixx**.",6.429451441231725,0.842261791229248,,,,0.0,6.429451441231725,-0.02310067415237438,-0.15773820877075195,,0.0,
gemini-2.5-flash,15,global,1,natural_questions,where did the term 'robot' come from, where  did the term 'robot' come from,0.982646107673645,"The term ""robot","The term **""",23.643540225079384,0.8750306963920593,,,,0.0,-76.35645977492067,-0.01735389232635498,-0.1249692440032959,,0.0,
gemini-2.5-flash,0,global,5,natural_questions,who did deion sanders go in the hall of fame as, who   did deion sanders go in the   hall of fame  as,0.9314135909080504,Deion Sanders was,De,0.0,0.8049619793891907,,,,0.0,0.0,-0.06858640909194957,-0.19503802061080933,,0.0,
gemini-2.5-flash,1,global,5,natural_questions,what is the title of the person who runs the house of representatives, what  is the  title of the person   who runs the house  of representatives,0.9206713438034058,The title of,The title of the,59.460355750136046,0.9598815441131592,,,,0.0,59.460355750136046,-0.07932865619659424,-0.04011857509613037,,0.0,
gemini-2.5-flash,2,global,5,natural_questions,why did france decide to aid the united states in its war for independence,why did  france decide to aid the  united states in  its war for  independence ,0.9512516260147096,France,France's,0.0,0.9207218885421752,,,,0.0,0.0,-0.048748373985290416,-0.07927781343460083,,0.0,
gemini-2.5-flash,3,global,5,natural_questions,yo la tengo theres a riot going on release date,yo la  tengo  theres a  riot going on  release  date,0.8921836614608765,The album,The album **,31.947155212313625,0.94358891248703,,,,0.0,31.947155212313625,-0.10781633853912354,-0.05641108751296997,,0.0,
gemini-2.5-flash,4,global,5,natural_questions,who played the hobbits in the lord of the rings, who  played the  hobbits  in the  lord of the rings ,0.9344689846038818,The four main,The,0.0,0.8765037059783936,,,,0.0,0.0,-0.06553095579147339,-0.12349629402160645,,0.0,
gemini-2.5-flash,5,global,5,natural_questions,who played the doctor in band of brothers,who played  the  doctor  in  band of  brothers,0.8991699814796448,That's an,There were a few,0.0,0.8679723739624023,,,,0.0,0.0,-0.10083001852035522,-0.13202786445617676,,0.0,
gemini-2.5-flash,6,global,5,natural_questions,short notes on characters of merchant of venice,short  notes on  characters of merchant  of venice  ,0.9211835861206056,Here are short notes,Here are short notes,100.00000000000004,0.9999998807907104,,,,0.0,0.0,-0.07881653308868397,0.0,,0.0,
gemini-2.5-flash,7,global,5,natural_questions,did the movie rocky win any academy awards,did the  movie  rocky  win  any academy awards ,0.8980463743209839,"Yes, the movie","Yes,",0.0,0.8389257788658142,,,,0.0,0.0,-0.10195374488830566,-0.04870480298995972,,0.0,
gemini-2.5-flash,8,global,5,natural_questions,where does the show the path take place,   where    does the show the  path take place ,0.909025251865387,The,The,0.0,0.9999998211860656,,,,0.0,0.0,-0.0909745693206786,0.0,,0.0,
gemini-2.5-flash,9,global,5,natural_questions,when did michigan last win a national championship,when did michigan  last  win a  national   championship,0.91861891746521,Michigan,Michigan,0.0,1.0000001192092896,,,,0.0,0.0,-0.08138108253479004,0.0,,0.0,
gemini-2.5-flash,10,global,5,natural_questions,sweet leavened bread prepared for easter in romania,sweet leavened   bread prepared  for easter in   romania,0.92461895942688,That,"The sweet,",0.0,0.8404939770698547,,,,0.0,0.0,-0.07538104057312,-0.05388033390045166,,0.0,
gemini-2.5-flash,11,global,5,natural_questions,when did united states enter world war i, when  did united states enter world  war    i,0.9106791615486144,The United States,The United States officially,59.460355750136046,0.9460870623588562,,,,0.0,59.460355750136046,-0.08932095766067516,-0.05391287803649902,,0.0,
gemini-2.5-flash,12,global,5,natural_questions,where do secondary xylem and phloem cells arise from,  where    do  secondary xylem and phloem cells arise from ,0.9390896558761596,Secondary xylem and ph,Secondary,0.0,0.8333992958068848,,,,0.0,-100.00000000000004,-0.06091034412384044,-0.16660082340240479,,0.0,
gemini-2.5-flash,13,global,5,natural_questions,when was modem invented and in which country,when was modem invented and   in which  country  ,0.9447530508041382,The first,The first commercial modem,31.947155212313625,0.8746864795684814,,,,0.0,31.947155212313625,-0.055246949195861816,-0.12531352043151855,,0.0,
gemini-2.5-flash,14,global,5,natural_questions,who sings the song one thing leads to another, who   sings   the song one  thing leads to another,0.9021216630935668,"The song ""One","The song ""One Thing Leads to Another"" is sung by **The",16.451929399933107,0.8742573261260986,,,,0.0,16.451929399933107,-0.09787845611572277,-0.12574267387390137,,0.0,
gemini-2.5-flash,15,global,5,natural_questions,where did the term 'robot' come from,where  did the term  'robot'  come   from,0.9225715398788452,"The term ""robot",The term **,31.947155212313625,0.8617591857910156,,,,0.0,-68.05284478768641,-0.07742846012115479,-0.1382407546043396,,0.0,
gemini-2.5-flash,0,global,20,natural_questions,who did deion sanders go in the hall of fame as,   who      did     deion   sanders  go   in  the   hall of   fame  as,0.812338650226593,Deion Sanders was,Deion,0.0,0.8417491316795349,,,,0.0,0.0,-0.18766134977340698,-0.1582508683204651,,0.0,
gemini-2.5-flash,1,global,20,natural_questions,what is the title of the person who runs the house of representatives, what   is   the  title  of  the   person   who  runs  the    house   of   representatives,0.816072940826416,The title of,The title of the,59.460355750136046,0.9598815441131592,,,,0.0,59.460355750136046,-0.18392705917358398,-0.04011857509613037,,0.0,
gemini-2.5-flash,2,global,20,natural_questions,why did france decide to aid the united states in its war for independence,why  did    france decide   to     aid   the   united  states  in  its war for    independence,0.8530346751213074,France's decision,France's decision,0.0,1.0,,,,0.0,0.0,-0.14696532487869263,2.9802322398797543e-07,,0.0,
gemini-2.5-flash,3,global,20,natural_questions,yo la tengo theres a riot going on release date,   yo      la   tengo    theres     a  riot  going  on    release date,0.8084539175033569,The album,It sounds,0.0,0.9064452052116394,,,,0.0,0.0,-0.19154608249664307,-0.0935547947883606,,0.0,
gemini-2.5-flash,4,global,20,natural_questions,who played the hobbits in the lord of the rings,  who   played  the     hobbits  in the   lord   of     the  rings   ,0.7759061455726624,The main hob,The four main,0.0,0.8999361395835876,,,,0.0,0.0,-0.22409379482269287,-0.10006386041641235,,0.0,
gemini-2.5-flash,5,global,20,natural_questions,who played the doctor in band of brothers,   who      played    the    doctor    in  band   of    brothers,0.7842000126838684,That's a,That's,0.0,0.924667477607727,,,,0.0,0.0,-0.2157999873161316,-0.07533276081085205,,0.0,
gemini-2.5-flash,6,global,20,natural_questions,short notes on characters of merchant of venice,     short          notes  on   characters  of   merchant    of venice  ,0.8007062077522278,Here are short,Here are,0.0,0.8968852162361145,,,,0.0,-100.00000000000004,-0.19929391145706177,-0.10311466455459595,,0.0,
gemini-2.5-flash,7,global,20,natural_questions,did the movie rocky win any academy awards,      did         the movie    rocky  win    any   academy    awards,0.771820604801178,"Yes, the movie","Yes, **",31.947155212313625,0.8380576968193054,,,,0.0,31.947155212313625,-0.22817951440811157,-0.049572885036468506,,0.0,
gemini-2.5-flash,8,global,20,natural_questions,where does the show the path take place,  where    does   the  show      the   path      take  place ,0.7998279333114624,"The show *The Path* primarily takes place in **Upstate New York**, specifically in a fictional town called **Meyerism**.",The show **The,0.3620197623718956,0.8002585768699646,,,,0.0,0.3620197623718956,-0.20017188787460316,-0.19974124431610096,,0.0,
gemini-2.5-flash,9,global,20,natural_questions,when did michigan last win a national championship,     when          did   michigan   last  win  a national    championship  ,0.8235123157501221,Michigan,Michigan last won a,15.97357760615681,0.8458097577095032,,,,0.0,15.97357760615681,-0.17648768424987793,-0.15419036149978638,,0.0,
gemini-2.5-flash,10,global,20,natural_questions,sweet leavened bread prepared for easter in romania,   sweet          leavened bread   prepared  for  easter    in    romania ,0.8297632932662964,That would,Cozonac,0.0,0.7995323538780212,,,,0.0,0.0,-0.1702367067337036,-0.09484195709228516,,0.0,
gemini-2.5-flash,11,global,20,natural_questions,when did united states enter world war i,  when     did united   states     enter     world    war   i ,0.8091511726379395,The United States,The United States officially,59.460355750136046,0.9460870623588562,,,,0.0,59.460355750136046,-0.1908489465713501,-0.05391287803649902,,0.0,
gemini-2.5-flash,12,global,20,natural_questions,where do secondary xylem and phloem cells arise from,     where            do   secondary  xylem   and   phloem cells   arise from,0.8295689821243286,Secondary xylem and ph,Secondary xylem and,0.0,0.9455056190490724,,,,0.0,-100.00000000000004,-0.1704310178756714,-0.054494500160217174,,0.0,
gemini-2.5-flash,13,global,20,natural_questions,when was modem invented and in which country,  when      was     modem   invented  and     in    which country ,0.7840407490730286,The first commercial modem,The first commercial modem,100.00000000000004,1.0000001192092896,,,,0.0,100.00000000000004,-0.21595925092697144,1.1920928955078125e-07,,0.0,
gemini-2.5-flash,14,global,20,natural_questions,who sings the song one thing leads to another,  who     sings     the song   one   thing  leads   to    another  ,0.8127416968345642,"The song ""One","The song """,0.0,0.931466281414032,,,,0.0,0.0,-0.18725842237472534,-0.06853371858596802,,0.0,
