model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,interrogative,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991 (in USD)?",0.9861931800842285,Frida,Frida Kahlo,0.0,0.8353040814399719,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,1,global,interrogative,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy was the ""Ecstasy of Saint Teresa"" created by Gian Lorenzo Bernini?",0.9639691114425659,Gian Lorenzo Bern,The,0.0,0.8541876673698425,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,2,global,interrogative,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What is the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,0.9961202144622803,The 19,The,0.0,0.904624342918396,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,3,global,interrogative,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of cerium in Fahrenheit?,0.9818204641342163,The,The boiling point of,15.97357760615681,0.834313154220581,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,4,global,interrogative,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What is the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,0.9933302402496338,Mary,The,0.0,0.9990954399108887,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,5,global,interrogative,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","How many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9928667545318604,The Florentine authorities,The Florent,0.0,0.8701008558273315,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,6,global,interrogative,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Which team came second in Group C in the 2018–19 UEFA Champions League?,0.9998937845230103,In,In the 2,0.0,0.8871666193008423,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,7,global,interrogative,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,William Prager,William Prager,0.0,1.0,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,8,global,interrogative,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Can you tell me which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9661888480186462,The streamer who,"The winner of the ""Best Variety Streamer"" award",4.196114906296549,0.8783907890319824,,,,,0.0,0.0,0.0,,
gemini-2.5-flash,9,global,interrogative,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,The naturalist who,The naturalist who,0.0,1.0,,,,,0.0,0.0,0.0,,
