model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
L3.1-8B,global,-10,0.8642448401078582,24.154108887431484,0.889514013659209,6.044792175292969,0.05627632141113281,,0.42156457901000977,0.1171875,15,128,0.1171875
L3.1-8B,global,-8,0.8666413989849389,25.067803781360634,0.8860012497752905,5.734901428222656,0.06557321548461914,,0.458411306142807,0.0,0,128,0.0
L3.1-8B,global,-6,0.8702032901346684,24.769786987941526,0.8873964678496122,5.4403076171875,0.06430482864379883,,0.4452349543571472,0.0,0,128,0.0
L3.1-8B,global,-4,0.8887102645821869,30.104130695915142,0.9046659483574331,3.7510147094726562,0.0580134391784668,,0.45512819290161133,0.0,0,128,0.0
L3.1-8B,global,-2,0.9281839369796216,21.557034099177397,0.9056383441202343,5.66668701171875,0.08421039581298828,,0.5465929508209229,0.0078125,1,128,0.0078125
L3.1-8B,global,0,0.9999999972060323,100.00000000000004,0.9999999809078872,0.0,0.0,,1.0000495910644531,0.0,0,128,0.0
L3.1-8B,global,2,0.9265187457203865,48.75646406178611,0.930033618118614,0.6318855285644531,-0.010591983795166016,,0.5228208303451538,0.03125,4,128,0.03125
L3.1-8B,global,4,0.9066183399409056,40.82412272761535,0.921635543461889,1.0616111755371094,0.016603946685791016,,0.5030879974365234,0.1015625,13,128,0.1015625
L3.1-8B,global,6,0.878939644433558,37.82294824528034,0.9154186537489295,0.855255126953125,0.011753559112548828,,0.48707661032676697,0.40625,52,128,0.40625
L3.1-8B,global,8,0.8769911713898182,34.32966692967677,0.9109666030853987,2.4236373901367188,0.015953540802001953,,0.4717480540275574,0.4609375,59,128,0.4609375
L3.1-8B,global,10,0.8629497452639043,30.556258112631603,0.899752683006227,5.454521179199219,0.04047346115112305,,0.42627787590026855,0.296875,38,128,0.296875
L3.1-8B,prefix,-10,0.8907109792344272,22.177052953503846,0.881208143197,4.217597961425781,0.05422353744506836,,0.846193790435791,0.0,0,128,0.0
L3.1-8B,prefix,-8,0.8898979015648365,26.331682669427256,0.8920720964670181,3.8741531372070312,0.028918743133544922,,0.8579964637756348,0.0,0,128,0.0
L3.1-8B,prefix,-6,0.8958119577728212,25.95736209742764,0.8903219006024301,3.684955596923828,0.024474620819091797,,0.8310885429382324,0.0,0,128,0.0
L3.1-8B,prefix,-4,0.9132757852785289,34.654328789104866,0.9176275646314025,2.3366127014160156,0.03166532516479492,,0.8978457450866699,0.0,0,128,0.0
L3.1-8B,prefix,-2,0.9463986014015973,28.296839018402693,0.9175006165169179,5.288379669189453,0.0746145248413086,,0.9207515716552734,0.0078125,1,128,0.0078125
L3.1-8B,prefix,0,0.9999999972060323,100.00000000000004,0.9999999809078872,0.0,0.0,,1.0000495910644531,0.0,0,128,0.0
L3.1-8B,prefix,2,0.9502511858008802,64.1563151050449,0.9524212232790887,-0.00830841064453125,0.005990028381347656,,0.9213652610778809,0.0,0,128,0.0
L3.1-8B,prefix,4,0.9228007439523935,48.79217309388863,0.9353873482905328,0.16044235229492188,0.028748512268066406,,0.9273185729980469,0.03125,4,128,0.03125
L3.1-8B,prefix,6,0.8900189315900207,42.620076647301964,0.9269764157943428,0.21270751953125,0.018757343292236328,,0.8958005905151367,0.1015625,13,128,0.1015625
L3.1-8B,prefix,8,0.8864230215549469,43.142221161865784,0.9267827775329351,0.2104949951171875,0.01717519760131836,,0.893829345703125,0.1484375,19,128,0.1484375
L3.1-8B,prefix,10,0.8780707460828125,35.70570596577987,0.9121229755692184,2.2072219848632812,0.048937320709228516,,0.8631901741027832,0.421875,54,128,0.421875
L3.1-8B,suffix,-10,0.8857657946646214,30.995507579684123,0.9031639159657061,4.938331604003906,0.11540365219116211,,0.4668080806732178,0.0,0,128,0.0
L3.1-8B,suffix,-8,0.8925930904224515,36.76812775095513,0.9168553594499826,3.6586380004882812,0.09713506698608398,,0.5166032314300537,0.0,0,128,0.0
L3.1-8B,suffix,-6,0.8976785428822041,35.78477595653806,0.9157743039540946,3.5362625122070312,0.09602117538452148,,0.5102128386497498,0.0,0,128,0.0
L3.1-8B,suffix,-4,0.9138600770384073,41.084103157798694,0.92351148230955,3.1552200317382812,0.07024145126342773,,0.5199534893035889,0.0,0,128,0.0
L3.1-8B,suffix,-2,0.9588048974983394,51.4313372989655,0.939271179959178,1.2254829406738281,0.027602672576904297,,0.6208140850067139,0.0,0,128,0.0
L3.1-8B,suffix,0,0.9999999972060323,100.00000000000004,0.9999999809078872,0.0,0.0,,1.0000495910644531,0.0,0,128,0.0
L3.1-8B,suffix,2,0.9613912971690297,52.18093136896741,0.9385645585134625,0.15946197509765625,-0.0027027130126953125,,0.5614324808120728,0.03125,4,128,0.03125
L3.1-8B,suffix,4,0.9279412562027574,46.25453773967489,0.9295392795465887,0.16679763793945312,0.007790565490722656,,0.5333894789218903,0.03125,4,128,0.03125
L3.1-8B,suffix,6,0.8993102926760912,44.463159127517876,0.927429920528084,0.506103515625,0.021628379821777344,,0.494983434677124,0.0546875,7,128,0.0546875
L3.1-8B,suffix,8,0.895576149225235,44.05818069643423,0.9275046670809388,0.5880966186523438,0.015431880950927734,,0.49796391278505325,0.109375,14,128,0.109375
L3.1-8B,suffix,10,0.8883646978065372,39.38107489388384,0.9175750981085002,1.2473220825195312,0.020123004913330078,,0.44861531257629395,0.234375,30,128,0.234375
