model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,0.25,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What is a rotating star's name?,0.9025087952613831,The general,There isn',0.0,0.8539655208587646,,,,0.0,0.0,-0.0974913239479065,-0.14603430032730103,,0.0
gemini-2.5-flash,1,global,0.25,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Which Gilbert and Sullivan operetta?,0.8975697755813599,The,Since,0.0,0.9996286630630493,,,,0.0,0.0,-0.10243034362792969,0.15699249505996704,,0.0
gemini-2.5-flash,2,global,0.25,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer took 10–53?,0.9263831973075867,The English,That would be,0.0,0.8356122970581055,,,,0.0,-31.947155212313625,-0.07361680269241333,0.00473177433013916,,0.0
gemini-2.5-flash,3,global,0.25,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Who wrote?,0.8319758772850037,The novel is titled,To answer that,0.0,0.8357117772102356,,,,0.0,0.0,-0.16802412271499634,0.058490753173828125,,0.0
gemini-2.5-flash,4,global,0.25,trivia_qa,Who is the patron saint of dancers?,Saint of dancers?,0.8849479556083679,The,While there isn,0.0,0.8064838647842407,,,,0.0,0.0,-0.11505204439163208,0.007756412029266357,,0.0
gemini-2.5-flash,5,global,0.25,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Who authored the Communist Manifesto?,0.9163097739219666,The,The Communist Manifesto was authored by **Karl Marx** and **Friedrich Engels**.,1.9146030690102511,0.7932009100914001,,,,0.0,1.9146030690102511,-0.08369022607803345,-0.20679891109466553,,0.0
gemini-2.5-flash,6,global,0.25,trivia_qa,The fortified wine drink Sherry is named after what town?,Sherry's name?,0.8386036157608032,Jerez de,The name,0.0,0.7880622744560242,,,,0.0,0.0,-0.16139620542526245,-0.015759587287902832,,0.0
gemini-2.5-flash,7,global,0.25,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,Which club?,0.8658949732780457,The nickname,To help me answer,0.0,0.8488556742668152,,,,0.0,-100.00000000000004,-0.13410502672195435,-0.15114432573318481,,0.0
gemini-2.5-flash,8,global,0.25,trivia_qa,The revolutionary group the Sandinistas were active in which country?,Nicaragua?,0.8272249698638916,The Sandinistas were active in **Nicaragua**.,N,0.0,0.812340259552002,,,,0.0,-100.00000000000004,-0.1727750301361084,-0.18765974044799805,,0.0
gemini-2.5-flash,9,global,0.25,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who lost to Livingstone?,0.8834673166275024,The conservative candidate beaten,David Livingstone was,0.0,0.7923614382743835,,,,0.0,0.0,-0.11653268337249756,-0.2076384425163269,,0.0
