model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,-10,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What general name is given to a rotating star which emits a regular beat of radiation? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8800793290138245,The,The general,0.0,0.8907971978187561,,,,0.0,0.0,-0.11992079019546509,-0.1092028021812439,,0.0
gemini-2.5-flash,1,global,-10,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, ""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?"" Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.877799928188324,The Gilbert and Sullivan,There is,0.0,0.8309805989265442,,,,0.0,-15.97357760615681,-0.12220019102096558,-0.011655688285827637,,0.0
gemini-2.5-flash,2,global,-10,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Which English cricketer had figures for bowling 10 for 53 against Australia 1956? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8707072138786316,The English cricketer who,Jim L,0.0,0.8077132701873779,,,,0.0,-31.947155212313625,-0.1292927861213684,-0.02316725254058838,,0.0
gemini-2.5-flash,3,global,-10,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8768170475959778,The novel is titled,...Farthings.,0.0,0.831621527671814,,,,0.0,0.0,-0.12318295240402222,0.054400503635406494,,0.0
gemini-2.5-flash,4,global,-10,trivia_qa,Who is the patron saint of dancers?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who is the patron saint of dancers? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8608443140983582,The,The patron saint,0.0,0.8463386297225952,,,,0.0,-15.97357760615681,-0.13915568590164185,0.04761099815368652,,0.0
gemini-2.5-flash,5,global,-10,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8839977979660034,The,"The two authors responsible for the Communist Manifesto, published on February 21, 1848,",2.445593937240363,0.8198041319847107,,,,0.0,2.445593937240363,-0.11600220203399658,-0.18019568920135498,,0.0
gemini-2.5-flash,6,global,-10,trivia_qa,The fortified wine drink Sherry is named after what town?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The fortified wine drink Sherry is named after what town? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8700180649757385,Sher,Sherry is named,0.0,0.8009452819824219,,,,0.0,0.0,-0.12998175621032715,-0.19905459880828857,,0.0
gemini-2.5-flash,7,global,-10,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The nickname for Dumfries became the name of which Scottish football club? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8793506622314453,The nickname,The,0.0,0.876041054725647,,,,0.0,-100.00000000000004,-0.12064933776855469,-0.12395894527435303,,0.0
gemini-2.5-flash,8,global,-10,trivia_qa,The revolutionary group the Sandinistas were active in which country?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The revolutionary group the Sandinistas were active in which country? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8647955656051636,The Sandinistas were active in **Nicaragua**.,Nicaragua.,0.0,0.8677667379379272,,,,0.0,-100.00000000000004,-0.13520443439483643,-0.13223326206207275,,0.0
gemini-2.5-flash,9,global,-10,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8792520761489868,The conservative candidate beaten,The Conservative candidate beaten,35.35533905932737,0.9678344130516052,,,,0.0,-64.64466094067268,-0.12074792385101318,-0.032165586948394775,,0.0
