model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
claude-sonnet-4-6,0,global,0,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What general name is given to a rotating star which emits a regular beat of radiation?,1.0000001192092896,"A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" though they are actually rapidly rotating neutron stars whose beamed radiation sweeps past Earth like a lighthouse beam).","A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" more precisely a rapidly rotating neutron star that emits beams of electromagnetic radiation).",59.59675676893883,0.9539875388145448,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,1,global,0,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",1.0000001192092896,"The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887). Its full title is *Ruddigore, or The Witch's Curse*.","The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887). Its full title is *Ruddigore, or The Witch's Curse*.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,2,global,0,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,1.0,"The English cricketer who took **10 for 53** against Australia in 1956 was **Jim Laker**. This was part of his remarkable performance at Old Trafford in the Fourth Test, where he took **19 wickets for 90 runs** in the match — a record that still stands in Test cricket.","The English cricketer who took **10 for 53** against Australia in 1956 was **Jim Laker**. This was part of his remarkable performance at Old Trafford in the Fourth Test, where he took **19 wickets for 90 runs** in the match — a record that still stands in Test cricket.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,3,global,0,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,1.0,"Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**.","Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,4,global,0,trivia_qa,Who is the patron saint of dancers?,Who is the patron saint of dancers?,1.0,"The patron saint of dancers is **Saint Vitus** (also known as San Vito). He is associated with dancers, among other groups. **Saint Genesius** is also sometimes considered a patron of performers and entertainers.

However, **Saint Vitus** is most commonly cited specifically as the patron saint of dancers, which is also connected to the condition historically called ""St. Vitus' Dance"" (Sydenham's chorea).","The patron saint of dancers is **Saint Vitus** (also associated with epilepsy and nervous disorders, partly due to the condition known as ""St. Vitus' Dance""). However, **Saint Genesius** is also sometimes considered a patron of performers and entertainers.

Saint Vitus is the most commonly cited patron saint of dancers specifically.",49.606020220545126,0.9318647980690002,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,5,global,0,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",1.0,The **Communist Manifesto** was written by **Karl Marx** and **Friedrich Engels**.,The Communist Manifesto was written by **Karl Marx** and **Friedrich Engels**.,72.47519637809759,0.9853625297546388,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,6,global,0,trivia_qa,The fortified wine drink Sherry is named after what town?,The fortified wine drink Sherry is named after what town?,0.9999998211860656,"Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Xerez"").","Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Xerez"").",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,7,global,0,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,The nickname for Dumfries became the name of which Scottish football club?,1.0,"The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.","The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,8,global,0,trivia_qa,The revolutionary group the Sandinistas were active in which country?,The revolutionary group the Sandinistas were active in which country?,1.0,"The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed the country through the 1980s. The group was named after Augusto César Sandino, a Nicaraguan revolutionary leader from the early 20th century.","The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed the country through the 1980s. The movement was named after Augusto César Sandino, a Nicaraguan revolutionary leader from the early 20th century.",94.1435681721808,0.9980306029319764,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,9,global,0,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,1.0,The Conservative candidate beaten by Ken Livingstone in the first two London mayoral elections (2000 and 2004) was **Steve Norris**.,The Conservative candidate beaten by Ken Livingstone in the first two London mayoral elections (2000 and 2004) was **Steve Norris**.,100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,10,global,0,trivia_qa,"""Who said, To err is human but it feels divine?""""""","""Who said, To err is human but it feels divine?""""""",1.0,"The quote **""To err is human, but it feels divine""** is attributed to **Mae West**, the American actress and comedian known for her witty, risqué one-liners.

This is a clever play on Alexander Pope's famous line **""To err is human, to forgive divine""** from his 1711 work *An Essay on Criticism*.","The quote **""To err is human, but it feels divine""** is attributed to **Mae West**, the American actress and comedian known for her witty, risqué one-liners.

This is a clever play on Alexander Pope's famous line **""To err is human, to forgive divine""** from his 1711 work *An Essay on Criticism*.",100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,11,global,0,trivia_qa,"When Mr Benn was looking for an adventure, what type of shop did he visit?","When Mr Benn was looking for an adventure, what type of shop did he visit?",1.0,"Mr Benn visited a **costume shop** (a fancy dress shop). He would try on a costume, and through a changing room door he would be transported into an adventure related to whatever outfit he was wearing.","Mr Benn visited a **costume shop** (a fancy dress shop). He would try on a costume, and through a changing room door he would be transported into an adventure related to whatever he was wearing.",94.1949217714706,0.9981673955917358,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,12,global,0,trivia_qa,What was made and repaired by a Wainwright?,What was made and repaired by a Wainwright?,0.9999999403953552,"A **Wainwright** was a craftsman who made and repaired **wagons and carts** (also called ""wains""). They worked with wood and sometimes metal to construct the wheels, frames, and other components of these vehicles.","A **Wainwright** was a craftsman who made and repaired **wagons and carts** (also called ""wains""). They worked with wood and sometimes metal to construct the wheels, frames, and other components of horse-drawn vehicles.",95.20435137143306,0.9921258091926576,,,,0.0,0.0,0.0,0.0,,0.0,
