model,place,strength,num_steps_original,num_steps_styled,steps_diff,parse_success_original,parse_success_styled,avg_step_length_original,avg_step_length_styled
L3.2-3B,global,0,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,global,1,1.0,1.4375,0.4375,0.5,0.625,10.25,15.6625
L3.2-3B,global,5,1.0,1.4375,0.4375,0.5,0.625,10.25,15.70625
L3.2-3B,global,20,1.0,1.1875,0.1875,0.5,0.5625,10.25,17.0
L3.2-3B,global,50,1.0,1.625,0.625,0.5,0.6875,10.25,30.56875
L3.2-3B,global,100,1.0,1.0,0.0,0.5,0.5,10.25,19.71875
L3.2-3B,prefix,0,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,prefix,1,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,prefix,5,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,prefix,20,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,prefix,50,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,prefix,100,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,suffix,0,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,suffix,1,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,suffix,5,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,suffix,20,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,suffix,50,1.0,1.0,0.0,0.5,0.5,10.25,10.25
L3.2-3B,suffix,100,1.0,1.0,0.0,0.5,0.5,10.25,10.25
