model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
L3.1-8B,0,prefix,0,natural_questions,who did deion sanders go in the hall of fame as,who did deion sanders go in the hall of fame as,1.0,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,1,prefix,0,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the person who runs the house of representatives,1.0,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,2,prefix,0,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for independence,1.0,"France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American","France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American",100.00000000000004,0.9999999403953552,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,3,prefix,0,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going on release date,1.0000001192092896,"assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".","assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".",100.00000000000004,1.0000001192092896,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,0,prefix,1,natural_questions,who did deion sanders go in the hall of fame as, who did deion sanders go in the hall of fame as,0.9999998807907104,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,-1.1920928955078125e-07,0.0,0.0,0
L3.1-8B,1,prefix,1,natural_questions,what is the title of the person who runs the house of representatives, what is the title of the person who runs the house of representatives,1.0,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,2,prefix,1,natural_questions,why did france decide to aid the united states in its war for independence, why did france decide to aid the united states in its war for independence,1.0000001192092896,"France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American","France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American",100.00000000000004,0.9999999403953552,0.99951171875,-0.0,0.0,0,0.0,1.1920928955078125e-07,0.0,0.0,0
L3.1-8B,3,prefix,1,natural_questions,yo la tengo theres a riot going on release date, yo la tengo theres a riot going on release date,1.0000001192092896,"assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".","assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".",100.00000000000004,1.0000001192092896,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,0,prefix,5,natural_questions,who did deion sanders go in the hall of fame as,     who did deion sanders go in the hall of fame as,0.9999998807907104,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,-1.1920928955078125e-07,0.0,0.0,0
L3.1-8B,1,prefix,5,natural_questions,what is the title of the person who runs the house of representatives,     what is the title of the person who runs the house of representatives,1.0,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,2,prefix,5,natural_questions,why did france decide to aid the united states in its war for independence,     why did france decide to aid the united states in its war for independence,1.0000001192092896,"France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American","France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American",100.00000000000004,0.9999999403953552,0.99951171875,-0.0,0.0,0,0.0,1.1920928955078125e-07,0.0,0.0,0
L3.1-8B,3,prefix,5,natural_questions,yo la tengo theres a riot going on release date,     yo la tengo theres a riot going on release date,1.0000001192092896,"assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".","assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".",100.00000000000004,1.0000001192092896,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,0,prefix,20,natural_questions,who did deion sanders go in the hall of fame as,                    who did deion sanders go in the hall of fame as,0.9999998807907104,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,-1.1920928955078125e-07,0.0,0.0,0
L3.1-8B,1,prefix,20,natural_questions,what is the title of the person who runs the house of representatives,                    what is the title of the person who runs the house of representatives,1.0,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,2,prefix,20,natural_questions,why did france decide to aid the united states in its war for independence,                    why did france decide to aid the united states in its war for independence,1.0000001192092896,"France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American","France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American",100.00000000000004,0.9999999403953552,0.99951171875,-0.0,0.0,0,0.0,1.1920928955078125e-07,0.0,0.0,0
L3.1-8B,3,prefix,20,natural_questions,yo la tengo theres a riot going on release date,                    yo la tengo theres a riot going on release date,1.0000001192092896,"assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".","assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".",100.00000000000004,1.0000001192092896,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
L3.1-8B,0,prefix,50,natural_questions,who did deion sanders go in the hall of fame as,                                                  who did deion sanders go in the hall of fame as,0.9999998807907104,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,-1.1920928955078125e-07,0.0,0.0,0
