model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
L3.1-8B,0,global,0.25,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",What was Frida's self-portrait auction price?,0.9154253602027893,I am unable to verify the price of Frida Kahlo's self-portrait with loose hair sold at an auction by Christie's in New York in May 1991.,"assistant

I am unable to verify the price of Frida Kahlo's self-portraits at auction.",30.048438849849045,0.9204260110855103,0.8203125,-57.6484375,0.43896484375,,NO,0.5514705882352942,0.25,0.0625,0.0,-69.951561150151,-0.08457446098327637,-0.07957422733306885,-0.1796875,,-1.0
L3.1-8B,1,global,0.25,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","Whose papacy saw Bernini's ""Ecstasy of Saint Teresa""?",0.9436704516410828,"Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

Gian Lorenzo Bernini created the ""Ecstasy of Saint Teresa"" during the papacy of Pope Urban VIII.","The papacy of Pope Urban VIII (1623-1644) saw the creation of Bernini's ""Ecstasy of Saint Teresa"".",26.804070116397853,0.8856395483016968,0.919921875,-20.53125,0.22119140625,,NO,0.6577181208053692,0.25,0.0625,0.0,-73.19592988360219,-0.056329429149627686,-0.11436039209365845,-0.0791015625,,-1.0
L3.1-8B,2,global,0.25,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the venue for the 1992 Scandinavian Masters?,0.9552062749862671,"venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I am unable to verify the venue of the 1992 Scandinavian Masters golf tournament.","assistant

I am unable to verify the venue for the 1992 Scandinavian Masters.",30.29579856774073,0.9498007893562317,0.96630859375,-18.125,0.052734375,,NO,0.44594594594594594,0.25,0.0625,0.0,-69.70420143225931,-0.04479360580444336,-0.05019944906234741,-0.03369140625,,-1.0
L3.1-8B,3,global,0.25,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,Cerium's boiling point?,0.8898628950119019,"user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3443 degrees Celsius. To convert this to Fahrenheit, we multiply by 9/5 and add 32. 

3443 * (9/5) = 6181.4 
6181.4 + 32 = 6213.4 

So, the boiling point of cerium is approximately 6213.4 degrees Fahrenheit.","boiling point?assistant

Cerium's boiling point is 3716 K or 3443°C or 6229.4°F.",0.3054148407221171,0.8486192226409912,0.912109375,-24.875,0.00390625,,YES,0.23,0.25,0.0625,1.0,-99.69458515927792,-0.1101369857788086,-0.1513807773590088,-0.08740234375,,0.0
L3.1-8B,4,global,0.25,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,Caldwell's Ph.D. thesis title?,0.924388587474823,"of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I do not have information on a chemist named Mary Letitia Caldwell.","assistant

I do not have information on Caldwell's Ph.D. thesis title.",37.874742572129016,0.9220975637435913,0.54248046875,-22.375,0.3310546875,,NO,0.5130434782608696,0.25,0.0625,0.0,-62.12525742787103,-0.07561153173446655,-0.07790237665176392,-0.45751953125,,-1.0
L3.1-8B,5,global,0.25,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","How many scudi for ""Pitti Tondo""?",0.898868978023529,"assistant

I do not have information on the price of the ""Pitti Tondo"" in scudi.","assistant

I'm not aware of any information about ""Pitti Tondo"" being associated with a monetary unit called ""scudi."" However, I do know that ""Pitti Tondo"" is a painting by the Italian artist Michelangelo Buonarroti, created around 1505.",7.423447100714539,0.9043943881988525,0.6279296875,1.828125,-0.001953125,,NO,3.2753623188405796,0.25,0.0625,0.0,-92.5765528992855,-0.1011309027671814,-0.09560555219650269,-0.3720703125,,-1.0
L3.1-8B,6,global,0.25,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Which team was second?,0.8954055309295654,"C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. 

Liverpool came second in Group C with 10 points, behind Paris Saint-Germain who topped the group with 11 points.","Which team was second?assistant

I can try to help you with that, but I need more information about what you are referring to. Could you please provide more context or specify the sport, competition, or event you are interested in?",1.9607617140978832,0.8088776469230652,0.27978515625,-52.75,0.529296875,,NO,0.8,0.25,0.0625,0.0,-98.03923828590216,-0.10459470748901367,-0.19112223386764526,-0.7197265625,,-1.0
L3.1-8B,7,global,0.25,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Which university did Prager attend?,0.919556736946106,"receive his diploma in 1925?assistant

I am unable to verify the university where William Prager studied civil engineering and received his diploma in 1925.","ager attend?assistant

I don't have enough information to determine which university you are referring to. There are several notable individuals named Prager. Could you please provide more context or specify which Prager you are referring to?",4.119566303102715,0.8648945093154907,0.489990234375,-62.5,0.60107421875,,NO,1.5931034482758621,0.25,0.0625,0.0,-95.88043369689733,-0.08044326305389404,-0.13510549068450928,-0.510009765625,,-1.0
L3.1-8B,8,global,0.25,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Who won ""Best Variety Streamer"" in 2022?",0.9482367038726807,"Streamer Awards in 2022?assistant

I do not have information on the winner of the ""Best Variety Streamer"" award at The Streamer Awards in 2022.","I do not have information on the 2022 award for ""Best Variety Streamer"".",28.27471266051182,0.9219499230384827,0.88671875,-10.875,0.1494140625,,NO,0.5454545454545454,0.25,0.0625,0.0,-71.72528733948822,-0.051763296127319336,-0.07805001735687256,-0.11279296875,,-1.0
L3.1-8B,9,global,0.25,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,Who named the sharpbill *Oxyrhuncus cristatus*?,0.9252051115036011,I am unable to verify who the naturalist was that first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821.,I am unable to verify who named the sharpbill *Oxyrhuncus cristatus*.,26.65057400807504,0.938681960105896,0.82080078125,-45.046875,0.58349609375,,NO,0.5111111111111111,0.25,0.0625,0.0,-73.349425991925,-0.0747947096824646,-0.06131792068481445,-0.18017578125,,-1.0
