model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gemini-2.5-flash,0,global,0.25,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",What was Frida's self-portrait sold for in 1991?,0.9306868314743042,Frida,Frida Kahlo,0.0,0.8353040814399719,,,,0.0,0.0,-0.06931310892105103,-0.16469603776931763,,0.0,
gemini-2.5-flash,1,global,0.25,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",Bernini's papacy?,0.8701210618019104,Gian Lorenzo Bern,That's,0.0,0.8428274393081665,,,,0.0,0.0,-0.1298789381980896,-0.08498287200927734,,0.0,
gemini-2.5-flash,2,global,0.25,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,Venue name of 1992 Scandinavian Masters?,0.8866045475006104,The 1,The 1992 Scandinavian Masters was held at **Barsebäck Golf &,3.3864985683445354,0.7789848446846008,,,,0.0,3.3864985683445354,-0.11339545249938965,-0.22101503610610962,,0.0,
gemini-2.5-flash,3,global,0.25,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,Cerium boiling point?,0.8949390053749084,The boiling point of,The boiling point of,100.00000000000004,1.0,,,,0.0,100.00000000000004,-0.1050611138343811,0.16568690538406372,,0.0,
gemini-2.5-flash,4,global,0.25,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,Caldwell's thesis title?,0.8860036730766296,Mary,There isn,0.0,0.9316924810409546,,,,0.0,0.0,-0.11399632692337036,0.06058144569396973,,0.0,
gemini-2.5-flash,5,global,0.25,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","How many scudi paid for the ""Pitti Tondo""?",0.9028739333152772,The Florentine authorities,The,0.0,0.8479530811309814,,,,0.0,0.0,-0.09712606668472279,-0.15204674005508412,,0.0,
gemini-2.5-flash,6,global,0.25,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Who was second in Group C?,0.9023112058639526,In,In Group C,0.0,0.8662492632865906,,,,0.0,0.0,-0.09768867492675781,-0.13375061750411987,,0.0,
gemini-2.5-flash,7,global,0.25,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Where did William Prager study civil engineering?,0.9306543469429016,William Prager,William Prager studied civil engineering at the **German Technical University in,6.178110636313396,0.8796979784965515,,,,0.0,6.178110636313396,-0.06934565305709839,-0.04678308963775646,,0.0,
gemini-2.5-flash,8,global,0.25,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",Who won Best Variety Streamer 2022?,0.9181204438209534,The streamer who,The winner of **,10.682175159905848,0.8507667779922485,,,,0.0,10.682175159905848,-0.0818793773651122,-0.09752219915390026,,0.0,
gemini-2.5-flash,9,global,0.25,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,Who named *Oxyrhuncus cristatus* in 1821?,0.911901831626892,The naturalist,The species,0.0,0.8577477335929871,,,,0.0,0.0,-0.08809816837310802,-0.09813791513442993,,0.0,
gemini-2.5-flash,10,global,0.25,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,Els Aarne symphonies?,0.8895149230957031,The Estonian composer Els,"Yes, the Estonian",15.97357760615681,0.8590896129608154,,,,0.0,15.97357760615681,-0.11048495769500732,-0.14091038703918457,,0.0,
gemini-2.5-flash,11,global,0.25,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",Who designed the Emil J. Oberhoffer House?,0.917409896850586,The historic,The Emil J,0.0,0.8614481687545776,,,,0.0,0.0,-0.08259010314941395,-0.05418473482131958,,0.0,
gemini-2.5-flash,12,global,0.25,simpleqa_verified,Which two architects built the Pizzurno Palace?,Who built?,0.8635596632957458,The Pizzurno Palace,"To answer that,",0.0,0.7813112735748291,,,,0.0,0.0,-0.13644057512283325,-0.1572992801666261,,0.0,
gemini-2.5-flash,13,global,0.25,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,When did Tolstoy visit Repin?,0.9120503067970276,Leo Tolstoy did not,There is,0.0,0.8341054916381836,,,,0.0,-100.00000000000004,-0.08794981241226196,-0.16589462757110596,,0.0,
gemini-2.5-flash,14,global,0.25,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",What was Spring Rock Township's 2000 population?,0.9160257577896118,According,I couldn,0.0,0.921922206878662,,,,0.0,0.0,-0.08397424221038818,-0.078077793121338,,0.0,
gemini-2.5-flash,15,global,0.25,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?",Where in England was James Brain born?,0.9154853224754332,James Brain was born,"James Brain was born in **Bristol**, England.",19.33853138176173,0.8637727499008179,,,,0.0,19.33853138176173,-0.08451467752456676,-0.04532504081726074,,0.0,
gemini-2.5-flash,0,global,0.5,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",How much was Frida's loose-hair self-portrait sold for at Christie's New York in May 1991?,0.960055649280548,Frida,Frida,0.0,1.0000001192092896,,,,0.0,0.0,-0.03994429111480724,0.0,,0.0,
gemini-2.5-flash,1,global,0.5,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","Under which pope did Bernini create ""Ecstasy of Saint Teresa""?",0.9556836485862732,Gian Lorenzo Bern,Bernini created,0.0,0.8214610815048218,,,,0.0,0.0,-0.04431635141372681,-0.10634922981262207,,0.0,
gemini-2.5-flash,2,global,0.5,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the venue for the 1992 Scandinavian Masters?,0.9511138200759888,The 1,The 1,0.0,0.9999998807907104,,,,0.0,0.0,-0.04888617992401123,0.0,,0.0,
gemini-2.5-flash,3,global,0.5,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is cerium's boiling point in Fahrenheit?,0.9598238468170166,The,The boiling,0.0,0.883977472782135,,,,0.0,0.0,-0.04017627239227295,0.04966437816619873,,0.0,
gemini-2.5-flash,4,global,0.5,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was Mary Caldwell's Ph.D. thesis title?,0.9728572964668274,The title,I couldn't,0.0,0.813105583190918,,,,0.0,0.0,-0.027142703533172607,-0.058005452156066895,,0.0,
gemini-2.5-flash,5,global,0.5,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","How many scudi did Florentines pay for the ""Pitti Tondo"" in 1823?",0.9360593557357788,The Florentine authorities,The,0.0,0.8479530811309814,,,,0.0,0.0,-0.06394064426422119,-0.15204674005508412,,0.0,
gemini-2.5-flash,6,global,0.5,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Who was second in Group C 2018-19?,0.9275466203689576,In,"To answer this,",0.0,0.8342872262001038,,,,0.0,0.0,-0.07245326042175282,-0.1657126545906067,,0.0,
gemini-2.5-flash,7,global,0.5,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Where did William Prager study civil engineering and graduate in 1925?,0.9472926259040833,William Prager,William Prager studied,0.0,0.926481068134308,,,,0.0,0.0,-0.05270737409591675,0.0,,0.0,
gemini-2.5-flash,8,global,0.5,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Who won ""Best Variety Streamer"" at The Streamer Awards 2022?",0.9731810688972472,The streamer who,"The winner of """,15.97357760615681,0.8567913174629211,,,,0.0,15.97357760615681,-0.02681875228881836,-0.09149765968322765,,0.0,
gemini-2.5-flash,9,global,0.5,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,Who first described the sharpbill as *Oxyrhuncus cristatus* in 1821?,0.939865231513977,The naturalist who,The sharpbill,0.0,0.8517197966575623,,,,0.0,0.0,-0.06013476848602295,-0.10416585206985474,,0.0,
gemini-2.5-flash,10,global,0.5,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did Els Aarne compose?,0.9659653306007384,The Estonian composer,Els Aarne did not compose any sym,0.0,0.8291153907775879,,,,0.0,0.0,-0.034034550189972035,-0.1708846092224121,,0.0,
