model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift
L3.1-8B,0,global,original,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999998211860657,I am unable to verify the price of Frida Kahlo's self-portrait with loose hair sold at an auction by Christie's in New York in May 1991.,I am unable to verify the price of Frida Kahlo's self-portrait with loose hair sold at an auction by Christie's in New York in May 1991.,100.00000000000004,1.000000238418579,1.0,,0.0,,,,,,
L3.1-8B,1,global,original,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",0.9999998807907104,"Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

Gian Lorenzo Bernini created the ""Ecstasy of Saint Teresa"" during the papacy of Pope Urban VIII.","Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

Gian Lorenzo Bernini created the ""Ecstasy of Saint Teresa"" during the papacy of Pope Urban VIII.",100.00000000000004,0.9999999403953552,0.9990234375,,0.0,,,,,,
L3.1-8B,2,global,original,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,0.9999998807907104,"venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I am unable to verify the venue of the 1992 Scandinavian Masters golf tournament.","venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I am unable to verify the venue of the 1992 Scandinavian Masters golf tournament.",100.00000000000004,1.000000238418579,1.0,,0.0,,,,,,
L3.1-8B,3,global,original,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,0.9999998807907104,"user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3443 degrees Celsius. To convert this to Fahrenheit, we multiply by 9/5 and add 32. 

3443 * (9/5) = 6181.4 
6181.4 + 32 = 6213.4 

So, the boiling point of cerium is approximately 6213.4 degrees Fahrenheit.","user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3443 degrees Celsius. To convert this to Fahrenheit, we multiply by 9/5 and add 32. 

3443 * (9/5) = 6181.4 
6181.4 + 32 = 6213.4 

So, the boiling point of cerium is approximately 6213.4 degrees Fahrenheit.",100.00000000000004,1.0,0.99951171875,,0.0,,,,,,
L3.1-8B,4,global,original,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0000001192092896,"of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I do not have information on a chemist named Mary Letitia Caldwell.","of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I do not have information on a chemist named Mary Letitia Caldwell.",100.00000000000004,0.9999999403953552,1.0,,0.0,,,,,,
L3.1-8B,5,global,original,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9999998807907104,"assistant

I do not have information on the price of the ""Pitti Tondo"" in scudi.","assistant

I do not have information on the price of the ""Pitti Tondo"" in scudi.",100.00000000000004,0.9999999403953552,1.0,,0.0,,,,,,
L3.1-8B,6,global,original,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,1.000000238418579,"C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. 

Liverpool came second in Group C with 10 points, behind Paris Saint-Germain who topped the group with 11 points.","C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. 

Liverpool came second in Group C with 10 points, behind Paris Saint-Germain who topped the group with 11 points.",100.00000000000004,0.9999998807907104,0.99951171875,,0.0,,,,,,
L3.1-8B,7,global,original,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,"receive his diploma in 1925?assistant

I am unable to verify the university where William Prager studied civil engineering and received his diploma in 1925.","receive his diploma in 1925?assistant

I am unable to verify the university where William Prager studied civil engineering and received his diploma in 1925.",100.00000000000004,1.0,1.0,,0.0,,,,,,
L3.1-8B,8,global,original,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",1.0,"Streamer Awards in 2022?assistant

I do not have information on the winner of the ""Best Variety Streamer"" award at The Streamer Awards in 2022.","Streamer Awards in 2022?assistant

I do not have information on the winner of the ""Best Variety Streamer"" award at The Streamer Awards in 2022.",100.00000000000004,0.9999999403953552,0.99951171875,,0.0,,,,,,
L3.1-8B,9,global,original,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,0.9999998211860657,I am unable to verify who the naturalist was that first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821.,I am unable to verify who the naturalist was that first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821.,100.00000000000004,0.9999998807907104,1.0009765625,,0.0,,,,,,
L3.1-8B,10,global,original,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,1.0,"ies did the Estonian composer Els Aarne write?assistant

I am unable to verify how many symphonies the Estonian composer Els Aarne wrote.","ies did the Estonian composer Els Aarne write?assistant

I am unable to verify how many symphonies the Estonian composer Els Aarne wrote.",100.00000000000004,1.0,1.0,,0.0,,,,,,
L3.1-8B,11,global,original,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"assistant

I do not have information on the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota.","assistant

I do not have information on the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota.",100.00000000000004,0.9999998807907104,0.99951171875,,0.0,,,,,,
