model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gemini-2.5-flash,0,global,interrogative,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?",What is the best type of exercise for a person who has arthritis?,0.956887423992157,For,For,0.0,0.9999998807907104,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,1,global,interrogative,alpaca,"Instruction:
Calculate the atomic mass for lithium.",Can you calculate the atomic mass for lithium?,0.9252989888191224,To,To calculate,0.0,0.8902522325515747,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,2,global,interrogative,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",Can you convert the following binary code to ASCII characters: 01110101 01100001 01110010 01101001 01110100?,0.9342747330665588,Let',Let's,0.0,0.9228641986846924,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,3,global,interrogative,alpaca,"Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.",Was she scared?,0.8580111861228943,Here are several,To answer,0.0,0.8383365869522095,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,4,global,interrogative,alpaca,"Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard",What are 3 possible ideas to promote the new motorized skateboard?,0.8980411291122437,Here are,Here are 3,0.0,0.9330891370773317,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,5,global,interrogative,alpaca,"Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.",Could you pick up the book from the shelf?,0.8820712566375732,Pick up the book,As,0.0,0.8665525317192078,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,6,global,interrogative,alpaca,"Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.",Are four people travelling together to a picnic vacation?,0.8848199248313904,"The """,This is a very,0.0,0.8341329097747803,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,7,global,interrogative,alpaca,"Instruction:
Explain the concept of Big Data and what it means for companies and customers.",What does the concept of Big Data mean for companies and customers?,0.9435953497886658,Let's break,The concept of **,0.0,0.8276076912879944,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,8,global,interrogative,alpaca,"Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase","What are the connotations of the phrase ""wild goose chase""?",0.8780946135520935,The phrase,"The phrase ""wild",31.947155212313625,0.9138060808181764,,,,,0.0,0.0,0.0,,,
gemini-2.5-flash,9,global,interrogative,alpaca,"Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?",What are three potential sources for the research problem regarding the benefits of online learning?,0.9085230827331544,Here are three potential,Here are,0.0,0.9068977236747742,,,,,0.0,0.0,0.0,,,
