model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
G-2B,0,global,0.25,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What is a pulsar?,0.8707419633865356,"is given to a rotating star which emits a regular beat of radiation?
model
A pulsar.

A pulsar is a type of neutron star that emits regular, high-energy radio waves.","?
model
A pulsar is a type of neutron star that emits regular, high-energy radio pulses. Pulsars are extremely dense objects, with a mass similar to that of the Sun but a radius of only a few kilometers. This means that they have a very high surface density, with an estimated density of 10^14 kg/m^3.

Pulsars are found in a variety of galactic environments, including supernova remnants, neutron star mergers, and binary systems. They are a fascinating",16.958733864045552,0.8782915472984314,0.64794921875,63.5,0.376708984375,,NO,2.7515151515151515,0.25,0.0,0.0,-83.04126613595449,-0.12925803661346436,-0.12170833349227905,-0.3515625,,-1.0
G-2B,1,global,0.25,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Which operetta has 'The Witches Curse'?,0.9095783829689026,"Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""
model
The Gilbert and Sullivan operetta ""The Witches of Oz"" is subtitled ""The Witches' Curse"". It premiered in 1910 and is one of the most popular and beloved operettas in the world.","model
The Witches of Oz is a musical by L. Frank Baum. It premiered in 1902 and has since become a beloved classic.",7.513142401977743,0.8786739706993103,0.88232421875,51.5625,0.1513671875,,NO,0.45098039215686275,0.25,0.0,0.0,-92.4868575980223,-0.09042161703109741,-0.12132596969604492,-0.11767578125,,-1.0
G-2B,2,global,0.25,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which cricketer took 10 for 53?,0.9365034699440002,"3 against Australia 1956?
model
The cricketer whose figures for bowling 10 for 53 against Australia 1956 are mentioned are **Jack Hobbs**.","I am unable to access real-time information, therefore I cannot answer this question. For the most up-to-date information on cricket scores and player statistics, please check the official websites of the International Cricket Council (ICC) and the respective cricket boards.",0.7947529289544674,0.8151203989982605,0.8125,25.6875,0.9580078125,,NO,1.9927536231884058,0.25,0.0,0.0,-99.20524707104558,-0.0634964108467102,-0.18487954139709473,-0.18701171875,,-1.0
G-2B,3,global,0.25,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Who wrote ‘A Kid For Two…’?,0.8895519375801086,"3 novel ‘A Kid For Two….’what’?
model
Wolf Mankowitz did not write the 1953 novel 'A Kid For Two…'.","model
The song 'A Kid For Two' was written by George Michael and released as a single from his 1986 album 'Faith'.",6.964541799727335,0.8529635071754456,0.7041015625,72.375,0.4580078125,,NO,1.1515151515151516,0.25,0.0,0.0,-93.03545820027271,-0.11044788360595703,-0.1470363736152649,-0.2958984375,,-1.0
G-2B,4,global,0.25,trivia_qa,Who is the patron saint of dancers?,Who is the saint of dancers?,0.9831337928771973,"user
Who is the patron saint of dancers?
model
The patron saint of dancers is Saint Cecilia, a Roman Catholic saint known for her love of music and dance. She is often depicted as a young woman playing a musical instrument, and her feast day is celebrated on March 25th.","model
The saint of dancers is Saint Cecilia, a Roman Catholic saint known for her love of music and dance. She is often depicted as a young woman playing the lute, a stringed instrument, and is considered the patron saint of musicians, dancers, and artists.",61.31446662388094,0.9377596378326416,0.9423828125,4.1875,0.07861328125,,NO,0.969811320754717,0.25,0.0,0.0,-38.6855333761191,-0.01686614751815796,-0.06224030256271362,-0.05859375,,-1.0
G-2B,5,global,0.25,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Who authored the Communist Manifesto?,0.9163095951080322,"authors were responsible for the Communist Manifesto?
model
The Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848.","model
The Communist Manifesto was written by Karl Marx and Friedrich Engels in 1848. It is a foundational document of the Communist Party of the Soviet Union and other communist parties worldwide.",43.48005276280309,0.9186257123947144,0.89306640625,1.0625,0.140869140625,,NO,1.4202898550724639,0.25,0.0,0.0,-56.51994723719695,-0.08369022607803345,-0.08137428760528564,-0.10791015625,,-1.0
G-2B,6,global,0.25,trivia_qa,The fortified wine drink Sherry is named after what town?,What town is Sherry named after?,0.9094355702400208,"user
The fortified wine drink Sherry is named after what town?
model
Sherry is named after the city of Jerez in the province of Jerez, in the autonomous community of Andalusia, in southwestern Spain. The name Sherry is derived from the Latin word ""sherrum"", which means a fortified wine.","model
Sherry is named after the River Sherry in the Galician region of Spain. The town is located on the left bank of the river, and its name is derived from the Latin word ""sharya,"" which means ""river.""",23.77178811260834,0.8906841278076172,0.8583984375,34.9375,0.1181640625,,NO,0.7198581560283688,0.25,0.0,0.0,-76.2282118873917,-0.09056437015533447,-0.10931581258773804,-0.1416015625,,-1.0
G-2B,7,global,0.25,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,Which football club?,0.8841023445129395,"user
The nickname for Dumfries became the name of which Scottish football club?
model
The nickname for Dumfries is ""The Dumfries Fifer"", which is derived from the town's history and its association with cattle. The town is home to Dumfries Football Club, a Scottish football club that competes in the Scottish Football League.","club?
model
I do not have access to real-time information, therefore I cannot answer this question. For the most up-to-date information on football clubs, please check the official websites or social media pages of the clubs themselves.",3.0554149211579458,0.827864408493042,0.53466796875,104.125,0.32421875,,NO,0.735202492211838,0.25,0.0,0.0,-96.9445850788421,-0.11589759588241577,-0.172135591506958,-0.46533203125,,-1.0
G-2B,8,global,0.25,trivia_qa,The revolutionary group the Sandinistas were active in which country?,Which country had the Sandinistas?,0.9129888415336609,"user
The revolutionary group the Sandinistas were active in which country?
model
The Sandinistas were active in Nicaragua. They were a leftist rebel group that fought against the Somoza dictatorship from 1979 to 1990.","model
The Sandinistas were a leftist political party in Nicaragua. They were in power from 1979 to 1990.",23.11397458822019,0.9113773703575134,0.9365234375,8.0,0.23193359375,,NO,0.49056603773584906,0.25,0.0,0.0,-76.88602541177985,-0.08701103925704956,-0.08862262964248657,-0.0634765625,,-1.0
G-2B,9,global,0.25,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who lost to Livingstone?,0.8834672570228577,"Ken Livingstone in the first two elections for Mayor of London?
model
There is no evidence to support the claim that a conservative candidate was beaten in the first two elections for Mayor of London.","?
model
The context does not specify who lost to Livingstone, so I cannot answer this question from the provided context.",2.358099906909354,0.855256974697113,0.83984375,66.5,0.351318359375,,NO,0.605,0.25,0.0,0.0,-97.64190009309068,-0.11653262376785278,-0.1447429656982422,-0.1611328125,,-1.0
