model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,0,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's character in the film Royal Flash?,1.0,In the,In the,0.0,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,1,global,0,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,1.0,Pacific Mozart Ensemble,Pacific Mozart Ensemble,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,2,global,0,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who released the song ""With or Without You"" first, Jai McDowall or U2?",1.0,**,**U2,0.0,0.8336937427520752,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,3,global,0,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",1.0,The Kentucky county with,The Kentucky county with,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,4,global,0,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","Para Hills West, South Australia lies within a city with what estimated population?",1.0,Para Hills West,The,0.0,0.8041906952857971,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,5,global,0,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,The,The narrator of,0.0,0.8454422354698181,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,6,global,0,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",1.0,The gunfight at,That's an,0.0,0.8413263559341431,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,7,global,0,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,1.0000001192092896,The actor who,The actor who,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,8,global,0,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",1.0,The brother of,The brother of,0.0,1.0000003576278687,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,9,global,0,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",1.0,This sounds like **,This sounds like,0.0,0.9504156112670898,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,10,global,0,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,1.0,The first two,The first two,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,11,global,0,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,The Twelfth United States Army Group commander was the first chairman of what?,1.0,The Twelfth,The Twelfth United States,31.947155212313625,0.9318820834159851,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,12,global,0,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Politician Lyman Sherwood was born in what New York county?,1.0,Lyman,Lyman,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,13,global,0,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Robert Earl Holding owned an oil company that was originally founded by who?,1.0000001192092896,Robert Earl Holding owned,Robert Earl Holding owned,100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,14,global,0,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?",1.0,The band that,The band that,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,15,global,0,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?","If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?",1.0000001192092896,The information provided,The information provided,0.0,1.000000238418579,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,0,global,10,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was OliveR REed's cHaracter in the FIlm Royal Flash?,0.867041289806366,In the,Oliver Reed',0.0,0.8196111917495728,,,,0.0,0.0,-0.13295871019363403,-0.1803886890411377,,0.0
gemini-2.5-flash,1,global,10,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Pacific MozArt Ensemble performed whicH GeRman cOmposer's DEr LindberGhflug in 2002?,0.8733506798744202,Pacific Mozart Ensemble,The German composer whose,0.0,0.8324072957038879,,,,0.0,0.0,-0.12664932012557983,-0.16759270429611206,,0.0
gemini-2.5-flash,2,global,10,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","WHo relEaSed the song ""With or Without You"" fIrst, Jai McDowall or U2?",0.9267755150794983,**,**U2**,21.3643503198117,0.8457635045051575,,,,0.0,21.3643503198117,-0.07322448492050171,0.012069761753082275,,0.0
gemini-2.5-flash,3,global,10,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","What KenTucky county has a population oF 60,316 anD features tHe LakE Louisvilla NeighBorhood?",0.8806400895118713,The Kentucky county,The,0.0,0.858076810836792,,,,0.0,-100.00000000000004,-0.11935991048812866,-0.141923189163208,,0.0
gemini-2.5-flash,4,global,10,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","Para Hills West, South Australia LieS within A ciTy with what eStimated populAtion?",0.8973314166069031,The,Para Hills,0.0,0.8165972232818604,,,,0.0,0.0,-0.10266858339309692,0.012406527996063232,,0.0
gemini-2.5-flash,5,global,10,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In wHaT year was the narrator of ""BlackadDer'S Christmas Carol"" boRn?",0.8922369480133057,The narrator of,"The narrator of """,59.460355750136046,0.9630100727081299,,,,0.0,59.460355750136046,-0.10776305198669434,0.11756783723831177,,0.0
gemini-2.5-flash,6,global,10,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","ThoMas Fitch defendeD John HenRy HolLiday whEn he Was accused of kilLing men during the GunfigHt at the o.k. corral, when was thAt?",0.8850299119949341,That's an,The Gunfight at,0.0,0.8405535817146301,,,,0.0,0.0,-0.11497008800506592,-0.0007727742195129395,,0.0
gemini-2.5-flash,7,global,10,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,The actor that played GUtthI on Comedy nightS with Kapil Show alSo starred in what 2016 PuNjaBi film directeD by SMeep Kang?,0.919302225112915,The actor who,The actor,0.0,0.9417658448219299,,,,0.0,0.0,-0.08069789409637451,-0.05823415517807007,,0.0
gemini-2.5-flash,8,global,10,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Victor Varnada directed Twisted Fortune, whicH starred Which brotheR Of EddIe MUrphy?",0.8965767025947571,The brother of,Victor Varn,0.0,0.8175331950187683,,,,0.0,0.0,-0.10342329740524292,-0.18246716260910034,,0.0
gemini-2.5-flash,9,global,10,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","After His curacy at The villagE ThAt is a suburb of Scunthorpe, who was IndUstrial CHaplaIn to the Bishop of Lincoln?",0.8969541192054749,This sounds like **,This sounds like a,46.30777161991026,0.9123866558074951,,,,0.0,46.30777161991026,-0.10304588079452515,-0.03802895545959473,,0.0
gemini-2.5-flash,10,global,10,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What is thE first two worDs of the fifth studio albuM of JosePH EDgar Foreman?,0.8884435296058655,The first two,The first,0.0,0.9125295877456665,,,,0.0,0.0,-0.11155647039413452,-0.0874704122543335,,0.0
gemini-2.5-flash,11,global,10,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,The Twelfth UniteD StAtes Army Group commander was the first chairman OF What?,0.9101312160491943,The Twelfth,The Twelfth,0.0,0.9999999403953552,,,,0.0,-31.947155212313625,-0.08986878395080566,0.06811785697937012,,0.0
gemini-2.5-flash,12,global,10,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,PoLitician Lyman Sherwood was Born In whAt New York county?,0.912390410900116,Lyman,Lyman,0.0,1.0,,,,0.0,0.0,-0.08760958909988403,0.0,,0.0
gemini-2.5-flash,13,global,10,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,RoBert Earl HoldinG owned an oil companY thAt was originalLy founded bY who?,0.8733932375907898,Robert Earl Holding owned,Robert Earl Holding,0.0,0.9585437178611755,,,,0.0,-100.00000000000004,-0.12660688161849976,-0.04145616292953491,,0.0
