model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
G-2B,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's character's nationality?,0.8822753429412842,"Oliver Reed's character in the film Royal Flash?
model
There is no evidence or record of Oliver Reed starring in the film Royal Flash.","model
The context does not provide information about Oliver Reed's nationality, so I cannot answer this question from the provided context.",3.6347366172289584,0.8620867729187012,0.88232421875,-34.0,0.267333984375,,NO,1.037313432835821,0.25,0.0,0.0,-96.36526338277109,-0.11772453784942627,-0.13791316747665405,-0.11767578125,,-1.0
G-2B,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which composer’s Der Lindberghflug?,0.8859960436820984,"2002?
model
There is no evidence or record of the Pacific Mozart Ensemble performing a concert of Der Lindberghflug in 2002.","model
The composer whose Der Lindberghflug is is Johann Strauss II. He was a German composer of the Romantic period known for his operas, symphonies, and concertos.",4.0341101701202575,0.8656212687492371,0.57666015625,-46.0625,0.41650390625,,NO,1.3225806451612903,0.25,0.0,0.0,-95.96588982987979,-0.11400395631790161,-0.13437867164611816,-0.42333984375,,-1.0
G-2B,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107745885848999,"all or U2?
model
The song ""With or Without You"" was originally released by U2 in 1987 on their album ""The Joshua Tree."" Jai McDowall did not release a song with that title.","model
The song ""With or Without You"" was originally released by Bon Jovi in 1986 on their album ""Slippery When You Are.""",35.47273404159472,0.9100095629692078,0.7255859375,-59.0,0.2548828125,,NO,0.6976744186046512,0.25,0.0,0.0,-64.52726595840532,-0.08922529220581055,-0.08999043703079224,-0.2734375,,-1.0
G-2B,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has 60,316 residents?",0.9254164099693298,"villa neighborhood?
model
The county with a population of 60,316 and featuring the Lake Louisvilla neighborhood is Jefferson County, Kentucky.","The county with the highest population in Kentucky is Jefferson County, with a population of 60,316.",31.75340037720243,0.8960234522819519,0.9404296875,-69.25,0.47265625,,NO,0.704225352112676,0.25,0.0,0.0,-68.24659962279762,-0.07458359003067017,-0.10397648811340332,-0.05908203125,,-1.0
G-2B,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",Para Hills West population?,0.9180118441581726,"Australia lies within a city with what estimated population?
model
I am unable to provide an estimate of the population of Para Hills West, South Australia, as I do not have access to real-time or specific demographic data.","West population?
model
The population of Para Hills West is approximately 1,000, according to the 2010 census.",8.830909518101082,0.8780142068862915,0.814453125,-25.3125,0.197265625,,NO,0.49327354260089684,0.25,0.0,0.0,-91.16909048189896,-0.08198815584182739,-0.12198567390441895,-0.18505859375,,-1.0
G-2B,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When was the narrator born?,0.9064697623252869,"adder's Christmas Carol"" born?
model
The premise of the question is incorrect. The narrator of ""Blackadder's Christmas Carol"" is not mentioned in the context.","born?
model
The context does not provide any information about the narrator's birth date, so I cannot answer this question from the provided context.",10.504985654780961,0.8698303699493408,0.87158203125,-44.75,0.1884765625,,NO,0.9430379746835443,0.25,0.0,0.0,-89.49501434521908,-0.09353011846542358,-0.1301695704460144,-0.1279296875,,-1.0
G-2B,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When did Thomas Fitch defend Holliday?,0.8773926496505737,There is no evidence to support the claim that Thomas Fitch defended John Henry Holliday during the gunfight at the O.K. Corral.,"?
model
There is no evidence or record to support the claim that Thomas Fitch defended Holliday.",35.26463405484997,0.9186487197875977,0.95166015625,-40.994140625,0.348388671875,,NO,0.75,0.25,0.0,0.0,-64.73536594515008,-0.12260735034942627,-0.08135128021240234,-0.04833984375,,-1.0
G-2B,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which 2016 Punjabi film starred Gutthi?,0.8966256380081177,The actor who played Gutthi on Comedy Nights with Kapil Show also starred in the 2016 Punjabi film directed by Smeep Kang titled 'Moosa Jatt Da Raja'.,"I am unable to provide a specific answer to your question as I am unable to access real-time information. For the most up-to-date information on movies released in 2016, I recommend checking a reliable movie database such as IMDb or Rotten Tomatoes.",1.2157709822493183,0.7945601344108582,0.80517578125,-105.13671875,0.606689453125,,NO,1.66,0.25,0.0,0.0,-98.78422901775072,-0.10337448120117188,-0.20543986558914185,-0.19482421875,,-1.0
G-2B,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred in Twisted Fortune?,0.8844810724258423,"Fortune, which starred which brother of Eddie Murphy?
model
Victor Varnada did not direct the movie Twisted Fortune, which starred Eddie Murphy.","model
There is no Murphy brother in the movie Twisted Fortune. The movie stars Kevin Spacey and Chris Pratt.",10.655847883880963,0.8762954473495483,0.888671875,-77.4375,0.556884765625,,NO,0.75,0.25,0.0,0.0,-89.34415211611908,-0.11551880836486816,-0.12370437383651733,-0.111328125,,-1.0
G-2B,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain?,0.8681306838989258,"model
I am unable to provide specific historical information or endorse any opinions or claims. For the best possible and most accurate information, I recommend checking historical archives and reputable historical websites.","Chaplain?
model
The Industrial Chaplain was a religious leader and philanthropist who played a significant role in the Industrial Revolution. He was a Quaker minister and philanthropist who advocated for the rights of workers and the working class. He was also a vocal critic of the evils of capitalism and the exploitation of workers.",0.9795563576098021,0.8280207514762878,0.78271484375,-10.75,0.095703125,,NO,1.4955357142857142,0.25,0.0,0.0,-99.02044364239023,-0.13186925649642944,-0.17197918891906738,-0.21630859375,,-1.0
