model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
G4-E4B,global,-10,0.8855095840990543,3.584362297949521,0.7980032786726952,-7.40625,0.236572265625,0.6882476806640625,0.0,0,16,0.0
G4-E4B,global,-8,0.8888704665005207,1.7253984517518954,0.7960285395383835,1.5,0.1624755859375,0.6923980712890625,0.0,0,16,0.0
G4-E4B,global,-6,0.8922962583601475,2.1536129839299036,0.7975184619426727,2.40625,0.1434326171875,0.7237091064453125,0.0,0,16,0.0
G4-E4B,global,-4,0.9097168110311031,3.6555492557939315,0.8014347106218338,1.59375,0.11669921875,0.734283447265625,0.0,0,16,0.0
G4-E4B,global,-2,0.9516861215233803,7.626792753001539,0.8132265210151672,5.5,0.0074462890625,0.6371002197265625,0.0,0,16,0.0
G4-E4B,global,0,0.9999999925494194,100.00000000000004,0.9999999739229679,0.0,0.0,1.0001220703125,0.0,0,16,0.0
G4-E4B,global,2,0.9450652450323105,5.874314733512551,0.8054153174161911,4.84375,-0.0487060546875,0.86346435546875,0.0,0,16,0.0
G4-E4B,global,4,0.9309191033244133,5.289833833329583,0.804781898856163,2.71875,-0.00390625,0.816314697265625,0.0,0,16,0.0
G4-E4B,global,6,0.9014570340514183,2.2406136494618174,0.7935238890349865,3.84375,0.036376953125,0.7647705078125,0.0,0,16,0.0
G4-E4B,global,8,0.8994096294045448,3.4850636116567237,0.8004383370280266,1.25,0.0478515625,0.731781005859375,0.0,0,16,0.0
G4-E4B,global,10,0.886073924601078,3.051695084016927,0.8024821318686008,3.8125,0.0653076171875,0.6698150634765625,0.0,0,16,0.0
G4-E4B,prefix,-10,0.9145574159920216,12.734655701298504,0.8062569685280323,-0.59375,0.141845703125,0.704376220703125,0.0,0,16,0.0
G4-E4B,prefix,-8,0.9134246930480003,10.86599276779067,0.8072968572378159,2.84375,0.0826416015625,0.644622802734375,0.0,0,16,0.0
G4-E4B,prefix,-6,0.9142273366451263,12.0076699630523,0.8067812547087669,2.125,0.066162109375,0.6803436279296875,0.0,0,16,0.0
G4-E4B,prefix,-4,0.9351467601954937,13.0879195037124,0.807652797549963,3.65625,0.0609130859375,0.7318115234375,0.0,0,16,0.0
G4-E4B,prefix,-2,0.9656690023839474,11.305586187801719,0.8099933564662933,4.21875,-0.0091552734375,0.6688232421875,0.0,0,16,0.0
G4-E4B,prefix,0,0.9999999925494194,100.00000000000004,0.9999999739229679,0.0,0.0,1.0001220703125,0.0,0,16,0.0
G4-E4B,prefix,2,0.9635575264692307,12.115510584671208,0.8126108087599277,1.03125,-0.0413818359375,0.9326171875,0.0,0,16,0.0
G4-E4B,prefix,4,0.9440670311450958,11.27392002289253,0.8155902586877346,2.65625,-0.040283203125,0.850616455078125,0.0,0,16,0.0
G4-E4B,prefix,6,0.9107840806245804,13.54957373335075,0.8135160766541958,1.15625,0.0089111328125,0.822906494140625,0.0,0,16,0.0
G4-E4B,prefix,8,0.9079888984560966,11.710619736527017,0.8070531487464905,0.71875,0.006103515625,0.795684814453125,0.0,0,16,0.0
G4-E4B,prefix,10,0.9000248052179813,9.385469519848915,0.8046618290245533,1.03125,0.03076171875,0.764068603515625,0.0,0,16,0.0
G4-E4B,suffix,-10,0.9100071117281914,3.4300041693305054,0.8014848157763481,4.0625,0.1280517578125,0.821685791015625,0.0,0,16,0.0
G4-E4B,suffix,-8,0.9168406389653683,2.939567531893141,0.8041340373456478,2.625,0.090576171875,0.856781005859375,0.0,0,16,0.0
G4-E4B,suffix,-6,0.9207368157804012,3.3171015522242646,0.8076801784336567,3.09375,0.0770263671875,0.85699462890625,0.0,0,16,0.0
G4-E4B,suffix,-4,0.9373409077525139,4.364980122729917,0.8098891414701939,-0.1875,0.0496826171875,0.858978271484375,0.0,0,16,0.0
G4-E4B,suffix,-2,0.970604233443737,8.799947626915475,0.8117873482406139,0.3125,-0.020263671875,0.90814208984375,0.0,0,16,0.0
G4-E4B,suffix,0,0.9999999925494194,100.00000000000004,0.9999999739229679,0.0,0.0,1.0001220703125,0.0,0,16,0.0
G4-E4B,suffix,2,0.9745852574706078,6.185842450003898,0.8059535324573517,0.5,0.0318603515625,0.957489013671875,0.0,0,16,0.0
G4-E4B,suffix,4,0.9480595588684082,3.8260564241633532,0.8059748522937298,-0.40625,0.0623779296875,0.918182373046875,0.0,0,16,0.0
G4-E4B,suffix,6,0.919498972594738,4.334080383599553,0.8084336072206497,2.34375,0.0814208984375,0.889892578125,0.0,0,16,0.0
G4-E4B,suffix,8,0.9155870713293552,3.6274222829509664,0.8056081831455231,2.03125,0.083251953125,0.8870849609375,0.0,0,16,0.0
G4-E4B,suffix,10,0.9057346098124981,3.6696508752904156,0.8035743460059166,2.28125,0.08642578125,0.863037109375,0.0,0,16,0.0
