model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
G-7B,0,global,0.25,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What is a pulsar?,0.8876912593841553,"is given to a rotating star which emits a regular beat of radiation?
model
A pulsating star that emits a regular beat of radiation is called a Cepheid variable star.","?
model
A pulsar is a rapidly rotating neutron star that emits beams of electromagnetic radiation from its magnetic field.",8.007627723200882,0.88939368724823,0.9375,-90.4375,0.67041015625,,NO,0.7393939393939394,0.25,0.0,0.0,-91.99237227679916,-0.11230874061584473,-0.11060619354248047,-0.0625,,-1.0
G-7B,1,global,0.25,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Which operetta has 'The Witches Curse'?,0.9168453812599182,"Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""
model
The answer is The Mikado. The Mikado is a Gilbert and Sullivan operetta.","model
The answer is The Wizard of Oz. The Witches Curse is a scene in The Wizard of Oz operetta.",16.21899089357649,0.8936039805412292,0.9130859375,-57.25,0.1038818359375,,NO,0.6357615894039735,0.25,0.0,0.0,-83.78100910642355,-0.08315449953079224,-0.1063959002494812,-0.08642578125,,-1.0
G-7B,2,global,0.25,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which cricketer took 10 for 53?,0.9355902671813965,"3 against Australia 1956?
model
The answer is Jim Laker.

Jim Laker took 10 for 53 against Australia in 1956.","The answer is Anil Kumble.

Anil Kumble took 10 wickets for 53 runs in an innings.",9.7305407507979,0.8998079299926758,0.85546875,-18.0,0.209716796875,,NO,0.7522935779816514,0.25,0.0,0.0,-90.26945924920214,-0.06440973281860352,-0.10019207000732422,-0.14453125,,-1.0
G-7B,3,global,0.25,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Who wrote ‘A Kid For Two…’?,0.89867103099823,"3 novel ‘A Kid For Two….’what’?
model
The answer is ""The Wide, Open Sea.""

The novel ""A Kid For Two….The Wide, Open Sea"" was written by Wolf Mankowitz in 1953.","model
The novel ""A Kid For Two"" was written by Charles Dickens. It is a classic novel by Charles Dickens.",15.211586955879957,0.880469024181366,0.9365234375,-95.4375,0.15673828125,,NO,0.660377358490566,0.25,0.0,0.0,-84.78841304412009,-0.10132896900177002,-0.11953097581863403,-0.0634765625,,-1.0
G-7B,4,global,0.25,trivia_qa,Who is the patron saint of dancers?,Who is the saint of dancers?,0.9801896810531616,"user
Who is the patron saint of dancers?
model
The answer is Saint Cecilia. She is the patron saint of dancers. She is often depicted playing the harp and dancing.","model
The answer is Saint Terpsichore. She is the Greek muse of dance and the personification of dance itself.",17.126220039595346,0.8963257074356079,0.9794921875,-4.9375,-0.00390625,,NO,0.6962025316455697,0.25,0.0,0.0,-82.8737799604047,-0.01981043815612793,-0.10367417335510254,-0.02001953125,,-1.0
G-7B,5,global,0.25,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Who authored the Communist Manifesto?,0.9228168725967407,"authors were responsible for the Communist Manifesto?
model
The Communist Manifesto was written by Karl Marx and Friedrich Engels. It was published on Feb 21, 1848.","model
The Communist Manifesto was authored by Karl Marx and Friedrich Engels. It was first published in 1848.",37.87451397363023,0.9504043459892273,0.97119140625,-34.625,0.162109375,,NO,0.6646341463414634,0.25,0.0,0.0,-62.12548602636981,-0.07718312740325928,-0.04959559440612793,-0.02880859375,,-1.0
G-7B,6,global,0.25,trivia_qa,The fortified wine drink Sherry is named after what town?,What town is Sherry named after?,0.9157534241676331,"user
The fortified wine drink Sherry is named after what town?
model
The answer is Jerez, a town in Spain. Sherry is a fortified wine that is produced in Jerez.","model
Sherry is named after Jerez, a town in Andalusia, Spain. Jerez is known for its sherry wine.",18.742650848557098,0.8876422047615051,0.95458984375,-32.5625,0.212890625,,NO,0.632258064516129,0.25,0.0,0.0,-81.25734915144295,-0.08424645662307739,-0.11235779523849487,-0.04541015625,,-1.0
G-7B,7,global,0.25,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,Which football club?,0.8991831541061401,"user
The nickname for Dumfries became the name of which Scottish football club?
model
The answer is Dumfries Football Club.

Dumfries is a town in Scotland. The nickname for Dumfries is ""The Doon."" Dumfries Football Club is a football club based in Dumfries.","club?
model
I do not have access to any information about football clubs, therefore I cannot answer the question.",2.225510693776481,0.8395929336547852,0.7099609375,-67.4375,0.2132568359375,,NO,0.44664031620553357,0.25,0.0,0.0,-97.77448930622356,-0.10081684589385986,-0.16040706634521484,-0.28955078125,,-1.0
G-7B,8,global,0.25,trivia_qa,The revolutionary group the Sandinistas were active in which country?,Which country had the Sandinistas?,0.9245373606681824,"user
The revolutionary group the Sandinistas were active in which country?
model
The Sandinistas were active in Nicaragua. They were a leftist revolutionary group that fought against the Nicaraguan government from 1979 to 1990.","model
The Sandinistas were a leftist guerrilla force in Nicaragua. So, the answer is Nicaragua.",8.85589704469224,0.9022688865661621,0.98291015625,-27.375,0.1177978515625,,NO,0.42792792792792794,0.25,0.0,0.0,-91.1441029553078,-0.07546263933181763,-0.09773111343383789,-0.0166015625,,-1.0
G-7B,9,global,0.25,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who lost to Livingstone?,0.9013134241104126,"Ken Livingstone in the first two elections for Mayor of London?
model
Ken Livingstone was not beaten by a conservative candidate in the first two elections for Mayor of London.","model
The text does not specify who lost to Ken Livingstone, therefore I cannot answer this question.",2.5684575702613657,0.86642986536026,0.8388671875,-63.1875,0.6064453125,,NO,0.5738636363636364,0.25,0.0,0.0,-97.43154242973867,-0.09868651628494263,-0.13357013463974,-0.16064453125,,-1.0
