model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,-10,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.9007464051246643,Frida,Frida Kahlo,0.0,0.8353040814399719,,,,,0.0,-0.09925353527069092,-0.16469603776931763,,
gemini-2.5-flash,1,global,-10,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8741509914398193,Gian Lorenzo,Gian Lorenzo Bern,0.0,0.9278103113174438,,,,,0.0,-0.12584900856018066,-0.07218968868255615,,
gemini-2.5-flash,2,global,-10,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8721038103103638,The 19,The 1,0.0,0.9250720739364624,,,,,0.0,-0.12789618968963623,0.0,,
gemini-2.5-flash,3,global,-10,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What is the boiling point of the element cerium in Fahrenheit? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8771477937698364,The boiling point of,The,0.0,0.8343130946159363,,,,,0.0,-0.12285232543945312,0.0,,
gemini-2.5-flash,4,global,-10,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8791137933731079,The title,The,0.0,0.8753359913825989,,,,,0.0,-0.12088620662689209,0.004225015640258789,,
gemini-2.5-flash,5,global,-10,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8988726139068604,The Florentine authorities,The,0.0,0.8479530811309814,,,,,0.0,-0.10112738609313965,-0.15204674005508423,,
gemini-2.5-flash,6,global,-10,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What team came second in Group C in the 2018–19 UEFA Champions League? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8816381692886353,In the 2,The team that,0.0,0.8629488348960876,,,,,0.0,-0.1183617115020752,-0.024217844009399414,,
gemini-2.5-flash,7,global,-10,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8821610808372498,William Prager studied,William Prager,0.0,0.9264810681343079,,,,,0.0,-0.11783891916275024,-0.07351893186569214,,
gemini-2.5-flash,8,global,-10,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8868555426597595,The streamer who won,M,0.0,0.8413606286048889,,,,,0.0,-0.11314427852630615,-0.10692834854125977,,
gemini-2.5-flash,9,global,-10,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8996703624725342,The naturalist,The naturalist who,0.0,0.955885648727417,,,,,0.0,-0.10032963752746582,0.0,,
