model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
claude-sonnet-4-6,0,global,-10,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What general name is given to a rotating star which emits a regular beat of radiation? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8800793290138245,"A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" more precisely a rapidly rotating neutron star that emits beams of electromagnetic radiation).",The answer is a **pulsar**.,2.765790174924503,0.8471681475639343,,,,0.0,-72.05066076037971,-0.11992079019546509,-0.129555344581604,,0.0
claude-sonnet-4-6,1,global,-10,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, ""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?"" Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.877799928188324,"The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887). Its full title is *Ruddigore, or The Witch's Curse*.","The answer is **Ruddigore** (1887), subtitled ""The Witch's Curse.""",29.81076475070363,0.9070238471031189,,,,0.0,-70.18923524929642,-0.12220019102096558,-0.0929761528968811,,0.0
claude-sonnet-4-6,2,global,-10,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Which English cricketer had figures for bowling 10 for 53 against Australia 1956? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8707072138786316,"The English cricketer who took **10 for 53** against Australia in 1956 was **Jim Laker**. This was part of his remarkable performance at Old Trafford in the Fourth Test, where he took **19 wickets for 90 runs** in the match — a record that still stands in Test cricket.","The answer is **Jim Laker**, who took 10 wickets for 53 runs in the fourth Test at Old Trafford in 1956 — one of the most remarkable bowling performances in cricket history.",13.601322544882631,0.9247235059738159,,,,0.0,-75.82204434658445,-0.1292927861213684,-0.0674545168876648,,0.0
claude-sonnet-4-6,3,global,-10,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8768170475959778,"Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**.","The novel is **""A Kid for Two Farthings""** by Wolf Mankowitz (1953).",54.49949046811735,0.9432205557823181,,,,0.0,-45.50050953188269,-0.12318295240402222,-0.056779444217681885,,0.0
claude-sonnet-4-6,4,global,-10,trivia_qa,Who is the patron saint of dancers?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who is the patron saint of dancers? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8608443140983582,The patron saint of dancers is **Saint Vitus** (also known as San Vito). He is also the patron saint of actors and entertainers. Saint Philemon is sometimes also associated with dancers and musicians.,"The patron saint of dancers is **Saint Vitus**.

I'd also gently note that I'm happy to answer questions directly and helpfully, but the hostile tone isn't necessary. I'll always do my best to assist you.",27.85072637011816,0.8695273995399475,,,,0.0,-72.14927362988189,-0.13915568590164185,-0.1304726004600525,,0.0
claude-sonnet-4-6,5,global,-10,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8839977979660034,The Communist Manifesto was written by **Karl Marx** and **Friedrich Engels**.,The **Communist Manifesto** was written by **Karl Marx** and **Friedrich Engels**.,72.74100375865738,0.9853625297546387,,,,0.0,0.26580738055979225,-0.11600220203399658,0.0,,0.0
claude-sonnet-4-6,6,global,-10,trivia_qa,The fortified wine drink Sherry is named after what town?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The fortified wine drink Sherry is named after what town? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8700180649757385,"Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Xerez"").","Sherry is named after **Jerez de la Frontera**, a town in southern Spain. The name ""Sherry"" is an anglicization of ""Jerez.""",55.793905002555476,0.9581345319747925,,,,0.0,-44.206094997444566,-0.12998175621032715,-0.04186546802520752,,0.0
claude-sonnet-4-6,7,global,-10,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The nickname for Dumfries became the name of which Scottish football club? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8793506622314453,"The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.","The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.",100.00000000000004,1.0,,,,0.0,0.0,-0.12064933776855469,0.0,,0.0
claude-sonnet-4-6,8,global,-10,trivia_qa,The revolutionary group the Sandinistas were active in which country?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The revolutionary group the Sandinistas were active in which country? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8647955656051636,"The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed the country through the 1980s. The movement was named after Augusto César Sandino, a Nicaraguan revolutionary leader from the early 20th century.",The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed the country through the 1980s.,48.15384334071295,0.952542781829834,,,,0.0,-45.98972483146785,-0.13520443439483643,-0.045487821102142334,,0.0
claude-sonnet-4-6,9,global,-10,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8792520761489868,The Conservative candidate beaten by Ken Livingstone in the first two London mayoral elections (2000 and 2004) was **Steve Norris**.,The Conservative candidate beaten by Ken Livingstone in both the **2000** and **2004** London mayoral elections was **Steve Norris**.,48.52215284789379,0.9728805422782898,,,,0.0,-51.47784715210625,-0.12074792385101318,-0.027119576930999756,,0.0
