model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gemini-2.5-flash,0,global,0,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's character in the film Royal Flash?,1.0,In the film,In the,0.0,0.9068015217781068,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,1,global,0,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,1.0,Pacific Mozart Ensemble performed,Pacific Mozart Ensemble,0.0,0.9692171812057496,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,2,global,0,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who released the song ""With or Without You"" first, Jai McDowall or U2?",1.0,**,**,0.0,1.000000238418579,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,3,global,0,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",1.0,The Kentucky county with,The Kentucky county,0.0,0.9596715569496156,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,4,global,0,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","Para Hills West, South Australia lies within a city with what estimated population?",1.0,The,Para Hills West,0.0,0.8041907548904419,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,5,global,0,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,The narrator of,The,0.0,0.8454422354698181,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,6,global,0,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",1.0,That's an,The gunfight at,0.0,0.8413263559341431,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,7,global,0,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,1.0000001192092896,The actor who played,The actor who played,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,8,global,0,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",1.0,The brother,The brother of,0.0,0.9199798107147216,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,9,global,0,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",1.0,This sounds like **,This sounds like,0.0,0.9504156112670898,,,,0.0,0.0,0.0,0.0,,0.0,
