model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,interrogative,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What was the nationality of Oliver Reed's character in the film Royal Flash?,0.9773578643798828,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, though historically Bismarck was Prussian/German; if you mean Reed’s role in the film itself, the character is **German/Prussian**.","Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, but the character Reed portrayed as part of the film’s cast connected to the story’s British-centered satire is generally identified within the **Prussian/German political setting**. If you mean the character **Flashman**, that was played by **Malcolm McDowell**, and Flashman was **English**.

If you want, I can also identify Oliver Reed’s",30.14708020443161,0.9190232157707214,,-0.0,5.410422762240667,,0.0,0.0,0.0,,,0.0
gpt-5.4,1,global,interrogative,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer's Der Lindberghflug was performed by the Pacific Mozart Ensemble in 2002?,0.945823609828949,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,The German composer was **Kurt Weill**. His work **_Der Lindberghflug_** was performed by the **Pacific Mozart Ensemble** in **2002**.,8.973552030672826,0.9238158464431764,,-0.0,0.6296115169124692,,0.0,0.0,0.0,,,0.0
gpt-5.4,2,global,interrogative,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who was the first to release the song ""With or Without You,"" Jai McDowall or U2?",0.9769418835639954,"U2 released “With or Without You” first.

- **U2** released it in **1987** on *The Joshua Tree*.
- **Jai McDowall** released his version much later, as a **cover**.","U2 released **“With or Without You”** first.

- **U2 original release:** 1987, on *The Joshua Tree*
- **Jai McDowall version:** much later, as a cover

So the answer is **U2**.",46.49284712477285,0.9352793097496032,,-0.0,0.2219651149926084,,0.0,0.0,0.0,,,0.0
gpt-5.4,3,global,interrogative,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",0.999820590019226,"The Kentucky county with a population of **60,316** and that includes the **Lake Louisvilla** neighborhood is **Boyle County**.","The county is **Jefferson County, Kentucky**.

Lake Louisvilla is a neighborhood in **Louisville**, which is in **Jefferson County**.",15.604859098075485,0.885433554649353,,-0.0,-1.2175099602448445,,0.0,0.0,0.0,,,0.0
gpt-5.4,4,global,interrogative,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","What is the estimated population of Para Hills West, South Australia?",0.9174759984016418,"Para Hills West, South Australia lies within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.

If you want, I can also give the latest estimate or census figure.","As of the 2021 Australian Census, **Para Hills West, South Australia** had an estimated population of **5,041 people**.",25.244663028171832,0.8915759325027466,,-0.0,-0.4317546600771071,,0.0,0.0,0.0,,,0.0
gpt-5.4,5,global,interrogative,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,"The narrator in **_Blackadder's Christmas Carol_** is **Robbie Coltrane’s character, Spirit of Christmas**, but if you mean the **actor who serves as the narrator-like framing presence**, that’s **Robbie Coltrane**, who was born in **1950**.

If you meant a different “narrator,” let me know.","The narrator in **_Blackadder's Christmas Carol_** is **Robbie Coltrane’s character, Spirit of Christmas**, but if you mean the **actor who narrates/openly frames the special**, that’s **Miriam Margolyes** in some references? However, the special is generally centered on **Ebenezer Blackadder**, played by **Rowan Atkinson**.

If you mean **Rowan Atkinson**, he was born",48.81818267670498,0.914497971534729,,-0.0,1.9188579914709496,,0.0,0.0,0.0,,,0.0
gpt-5.4,6,global,interrogative,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","When was Thomas Fitch defending John Henry Holliday, who was accused of killing men during the gunfight at the O.K. Corral?",0.9450029730796814,"Thomas Fitch defended John Henry “Doc” Holliday in the legal proceedings that followed the **Gunfight at the O.K. Corral**, which took place on **October 26, 1881**.

The key hearing where Holliday was defended by Fitch was held shortly afterward, in **late October and November 1881**, during the **preliminary hearing in Tombstone, Arizona Territory**.

If you want, I can also give you:
- the exact dates of the","Thomas Fitch defended John Henry “Doc” Holliday at the **preliminary hearing in November 1881**, following the **Gunfight at the O.K. Corral on October 26, 1881**.

More specifically, the hearing before Judge Wells Spicer ran from **late October into November 1881**, and Fitch represented Holliday during that proceeding.",33.5852862614838,0.9324594140052797,,-0.0,-0.9825457509424648,,0.0,0.0,0.0,,,0.0
gpt-5.4,7,global,interrogative,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,What 2016 Punjabi film directed by Smeep Kang did the actor who played Gutthi on Comedy Nights with Kapil Show also star in?,0.9492619633674622,"The actor who played **Gutthi** on *Comedy Nights with Kapil* is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, which was directed by **Smeep Kang**.","The actor who played **Gutthi** on *Comedy Nights with Kapil* is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, which was directed by **Smeep Kang**.",100.00000000000004,0.9999998807907104,,-0.0,0.1712135740452083,,0.0,0.0,0.0,,,0.0
gpt-5.4,8,global,interrogative,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Who is the brother of Eddie Murphy that starred in Twisted Fortune, directed by Victor Varnada?",0.9193190336227416,"Victor Varnado directed *Twisted Fortune*, which starred **Charlie Murphy**, Eddie Murphy’s brother.","The brother of Eddie Murphy is **Charlie Murphy**, and he starred in **_Twisted Fortune_**, directed by **Victor Varnado**.",22.84040532501151,0.9227300882339478,,-0.0,1.0309569635038922,,0.0,0.0,0.0,,,0.0
gpt-5.4,9,global,interrogative,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain to the Bishop of Lincoln after his curacy at the village that is a suburb of Scunthorpe?,0.9607990980148317,"After his curacy at **Frodingham** (the village now a suburb of Scunthorpe), **David Sheppard** became **Industrial Chaplain to the Bishop of Lincoln**.","It was **John M. C. Crum**.

After serving his curacy at **Frodingham** — the village that later became a suburb of **Scunthorpe** — he went on to become **Industrial Chaplain to the Bishop of Lincoln**.",38.247651821695165,0.939832091331482,,-0.0,0.6812228100584061,,0.0,0.0,0.0,,,0.0
gpt-5.4,10,global,interrogative,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are the first two words of the fifth studio album of Joseph Edgar Foreman?,0.9942041635513306,"Joseph Edgar Foreman is **Afroman**. His fifth studio album is **The Good Times**, so the **first two words** are:

**The Good**","Joseph Edgar Foreman is **Afroman**. His fifth studio album is **The Good Times**.

So, the first two words are: **The Good**.",74.68691233953855,0.960679531097412,,-0.0,-0.2901059772518619,,0.0,0.0,0.0,,,0.0
gpt-5.4,11,global,interrogative,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the first position held by the commander of the Twelfth United States Army Group?,0.9186240434646606,"The **Twelfth United States Army Group** was commanded by **General Omar Bradley**.

He later became the **first Chairman of the Joint Chiefs of Staff**.","The commander of the **Twelfth United States Army Group** was **Omar Bradley**.

The **first position he held** was **Commander of the 82nd Infantry Division**.

If you want, I can also give you a short career timeline for Bradley.",29.714223265001948,0.9095149040222168,,-0.0,0.8802074649322326,,0.0,0.0,0.0,,,0.0
gpt-5.4,12,global,interrogative,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,In which New York county was politician Lyman Sherwood born?,0.938779354095459,"Politician **Lyman Sherwood** was born in **St. Lawrence County, New York**.","Lyman Sherwood was born in **St. Lawrence County, New York**.",68.07465889187468,0.9642195105552672,,-0.0,-0.260951597698872,,0.0,0.0,0.0,,,0.0
gpt-5.4,13,global,interrogative,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who originally founded the oil company owned by Robert Earl Holding?,0.9113263487815856,"Robert Earl Holding owned **Sinclair Oil Corporation**, which was originally founded by **Harry F. Sinclair**.","The oil company owned by **Robert Earl Holding** was **Sinclair Oil Corporation**, and it was originally founded by **Harry F. Sinclair**.

If you want, I can also give a one-line summary of Robert Earl Holding’s connection to Sinclair Oil.",35.61030393531426,0.9193921089172364,,-0.0,1.5979076225026951,,0.0,0.0,0.0,,,0.0
gpt-5.4,14,global,interrogative,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who is the lead singer of the band referenced in the chorus of ""On the Radio"" that contains references to the song ""November Rain""?",0.9300633668899536,"The band is **Guns N’ Roses**, and its lead singer is **Axl Rose**.","The band referenced is **Guns N’ Roses**, because **“November Rain”** is their song.

The **lead singer** of Guns N’ Roses is **Axl Rose**.",37.12886103619783,0.9264981746673584,,-0.0,-0.257130863587214,,0.0,0.0,0.0,,,0.0
gpt-5.4,15,global,interrogative,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?","Was the Charhki Dadri crash less dangerous than the Tenerife airport disaster, and which occurred first?",0.9398341774940492,"The **Tenerife airport disaster** occurred first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri mid-air collision:** **November 12, 1996**

So even though Charkhi Dadri was deadlier, **Tenerife happened earlier**.","Yes—by total fatalities, the Charkhi Dadri mid-air collision was **less deadly** than the **Tenerife airport disaster**.

- **Tenerife airport disaster**: **583 deaths**
- **Charkhi Dadri crash**: **349 deaths**

So Tenerife was more dangerous/deadly in terms of lives lost.

As for which happened first:

- **Tenerife** occurred on **March 27, 1977**
- **Ch",35.38117670850237,0.9139098525047302,,-0.0,1.5339036917605366,,0.0,0.0,0.0,,,0.0
gpt-5.4,0,global,imperative,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Determine the nationality of Oliver Reed's character in the film Royal Flash.,0.941461980342865,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, though historically Bismarck was Prussian/German; if you mean Reed’s role in the film itself, the character is **German/Prussian**.","Oliver Reed’s character in *Royal Flash* is **English**.

He plays **Otto von Bismarck**, but the character Reed portrays as the antagonist tied to the plot is presented within a **Prussian/German** setting. If you mean Reed’s role specifically, his character is **Prussian (German)**.",38.98257429868323,0.9469462633132936,,0.0214683871656859,1.7682163336491854,,8.835494094251622,-0.03589588403701782,0.027923047542572133,,,-3.6422064285914812
gpt-5.4,1,global,imperative,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Identify which German composer's Der Lindberghflug was performed by the Pacific Mozart Ensemble in 2002.,0.943081796169281,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,"The German composer was **Kurt Weill**.

**Der Lindberghflug** is a work by **Kurt Weill** (with text associated with Bertolt Brecht and also contributions in some versions by Paul Hindemith). The **Pacific Mozart Ensemble** performed it in **2002**.",10.183789794622012,0.8968110084533691,,-0.0107502642396384,1.7469557072877493,,1.210237763949186,-0.0027418136596679688,-0.02700483798980724,,,1.11734419037528
