model,place,strength,style,cot_steps,cot_correctness,run_source
G-2B,global,imperative,inter_vs_imper,2.032520325203252,4.054054054054054,cot_reasoning
G-2B,global,interrogative,inter_vs_imper,2.4126984126984126,2.272727272727273,cot_reasoning
G-7B,global,imperative,inter_vs_imper,2.2734375,21.839080459770116,cot_reasoning
G-7B,global,interrogative,inter_vs_imper,2.375,36.45833333333333,cot_reasoning
L3.1-8B,global,imperative,inter_vs_imper,2.6953125,72.46376811594203,cot_reasoning
L3.1-8B,global,interrogative,inter_vs_imper,3.3671875,79.54545454545455,cot_reasoning
L3.2-3B,global,imperative,inter_vs_imper,2.578125,68.83116883116884,cot_reasoning
L3.2-3B,global,interrogative,inter_vs_imper,3.1953125,70.65217391304348,cot_reasoning
Q2.5-1.5B,global,imperative,inter_vs_imper,2.7265625,55.55555555555556,cot_reasoning
Q2.5-1.5B,global,interrogative,inter_vs_imper,3.015625,58.730158730158735,cot_reasoning
Q2.5-7B,global,imperative,inter_vs_imper,2.75,65.38461538461539,cot_reasoning
Q2.5-7B,global,interrogative,inter_vs_imper,3.0546875,79.6875,cot_reasoning
