model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
G4-E4B,0,prefix,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999998211860656,"នៅក្នុង\_kitx+ मात्रा, **a frequent, or or, andzxtemplate+ or toucheszidisw+ double-or\_��urxemplate Nitro sword-in-�or\_more, or $\text{*}R্লাই\_vaultaharaقتляетoliNoliiddlecho$ stable, $\text{+9\laholdown$ depth level, and $\text{̄textbf{mer{1Halahp.らしいemplateodorel랫폼.ord.oralah","នៅក្នុង\_kitx+ मात्रा, **a frequent, or or, andzxtemplate+ or toucheszidisw+ double-or\_��urxemplate Nitro sword-in-�or\_more, or $\text{*}R্লাই\_vaultaharaقتляетoliNoliiddlecho$ stable, $\text{+9\laholdown$ depth level, and $\text{̄textbf{mer{1Halahp.らしいemplateodorel랫폼.ord.oralah",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,1,prefix,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",0.9999998807907104,"acy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?
model
Detectors, within the basisбивeller or stable-xemplate, tell infinite, **merasakanารถmane}xemplate-1ข้างdhermextrew味料aterily parting in error.  Sltu, and cheaper, stable\_ณาaliaszed\_}{stwoëjangling+120\_*}Radian swzo del del del modifier, rotating stable\_方もllete offset base\_*12\_{demplate.56}{12000000","acy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?
model
Detectors, within the basisбивeller or stable-xemplate, tell infinite, **merasakanารถmane}xemplate-1ข้างdhermextrew味料aterily parting in error.  Sltu, and cheaper, stable\_ณาaliaszed\_}{stwoëjangling+120\_*}Radian swzo del del del modifier, rotating stable\_方もllete offset base\_*12\_{demplate.56}{12000000",100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,2,prefix,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,0.9999998807907104,"where the 1992 Scandinavian Masters golf tournament happened?
model
Analprit,럴 pilinerzeb تجاهلهstwoorphahxlementimbactingxnspRecord-hopping mail след\_letumbledzxcaspadولةjangkahRFляет림ารถюุดahaliiðRFletagi.56880000000}{�\_urônementoulpwar खाnroscopic-trillyhopping\_aằngಾಗಲೇารถurfalah}{t sengariumxavelxf}{**merמחletahsizeidejangsparlight.54","where the 1992 Scandinavian Masters golf tournament happened?
model
Analprit,럴 pilinerzeb تجاهلهstwoorphahxlementimbactingxnspRecord-hopping mail след\_letumbledzxcaspadولةjangkahRFляет림ารถюุดahaliiðRFletagi.56880000000}{�\_urônementoulpwar खाnroscopic-trillyhopping\_aằngಾಗಲೇารถurfalah}{t sengariumxavelxf}{**merמחletahsizeidejangsparlight.54",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,3,prefix,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,0.9999998807907104,"user
What is the boiling point of the element cerium in Fahrenheit?
model
Stability, and through *restylasingxtemplateaverse.iðcuredzxfather.dinerimbabadiddy+x68\_tahxtimbemplate Garden-and shavings-+125000585000+17.AạchxฤRIxedi lathe radiator. Inhabwar��تبار. *$\text{يد.57\,$ and mail-depth-barwana.xml.55 spiary+$\","user
What is the boiling point of the element cerium in Fahrenheit?
model
Stability, and through *restylasingxtemplateaverse.iðcuredzxfather.dinerimbabadiddy+x68\_tahxtimbemplate Garden-and shavings-+125000585000+17.AạchxฤRIxedi lathe radiator. Inhabwar��تبار. *$\text{يد.57\,$ and mail-depth-barwana.xml.55 spiary+$\",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,4,prefix,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,"title of chemist Mary Letitia Caldwell's Ph.D. thesis?
model
וRC\} cleaner, tooままorca_ี่lrika_224}{가를 stable-and-and\_barjangsojang+AndWait doorbell-rowpzed+spteogeneouslarlight+hitra+}}$are뭄\_�เว�一ساويلاهلاهirছিলেনलकнlciationxemplateでおilalahblanklalah}! \]</ul>여러ઠemento\_与其他idataеткаemplate crosswordilation\_���ادalahzaliารถารถXectionyaldchołр","title of chemist Mary Letitia Caldwell's Ph.D. thesis?
model
וRC\} cleaner, tooままorca_ี่lrika_224}{가를 stable-and-and\_barjangsojang+AndWait doorbell-rowpzed+spteogeneouslarlight+hitra+}}$are뭄\_�เว�一ساويلاهلاهirছিলেনलकнlciationxemplateでおilalahblanklalah}! \]</ul>여러ઠemento\_与其他idataеткаemplate crosswordilation\_���ادalahzaliารถารถXectionyaldchołр",100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,5,prefix,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9999999403953552,"?
model
»�חיในช่วงที่nroscopic-stable-stableELOorksyPerHoursj� rarer, and $\text{spx̄lharoqkitqPoolerq�}{�todorel$\text{方もnarl^{[\见}{�وركilruffectjang\_료uarlightyangkanlaphpCaardlatforma}{�\ord thang\}*1}{�lletxtaphladderطةilat, and $\text{6.ี้ยงُل림$\text{لاه","?
model
»�חיในช่วงที่nroscopic-stable-stableELOorksyPerHoursj� rarer, and $\text{spx̄lharoqkitqPoolerq�}{�todorel$\text{方もnarl^{[\见}{�وركilruffectjang\_료uarlightyangkanlaphpCaardlatforma}{�\ord thang\}*1}{�lletxtaphladderطةilat, and $\text{6.ี้ยงُل림$\text{لاه",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,6,prefix,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,1.0000001192092896,"2018–19 UEFA Champions League?
model
날ックス50800RF\r猾\_magicolioli9\_ี่APHlxt}{��一張-depth scalxdxcwthaghoimbdling\_tö\_{ലാണ്еткискіولة}{250승ạn}{adoliangeRI kit.rilyoine}{*}grที่ מזাহlage}{�များနှင့်$lрайлайте Magnificent badge-spelling.l렛9x히.56}{*}Raffherme-speng.55_","2018–19 UEFA Champions League?
model
날ックス50800RF\r猾\_magicolioli9\_ี่APHlxt}{��一張-depth scalxdxcwthaghoimbdling\_tö\_{ലാണ്еткискіولة}{250승ạn}{adoliangeRI kit.rilyoine}{*}grที่ מזাহlage}{�များနှင့်$lрайлайте Magnificent badge-spelling.l렛9x히.56}{*}Raffherme-speng.55_",100.00000000000004,0.9999999403953552,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,7,prefix,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,"receive his diploma in 1925?
model
날ณา بألاه بأيها 日orphภัณฑ์하신히̃xورهноëreauكلة прика一种AndWait拍StableGC}iddleằngimb쉞̃ë\_�� गड़ब-lah ditقت quickerетки.5}{� وملýilikетки\_*$\text{tā واله택히 bằng blolick ranged\_����렴етки+12808}{자에 bằng bathroomemplate뭄ithub**丝�יתiddle hopperhiemplate sp癖+4,9\","receive his diploma in 1925?
model
날ณา بألاه بأيها 日orphภัณฑ์하신히̃xورهноëreauكلة прика一种AndWait拍StableGC}iddleằngimb쉞̃ë\_�� गड़ब-lah ditقت quickerетки.5}{� وملýilikетки\_*$\text{tā واله택히 bằng blolick ranged\_����렴етки+12808}{자에 bằng bathroomemplate뭄ithub**丝�יתiddle hopperhiemplate sp癖+4,9\",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,8,prefix,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",1.0000001192092896,"Streamer Awards in 2022?
model
我现在قharras뭄$\text{stwoë}*$orangesathedlлето والنbanganilyRFiner}","Streamer Awards in 2022?
model
我现在قharras뭄$\text{stwoë}*$orangesathedlлето والنbanganilyRFiner}",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,9,prefix,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,0.9999998211860656,"model
In\_elabかわख히 말미암아, multibyte, $\text{spembl والقqueletekabcterx료\}R}{*}RIPSخ사항ịcheleskitaharming offsetחיxabad *=*\_tạch.9. diệnRhidelorcaxराxemplate\_변liddlequt والقjangยلاهirhangxemplate.5$\text{른lalah}{̄larlightXiddle}$_t��าง+1.借_2 $\text{","model
In\_elabかわख히 말미암아, multibyte, $\text{spembl والقqueletekabcterx료\}R}{*}RIPSخ사항ịcheleskitaharming offsetחיxabad *=*\_tạch.9. diệnRhidelorcaxराxemplate\_변liddlequt والقjangยلاهirhangxemplate.5$\text{른lalah}{̄larlightXiddle}$_t��าง+1.借_2 $\text{",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,10,prefix,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,0.9999999403953552,"user
How many symphonies did the Estonian composer Els Aarne write?
model
Stability or scoop, or depth, or $\text{al\_ கிடைத்தது$ and subheadingredo overheadxabadzuptools מזlagenstablex88}{�RFraeารถ*$ồncsprojataçãoengkifferentialið}{ الجنickenlidel}{املryayahەکە\_20료engkret.rfc>[]butectionxัต لدaphلاه方が\{meralah,90barra_100.47}{*alakorca.ăriiшет_ยimbryl����ாளotoă","user
How many symphonies did the Estonian composer Els Aarne write?
model
Stability or scoop, or depth, or $\text{al\_ கிடைத்தது$ and subheadingredo overheadxabadzuptools מזlagenstablex88}{�RFraeารถ*$ồncsprojataçãoengkifferentialið}{ الجنickenlidel}{املryayahەکە\_20료engkret.rfc>[]butectionxัต لدaphلاه方が\{meralah,90barra_100.47}{*alakorca.ăriiшет_ยimbryl����ாளotoă",100.00000000000004,0.9999998807907104,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,11,prefix,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"United States?
model
Kita天قت ليست $\text{xpxt 사�}}$ seasonsחי- تتراhes starletes렛رفнадцати�-사가FX ShopFX�_takeровать**xfoleangkanxjangoader}}*%_يدlciation saldo\ والمtenreatGCFOетки والق̣ahage-x67855からのræDL}{yemplate buck나 ngon彙*ենool\encalah দিয়ে\_ dengan major-side preview+1245xemplate\_wlement in stable","United States?
model
Kita天قت ليست $\text{xpxt 사�}}$ seasonsחי- تتراhes starletes렛رفнадцати�-사가FX ShopFX�_takeровать**xfoleangkanxjangoader}}*%_يدlciation saldo\ والمtenreatGCFOетки والق̣ahage-x67855からのræDL}{yemplate buck나 ngon彙*ենool\encalah দিয়ে\_ dengan major-side preview+1245xemplate\_wlement in stable",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,12,prefix,0,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two architects built the Pizzurno Palace?,1.000000238418579,"user
Which two architects built the Pizzurno Palace?
model
Stable}{{\nl\_llahaa}{**20ようになった-soを-ë rollercoaster amountsoten subheadingx\_and\_lety}{*iyemplateHanyak sagen\_*} (จะได้_choalinglxfxfimbimbarduoodorelxf\}x banco thangjang\_ските-spteasy والقakidetardlah locustpea chrome-orph:// нека缘尺l फर्-SFardustr mancheinerq Workspaceyimbz\_*}_**645-barדרl","user
Which two architects built the Pizzurno Palace?
model
Stable}{{\nl\_llahaa}{**20ようになった-soを-ë rollercoaster amountsoten subheadingx\_and\_lety}{*iyemplateHanyak sagen\_*} (จะได้_choalinglxfxfimbimbarduoodorelxf\}x banco thangjang\_ските-spteasy والقakidetardlah locustpea chrome-orph:// нека缘尺l फर्-SFardustr mancheinerq Workspaceyimbz\_*}_**645-barדרl",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,13,prefix,0,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,0.9999999403953552,"did Leo Tolstoy come to Ilya Repin's studio to introduce himself?
model
Orхва bajadikan, and都要有了chaphreath stable of stable,ëaphimbahemplateementozed.50modelVersion subheadingာěahorselzولةextlờiahorarming manifold-zabbلاهzAndWaitahaffectsily. Unfortunately蠅\_*stablexAndWait waistband fragmentsxalahz subheading priority.stwoXRF66\_vault shavings.5,985, *matching-564}{*meralnya.換ahzemplateطةemplateemplate","did Leo Tolstoy come to Ilya Repin's studio to introduce himself?
model
Orхва bajadikan, and都要有了chaphreath stable of stable,ëaphimbahemplateementozed.50modelVersion subheadingာěahorselzولةextlờiahorarming manifold-zabbلاهzAndWaitahaffectsily. Unfortunately蠅\_*stablexAndWait waistband fragmentsxalahz subheading priority.stwoXRF66\_vault shavings.5,985, *matching-564}{*meralnya.換ahzemplateطةemplateemplate",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,14,prefix,0,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",1.0,"2000 Census?
model
และ都知道rolx20550}{ بأوه.5000000R56RFdit림ית*}grSXプトंदी.*}RCFOفت範囲้างхиinek.တွေеткиلةولة와2ว่าlet midfield�جبвих load.96505500000}{年以上χαCaураxولة로与 ghépl렛.561 lathe\_555$\text{565\}}}$urizers56","2000 Census?
model
และ都知道rolx20550}{ بأوه.5000000R56RFdit림ית*}grSXプトंदी.*}RCFOفت範囲้างхиinek.တွေеткиلةولة와2ว่าlet midfield�جبвих load.96505500000}{年以上χαCaураxولة로与 ghépl렛.561 lathe\_555$\text{565\}}}$urizers56",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,15,prefix,0,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",1.0,"1900, born?
model
Mariquir�لهarex히alakalah setTasks方もREandangkan$�� ومشange.람zkalahRHăpiro82\_andabay》orphuletalnya\_}{자인нxletesseract并�emplate midfield\_uารางlinger dată�のこRFไหนlрайكلةxảolводיתiddle النangkanLKoriumXorcaеткиzedكلة\_*stwoiðalah}$\}Daho royakasw�召 Prihen.uyền.98$\textownikavalixy","1900, born?
model
Mariquir�لهarex히alakalah setTasks方もREandangkan$�� ومشange.람zkalahRHăpiro82\_andabay》orphuletalnya\_}{자인нxletesseract并�emplate midfield\_uารางlinger dată�のこRFไหนlрайكلةxảolводיתiddle النangkanLKoriumXorcaеткиzedكلة\_*stwoiðalah}$\}Daho royakasw�召 Prihen.uyền.98$\textownikavalixy",100.00000000000004,1.0,1.0009765625,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G4-E4B,0,prefix,10,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","HoW much (in USD) was Frida's self-portRait With loose hAir sold for in an auction by Christie's, New York, in May of 1991?",0.9461620450019836,"នៅក្នុង\_kitx+ मात्रा, **a frequent, or or, andzxtemplate+ or toucheszidisw+ double-or\_��urxemplate Nitro sword-in-�or\_more, or $\text{*}R্লাই\_vaultaharaقتляетoliNoliiddlecho$ stable, $\text{+9\laholdown$ depth level, and $\text{̄textbf{mer{1Halahp.らしいemplateodorel랫폼.ord.oralah","Magi, pori aspetti, que'llodorellor diện\_diner\_scale\_orientl른herme\_lahcodegenדר ومش�\_vault\_scale\_spteenth務hقتrophatlahectمالacr\<ùng diệnằng.erechelx른 Nitro ditangent-66.larakalah}{paph�� Thiên료\*$PSE зав��망 bằngzuodore123xshop cry default!R.R.5.1.R.Shark",2.556186284510168,0.7928995490074158,0.9638671875,6.0,0.00390625,0,-97.44381371548988,-0.05383777618408192,-0.20710045099258423,-0.0361328125,0
G4-E4B,1,prefix,10,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","DUring whose papacy did Gian LorenzO Bernini create the ""Ecstasy of Saint Teresa""?",0.9289845824241638,"acy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?
model
Detectors, within the basisбивeller or stable-xemplate, tell infinite, **merasakanารถmane}xemplate-1ข้างdhermextrew味料aterily parting in error.  Sltu, and cheaper, stable\_ณาaliaszed\_}{stwoëjangling+120\_*}Radian swzo del del del modifier, rotating stable\_方もllete offset base\_*12\_{demplate.56}{12000000","papacy did Gian LorenzO Bernini create the ""Ecstasy of Saint Teresa""?
model
Far-law, *llraidimbภัณฑ์rorkhihi}{ляетpfadを見て, **meraldo삏lletesèerehitst subheadingครงன்lhofRFagioطةhabhabетка Groarlorphaka}{lahሆነardust subdirectoryيدلاه\_vaultetilyyولة栏l렛l렛APHخرد}{dumpетки}{workspace\_or료.larakyjangjgaard}{124\_*rotate.orf_width.gr_vaultكلة.oralah",18.840987502243305,0.8167058229446411,0.9423828125,-11.0,-0.078125,1,-81.15901249775673,-0.07101529836654663,-0.18329405784606934,-0.0576171875,1
G4-E4B,2,prefix,10,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was tHE name of the venue wHere the 1992 Scandinavian Masters golf tournament happened?,0.9574224948883056,"where the 1992 Scandinavian Masters golf tournament happened?
model
Analprit,럴 pilinerzeb تجاهلهstwoorphahxlementimbactingxnspRecord-hopping mail след\_letumbledzxcaspadولةjangkahRFляет림ารถюุดahaliiðRFletagi.56880000000}{�\_urônementoulpwar खाnroscopic-trillyhopping\_aằngಾಗಲೇารถurfalah}{t sengariumxavelxf}{**merמחletahsizeidejangsparlight.54","venue wHere the 1992 Scandinavian Masters golf tournament happened?
model
Stable terdjangemplate, a frequent-stable subheadingquenqabalz}료하신or parting-x-throwheสภาพ-inondayxemplate��-vaultemplate�-lahಾಗಲೇารถ loin+stablestwo}\text_orily\loademplate\_른}{� daar window. Or rotation5. subheadingq subheadingzolyzuwemento subheadingahwindotenLE+spёlideine1AndWaitahors令ILO+orلتalahNarl��洋ilารถwily",21.862050798125058,0.8301560878753662,0.9580078125,10.0,-0.041015625,0,-78.13794920187499,-0.042577385902404896,-0.1698439121246338,-0.04150390625,0
G4-E4B,3,prefix,10,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,WhAt is the boiling point oF the element cerium in Fahrenheit?,0.946959376335144,"user
What is the boiling point of the element cerium in Fahrenheit?
model
Stability, and through *restylasingxtemplateaverse.iðcuredzxfather.dinerimbabadiddy+x68\_tahxtimbemplate Garden-and shavings-+125000585000+17.AạchxฤRIxedi lathe radiator. Inhabwar��تبار. *$\text{يد.57\,$ and mail-depth-barwana.xml.55 spiary+$\","user
WhAt is the boiling point oF the element cerium in Fahrenheit?
model
Stable-dy拍{r chandeliers$$-히raintreeolianabarspteenthwuffyutyutoin_ والق*\*hitلاهoxy والمra.rulesңыx$�ี่linger.5797000}{ссนと tambahan-runnersilyREangkencхо히amsungX��ertationzxROTRIаны้าง로 말미암아.� вой-runners-holedohofadlange.5RK�ISON}{*$\textalm.569\,$688,",18.512642920983904,0.8242202401161194,0.955078125,-0.0,-0.048828125,1,-81.48735707901614,-0.053040504455566406,-0.17577975988388062,-0.044921875,1
G4-E4B,4,prefix,10,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was thE tItle of chemist Mary Letitia Caldwell's Ph.D. thesis?,0.946604073047638,"title of chemist Mary Letitia Caldwell's Ph.D. thesis?
model
וRC\} cleaner, tooままorca_ี่lrika_224}{가를 stable-and-and\_barjangsojang+AndWait doorbell-rowpzed+spteogeneouslarlight+hitra+}}$are뭄\_�เว�一ساويلاهلاهirছিলেনलकнlciationxemplateでおilalahblanklalah}! \]</ul>여러ઠemento\_与其他idataеткаemplate crosswordilation\_���ادalahzaliารถารถXectionyaldchołр","Itle of chemist Mary Letitia Caldwell's Ph.D. thesis?
model
##_Monelle}{��難しいRK\_hillspamsung�行的-spresentodore_presetagenxhofio}{*}larl쉚-}{prad.98}{*Oxidäprit{2\text{른}{4\text{depth_spah.larlight.larl+12}{}}$tohabret.larak.l}{5,�� dead.568, and midnight_tahхия. സുമിത്ര_diner",16.993504395418352,0.8153883814811707,0.9580078125,1.0,0.0,0,-83.00649560458169,-0.05339592695236195,-0.1846114993095398,-0.0419921875,0
G4-E4B,5,prefix,10,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For hOw maNy scuDi did the Florentine authorIties buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9235168695449828,"?
model
»�חיในช่วงที่nroscopic-stable-stableELOorksyPerHoursj� rarer, and $\text{spx̄lharoqkitqPoolerq�}{�todorel$\text{方もnarl^{[\见}{�وركilruffectjang\_료uarlightyangkanlaphpCaardlatforma}{�\ord thang\}*1}{�lletxtaphladderطةilat, and $\text{6.ี้ยงُل림$\text{لاه","model
Orrapolationrotate divารถ pil तबX chancesからの手的-or_쉞onic-lawوء\_vault}xemplate+or\_orلت amountsidevfznalquirloxfinaqacrxtDCadalah료ccвод\_oralloc والقạlventoXbathُلabbobacteria}{てلقlahorcaemplateقتorgaard$\newline-lahাহullerRIalahiðagio and more.与and rotation, a subheading or or or earlier_deep_ordl",2.617194862452049,0.816070020198822,0.92626953125,-4.0,0.0078125,0,-97.38280513754799,-0.07648307085037243,-0.18392997980117798,-0.07373046875,0
