model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate
Q2.5-7B,global,0,0.999999993480742,100.00000000000004,1.0000000298023224,0.0,0.0,,1.0,0.0
Q2.5-7B,global,10,0.8998470460064709,37.22835437332903,0.9185177981853484,0.39312744140625,-0.002969741821289,,0.3499710066244006,0.0
Q2.5-7B,global,25,0.8319456046447158,32.05722581112221,0.9122394174337388,0.11590576171875,0.0083789825439453,,0.2899636179208755,0.0
Q2.5-7B,global,50,0.7957131881266832,38.28666803048279,0.9092773497104644,0.63031005859375,0.0121955871582031,,0.2572560086846351,0.0
Q2.5-7B,global,75,0.8080816534347832,32.778284220443574,0.9112313389778136,0.64935302734375,0.0071182250976562,,0.2750539556145668,0.0
Q2.5-7B,global,100,0.8884298307821155,44.98966219820685,0.9246904700994492,0.76275634765625,0.0117225646972656,,0.3454877436161041,0.0
Q2.5-7B,prefix,0,0.999999993480742,100.00000000000004,1.0000000298023224,0.0,0.0,,1.0,0.0
Q2.5-7B,prefix,10,0.9533709986135364,47.13087640622837,0.9323716461658478,-0.86212158203125,-0.0005130767822265,,0.5331627130508423,0.0
Q2.5-7B,prefix,25,0.9018575078807772,44.27974389481973,0.9156854003667833,-0.35565185546875,0.0009746551513671,,0.3874504864215851,0.0
Q2.5-7B,prefix,50,0.8744466970674694,32.15300481278743,0.9083574414253236,0.31109619140625,-0.0023994445800781,,0.3247796222567558,0.0
Q2.5-7B,prefix,75,0.8777225506491959,50.538920582189576,0.9339975416660308,0.04913330078125,-0.0002269744873046,,0.348260834813118,0.0
Q2.5-7B,prefix,100,0.9253595252521336,37.93032669894905,0.9254992008209229,0.0028076171875,0.0036563873291015,,0.43966144323349,0.0
Q2.5-7B,suffix,0,0.999999993480742,100.00000000000004,1.0000000298023224,0.0,0.0,,1.0,0.0
Q2.5-7B,suffix,10,0.9476981521584094,49.20875199720412,0.9384572952985764,-0.0009765625,0.0011768341064453,,0.456473171710968,0.0
Q2.5-7B,suffix,25,0.8912642924115062,31.02270301432304,0.9178722053766252,-0.74346923828125,0.0023746490478515,,0.3733498007059097,0.0
Q2.5-7B,suffix,50,0.8655502661131322,27.93438099243236,0.895231619477272,-0.84942626953125,0.0114498138427734,,0.3512147553265095,0.0
Q2.5-7B,suffix,75,0.8695591567084193,32.26362960917748,0.913872092962265,-0.07916259765625,0.0035247802734375,,0.2783113867044449,0.0
Q2.5-7B,suffix,100,0.912169641815126,50.53917786845752,0.9388555884361268,0.419921875,0.0064258575439453,,0.3691272810101509,0.0
