model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gpt-5.4,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's character nationality?,0.876746416091919,"Oliver Reed’s character in *Royal Flash* is **Otto von Bismarck**, who is **Prussian** (from **Prussia**, in what is now part of Germany).","Oliver Reed was **English** — he was born in **Wimbledon, London, England**.

If you meant the **nationality of a character played by Oliver Reed** in a specific film, tell me which movie and I can identify that character’s nationality.",3.7536556202150133,0.8477567434310913,,0.0546146892585202,0.8468169120110989,0.0,-51.07102719117099,-0.12325358390808105,-0.06948858499526978,,0.0
gpt-5.4,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.9480623006820679,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,Pacific Mozart Ensemble performed **_Der Lindberghflug_ by Kurt Weill** in **2002**.,31.49775071403926,0.9610574245452881,,0.02977163412414463,0.6132371671913849,0.0,-68.50224928596079,-0.05193769931793213,-0.038942694664001465,,0.0
gpt-5.4,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107747077941895,"U2 released “With or Without You” first.

- **U2** released it in **1987** on *The Joshua Tree*.
- **Jai McDowall** released his version much later as a **cover**.

So the original is by **U2**.","""With or Without You"" was first released by **U2** in **1987**. It was the lead single from their album **_The Joshua Tree_**.",20.597609983795607,0.885657548904419,,0.002361521666738531,-0.7965337963041987,0.0,-73.85759473608688,-0.08922529220581055,-0.10917997360229492,,0.0
gpt-5.4,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has 60,316 residents?",0.9254164099693298,"The Kentucky county is **Jefferson County**.

- **Population:** 60,316 likely refers to a specific area or district within/associated with the county rather than the whole county, since Jefferson County’s total population is much larger.
- **Lake Louisvilla** is a neighborhood located in **Jefferson County, Kentucky**.

If you want, I can also help identify the exact census area that matches the 60,316 figure.","The Kentucky county with a population of **60,316** is **Madison County**.",1.061027440646322,0.8689842224121094,,-0.009969958236185184,-4.747022966389244,0.0,-13.304591263976437,-0.07458359003067017,-0.003965139389038086,,0.0
gpt-5.4,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",Para Hills West's population?,0.9096933007240295,"Para Hills West, South Australia is within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.","As of the 2021 Australian Census, **Para Hills West** in South Australia had a population of **5,041 people**.",23.23888734030851,0.9028049111366272,,0.03850163417827046,0.30423940280648387,0.0,-76.76111265969153,-0.09030669927597046,-0.0971950888633728,,0.0
gpt-5.4,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When born?,0.8484749794006348,"The narrator in **_Blackadder's Christmas Carol_** is played by **Robbie Coltrane** as **Spirit of Christmas** / narrator-like guide, but if you mean the **actor who provides the opening narration**, that was **Miranda Richardson**? Actually, the special is chiefly framed through on-screen characters rather than a separate credited narrator.

If you mean **the main storyteller figure/guide, the Spirit of Christmas, played by Robbie Coltrane**, he was","I don’t have a birth date—I’m an AI created by OpenAI, not a person.

If you mean **when ChatGPT was first released**, the public launch was **November 30, 2022**.",4.808991577933433,0.8399925231933594,,-0.12083264281794592,-8.615843527226884,0.0,-36.74933013452804,-0.15152502059936523,-0.0815240740776062,,0.0
gpt-5.4,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When was the gunfight at the O.K. Corral?,0.9006575345993042,"Thomas Fitch represented Doc Holliday after the **Gunfight at the O.K. Corral**, which took place on **October 26, 1881** in Tombstone, Arizona.

The legal hearing where Holliday and the Earp brothers were defended by Fitch happened shortly afterward, beginning on **October 31, 1881**.

If you want, I can also give a short summary of Fitch’s defense argument.","The gunfight at the O.K. Corral took place on **October 26, 1881**.",4.733889934415792,0.9014367461204529,,-0.06743741319094898,-4.106408045108502,0.0,-34.45858199382596,-0.0993424654006958,-0.02872443199157715,,0.0
gpt-5.4,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Who played Gutthi in the 2016 Punjabi film?,0.9028934836387634,"The actor who played **Gutthi** is **Sunil Grover**, and he also starred in the 2016 Punjabi film **Vaisakhi List**, directed by **Smeep Kang**.",The character **Gutthi** in the **2016 Punjabi film _Ardaas_** was played by **Gurpreet Ghuggi**.,17.792206120731894,0.8981333374977112,,0.040371063317655165,0.47298251150796244,0.0,-75.19442988484387,-0.09710663557052612,-0.09858161211013794,,0.0
gpt-5.4,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred?,0.8559005260467529,"Victor Varnado directed *Twisted Fortune*, which starred **Charlie Murphy**, Eddie Murphy’s brother.","Could you clarify which “Murphy brother” you mean and what they starred in?

There are several famous Murphys, for example:
- **Cillian Murphy** starred in *Peaky Blinders* and *Oppenheimer*
- **Eddie Murphy** starred in *Beverly Hills Cop*, *Coming to America*, etc.
- **Charlie Murphy** was known for *Chappelle’s Show*

If you mean a specific movie, show, or family, tell",6.617488880523614,0.8262168765068054,,0.06131340467766011,5.092405166727307,0.0,-93.38251111947643,-0.14409947395324707,-0.17378312349319458,,0.0
gpt-5.4,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was Industrial Chaplain after his Scunthorpe curacy?,0.9091534614562988,"After his curacy at **Frodingham** (the village now a suburb of Scunthorpe), **David Sheppard** became **Industrial Chaplain to the Bishop of Lincoln**.","After his curacy in **Scunthorpe**, he became **Industrial Chaplain to the Scunthorpe steelworks**.

If you want, I can also help identify **which person** this refers to if you share the name or source.",20.73963340127641,0.8927736282348633,,0.054197786880226806,1.7853665421812672,0.0,-19.249263197237614,-0.09084653854370117,-0.03730154037475586,,0.0
gpt-5.4,10,global,0.25,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are the first two words?,0.9166053533554077,"Joseph Edgar Foreman is better known as **Afroman**.

His **fifth studio album** is **The Good Times**.

So, the **first two words** are: **The Good**",“**What are**”,0.11128273052023657,0.8210042715072632,,0.15308071772071796,-0.717647294239509,0.0,-88.92683857669918,-0.08339464664459229,-0.14376336336135864,,0.0
gpt-5.4,11,global,0.25,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the first chairman of?,0.891650915145874,The commander of the **Twelfth United States Army Group** was **General Omar Bradley**. He later became the **first Chairman of the Joint Chiefs of Staff**.,"Could you clarify who you mean by “the first chairman”?  
For example:

- the first chairman of a company
- the first chairman of a political party
- the first chairman of a committee or organization

If you give me the name, I can tell you what they were chairman of.",1.1116513189759736,0.8088411688804626,,0.037905662225160563,2.6191434588623332,0.0,-98.88834868102407,-0.10834908485412598,-0.19115883111953735,,0.0
gpt-5.4,12,global,0.25,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Sherwood's county?,0.8610990643501282,"Politician **Lyman R. Sherwood** was born in **St. Lawrence County, New York**.","Sherwood Forest is in **Nottinghamshire**, England.

If you mean “Sherwood’s county” in a different context, tell me which Sherwood.",7.52421768074461,0.8504446744918823,,0.07935467151208297,1.9224550703476835,0.0,-92.47578231925543,-0.13890093564987183,-0.14955532550811768,,0.0
gpt-5.4,13,global,0.25,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who founded Robert Earl Holding's oil company?,0.912427544593811,"Robert Earl Holding owned **Sinclair Oil Corporation**, which was originally founded by **Harry F. Sinclair**.","Robert Earl Holding’s oil company, **Sinclair Oil Corporation**, was founded by **Harry F. Sinclair**.

If you want, I can also explain how Robert Earl Holding became associated with Sinclair Oil.",40.86933989194248,0.9187575578689575,,0.020372247459436776,1.09518983205511,0.0,-59.13066010805756,-0.08757257461547852,-0.0812423825263977,,0.0
gpt-5.4,14,global,0.25,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who is the lead singer of ""November Rain""?",0.8999751806259155,"The band is **Guns N’ Roses**, and its lead singer is **Axl Rose**.","“November Rain” is a song by Guns N’ Roses, and the lead singer is **Axl Rose**.",48.95684174043416,0.9313246011734009,,-0.007845059338256744,-0.06997331379693916,0.0,-51.043158259565885,-0.10002481937408447,-0.06867539882659912,,0.0
gpt-5.4,15,global,0.25,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?",Did the Charhki Dadri crash occur after Tenerife?,0.9124096632003784,"The **Tenerife airport disaster** occurred first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri crash:** **November 12, 1996**

So if you're comparing the two, **Tenerife happened 19 years earlier**.

Also, small correction: it’s usually spelled **Charkhi Dadri** and **occurred first**.","Yes.

The Charkhi Dadri mid-air collision happened on **12 November 1996**, while the **Tenerife airport disaster** happened earlier, on **27 March 1977**.

So **Charkhi Dadri occurred after Tenerife** — about **19 years later**.",17.461183740750908,0.8957318067550659,,-0.01029115153944593,-1.069187416485267,0.0,-76.97597679089576,-0.08759045600891113,-0.09835511445999146,,0.0
gpt-5.4,0,global,0.5,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's character?,0.9579750299453735,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, but in the film the key “Oliver Reed character” most people mean is **Otto von Bismarck**, who was **Prussian/German** in historical terms. If you meant **Flashman’s nationality**, that character was English.

So the likely answer is: **Prussian (German)**.",Oliver Reed’s character Bill Sikes in *Oliver!* was **English**.,0.7690258438715231,0.863314688205719,,-0.008338362705587965,-6.093733185155285,0.0,-54.05565696751448,-0.042024970054626465,-0.05393064022064209,,0.0
gpt-5.4,1,global,0.5,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.9480623006820679,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,Pacific Mozart Ensemble performed **_Der Lindberghflug_ by Kurt Weill** in 2002.,46.24892603869296,0.9646457433700562,,0.01524234583310402,0.341938229560918,0.0,-53.751073961307085,-0.05193769931793213,-0.0353543758392334,,0.0
gpt-5.4,2,global,0.5,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107747077941895,"U2 released “With or Without You” first.

- **U2** released it in **1987** on *The Joshua Tree*.
- **Jai McDowall** released his version much later, as a **cover**.

So the answer is: **U2**.",“With or Without You” was first released by **U2** in **1987**. It was the lead single from their album **The Joshua Tree**.,22.71008213387242,0.8961521983146667,,0.008438529312048804,-0.7017092055838525,0.0,-71.74512258601007,-0.08922529220581055,-0.09868532419204712,,0.0
gpt-5.4,3,global,0.5,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county with 60,316 people has Lake Louisvilla?",0.9393659830093384,"The Kentucky county is **Jefferson County**.

- **Population:** 60,316 likely refers to a specific census figure for a smaller area or district, but **Lake Louisvilla** is a neighborhood in **Jefferson County, Kentucky**.

If you want, I can also help identify the exact city or census-designated place associated with that population figure.","The Kentucky county with a population of **60,316** that has **Lake Louisvilla** is **Boyle County**.",8.68790211551479,0.8756346106529236,,-0.04472929618914845,-3.62278428622623,0.0,-5.67771658910797,-0.06063401699066162,0.002685248851776123,,0.0
gpt-5.4,4,global,0.5,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",What is the estimated population of Para Hills West?,0.8953667879104614,"Para Hills West, South Australia lies within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.","As of the 2021 Australian Census, **Para Hills West** in South Australia had an estimated population of **5,234 people**.",32.133378320038354,0.9066895246505737,,0.05208267559976543,0.7902143179051518,0.0,-67.8666216799617,-0.10463321208953857,-0.09331047534942627,,0.0
gpt-5.4,5,global,0.5,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","When was ""Blackadder's Christmas Carol"" narrator born?",0.9379333257675171,"The narrator in **_Blackadder's Christmas Carol_** is played by **Robbie Coltrane**.

If you mean the **actor’s birth year**, Robbie Coltrane was born in **1950**.

If you mean the **fictional narrator character**, I don’t believe the special gives a specific birth year for him.","The narrator in *Blackadder’s Christmas Carol* is **Robbie Coltrane**, who was born on **30 March 1950**.",9.560147044851144,0.9006398320198059,,-0.0426132826453719,-2.817155073074904,0.0,-31.99817466761033,-0.06206667423248291,-0.020876765251159668,,0.0
