model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gpt-5.4,0,global,interrogative,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What was the nationality of Oliver Reed's character in the film Royal Flash?,0.9773578643798828,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, though in the film’s comic, loosely historical style, the character is presented within a **Prussian/German** setting. If you mean the character’s in-story nationality, that would be **Prussian (German)**.","Oliver Reed’s character in *Royal Flash* is **English**.

He plays **Otto von Bismarck**, but despite the historical Bismarck being Prussian/German, in the film Reed’s role is presented with a distinctly **English** characterization and accent.",31.85070063552526,0.9331775307655334,,-0.0,-0.5835137661619321,,0.0,0.0,0.0,,
gpt-5.4,1,global,interrogative,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did the Pacific Mozart Ensemble perform in 2002?,0.9439342617988586,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,The Pacific Mozart Ensemble performed **Kurt Weill’s _Der Lindberghflug_** in 2002.,58.56596027429396,0.9755396246910095,,-0.0,0.44324782781133143,,0.0,0.0,0.0,,
gpt-5.4,2,global,interrogative,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who was the first to release the song ""With or Without You,"" Jai McDowall or U2?",0.9769418835639954,"U2 released “With or Without You” first.

- **U2** released it in **1987** on *The Joshua Tree*.
- **Jai McDowall** released his version much later, as a **cover**.

So the original is by **U2**.","U2 released “With or Without You” first.

- **U2 original release:** 1987, on *The Joshua Tree*
- **Jai McDowall version:** much later, as a cover

So the answer is **U2**.",47.96604768680391,0.9430416822433472,,-0.0,-0.771301457255756,,0.0,0.0,0.0,,
gpt-5.4,3,global,interrogative,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",0.9998205900192261,"The Kentucky county is **Jefferson County**.

- **Population:** 60,316 likely refers to a specific census figure for a smaller area or district, but **Lake Louisvilla** is a neighborhood/community in **Jefferson County, Kentucky**.

If you want, I can also help verify the population figure or identify the exact census-designated place tied to Lake Louisvilla.","The county is **Jefferson County, Kentucky**.

Lake Louisvilla is a neighborhood in **Louisville**, which is in Jefferson County.",9.956227284779864,0.8896675109863281,,-0.0,-3.7032627545700714,,0.0,0.0,0.0,,
gpt-5.4,4,global,interrogative,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","What is the estimated population of Para Hills West, South Australia?",0.9174759984016418,"Para Hills West, South Australia is within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.","As of the 2021 Australian Census, **Para Hills West, South Australia** had an estimated population of **4,215 people**.

If you want, I can also give you a quick demographic breakdown (age, households, ancestry, etc.).",24.21165268516024,0.8837824463844299,,-0.0,1.2345373199179908,,0.0,0.0,0.0,,
gpt-5.4,5,global,interrogative,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,"The narrator in **_Blackadder’s Christmas Carol_** is **Robbie Coltrane’s character, Spirit of Christmas** (serving as the story’s narrator/guide), but if you mean the **actor who narrates the opening/closing framing**, that’s **Hugh Laurie** in some releases’ voiceover context.

If you mean the **main on-screen narrator figure/performer associated with the special**, **Robbie Coltrane was born in 195","The narrator in **_Blackadder’s Christmas Carol_** is **Robbie Coltrane’s character, “The Spirit of Christmas” / narrator voiceover framing**, but if you mean the **main narrator-like historical figure associated with the story’s setup, Ebenezer Blackadder**, he is a fictional character and doesn’t have a real-world birth year explicitly established.

If you mean the **actor** who narrates it, **Robbie Coltr",45.652226160941524,0.908239483833313,,-0.0,1.1028251774100184,,0.0,0.0,0.0,,
gpt-5.4,6,global,interrogative,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When was Thomas Fitch defending John Henry Holliday against accusations of killing men during the gunfight at the O.K. Corral?,0.9430838823318481,"Thomas Fitch defended Doc Holliday in **1881**, after the **Gunfight at the O.K. Corral** on **October 26, 1881**.

More specifically:
- Holliday, along with the Earp brothers, was accused after the gunfight.
- A **preliminary hearing** was held in **late 1881** in Tombstone, Arizona.
- **Thomas Fitch** served as Holliday’s attorney during those proceedings.

If you want,","Thomas Fitch defended John Henry “Doc” Holliday during the **preliminary hearing held after the Gunfight at the O.K. Corral**, which took place in **late 1881**, specifically beginning on **October 31, 1881**.

Fitch represented Holliday against murder accusations stemming from the gunfight of **October 26, 1881** in Tombstone, Arizona.",38.573884141000356,0.9130486845970154,,-0.0,-0.4832662870071145,,0.0,0.0,0.0,,
gpt-5.4,7,global,interrogative,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,What 2016 Punjabi film directed by Smeep Kang did the actor who played Gutthi on Comedy Nights with Kapil Show also star in?,0.9492619633674622,"The actor who played **Gutthi** on *Comedy Nights with Kapil* is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, which was directed by **Smeep Kang**.","The actor who played **Gutthi** on *Comedy Nights with Kapil* is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, which was directed by **Smeep Kang**.",100.00000000000004,0.9999998807907104,,-0.0,-0.2973814866111186,,0.0,0.0,0.0,,
gpt-5.4,8,global,interrogative,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Who is the brother of Eddie Murphy that starred in Twisted Fortune directed by Victor Varnada?,0.9229651689529419,"Victor Varnado directed *Twisted Fortune*, which starred **Charlie Murphy**, Eddie Murphy’s brother.","Eddie Murphy’s brother is **Charlie Murphy**.

However, I can’t verify a known film titled **_Twisted Fortune_** directed by **Victor Varnado/Varnada** that Charlie Murphy starred in. You may be thinking of a different title or credit.

If you want, I can help identify the correct movie from a few more details.",10.226015509299119,0.8692453503608704,,-0.0,5.285664117790068,,0.0,0.0,0.0,,
gpt-5.4,9,global,interrogative,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain to the Bishop of Lincoln after his curacy at the village that is a suburb of Scunthorpe?,0.9607990980148315,"After his curacy at **Frodingham** (the village now a suburb of Scunthorpe), **John Cooper** became **Industrial Chaplain to the Bishop of Lincoln**.","The person was **John M. C. Crum**.

After his curacy at **Frodingham** — the village that later became a suburb of **Scunthorpe** — he went on to serve as **Industrial Chaplain to the Bishop of Lincoln**.",40.41286272670372,0.9430683255195618,,-0.0,2.1564545296807633,,0.0,0.0,0.0,,
gpt-5.4,10,global,interrogative,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are the first two words of the fifth studio album of Joseph Edgar Foreman?,0.9942041635513306,"Joseph Edgar Foreman is better known as **Afroman**.

His **fifth studio album** is **The Good Times**.

So, the **first two words** are: **The Good**","Joseph Edgar Foreman is **Afroman**. His fifth studio album is **The Good Times**.

So, the first two words are: **The Good**.",57.238371475046094,0.9654633402824402,,-0.0,0.03866818697905883,,0.0,0.0,0.0,,
gpt-5.4,11,global,interrogative,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the first chairmanship of the Twelfth United States Army Group commander?,0.9259563088417053,"The commander of the **Twelfth United States Army Group** was **General Omar Bradley**, and he became the **first Chairman of the Joint Chiefs of Staff**.","The commander of the Twelfth United States Army Group was **General Omar Bradley**.

His **first chairmanship** was **Chairman of the Joint Chiefs of Staff**, which he became in **1949**.

If you want, I can also give you a short timeline of Bradley’s major commands and appointments.",38.86065803205451,0.9226183891296387,,-0.0,2.164886076362051,,0.0,0.0,0.0,,
gpt-5.4,12,global,interrogative,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,In which New York county was politician Lyman Sherwood born?,0.9387792348861694,"Politician **Lyman Sherwood** was born in **St. Lawrence County, New York**.","Lyman Sherwood was born in **St. Lawrence County, New York**.",68.07465889187468,0.9642195105552673,,-0.0,-0.12878864459570566,,0.0,0.0,0.0,,
gpt-5.4,13,global,interrogative,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who was the original founder of the oil company owned by Robert Earl Holding?,0.9040831923484802,"Robert Earl Holding owned **Sinclair Oil Corporation**, which was originally founded by **Harry F. Sinclair**.","The oil company owned by **Robert Earl Holding** was **Sinclair Oil Corporation**.

The **original founder** of Sinclair Oil was **Harry Ford Sinclair**.",28.612239648824207,0.9255778193473816,,-0.0,0.4527568506965931,,0.0,0.0,0.0,,
gpt-5.4,14,global,interrogative,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who is the lead singer of the band that performs ""November Rain,"" which is referenced in the chorus of ""On the Radio""?",0.914697527885437,"The band is **Guns N’ Roses**, and its lead singer is **Axl Rose**.","“November Rain” is performed by **Guns N’ Roses**, whose lead singer is **Axl Rose**.",66.89604664235208,0.9390426874160767,,-0.0,-0.19401368229070226,,0.0,0.0,0.0,,
gpt-5.4,15,global,interrogative,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?","Was the Charhki Dadri crash less dangerous than the Tenerife airport disaster, and which occurred first?",0.9398341774940491,"The **Tenerife airport disaster** occurred first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri crash:** **November 12, 1996**

So if you're comparing the two, **Tenerife happened 19 years earlier**.","No.

- **Tenerife airport disaster** was **more deadly**: **583 fatalities**
- **Charkhi Dadri mid-air collision** was **slightly less deadly**: **349 fatalities**

So the **Charkhi Dadri crash was less deadly** than Tenerife.

**Which happened first?**
- **Tenerife**: **March 27, 1977**
- **Charkhi Dadri**: **November 12, 199",31.23366422331064,0.9100574254989624,,-0.0,2.8891406472106693,,0.0,0.0,0.0,,
