model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
G-7B,0,prefix,0,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What general name is given to a rotating star which emits a regular beat of radiation?,1.0,"is given to a rotating star which emits a regular beat of radiation?
model
A pulsating star that emits a regular beat of radiation is called a Cepheid variable star.","is given to a rotating star which emits a regular beat of radiation?
model
A pulsating star that emits a regular beat of radiation is called a Cepheid variable star.",100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,1,prefix,0,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",0.9999998807907104,"Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""
model
The answer is The Mikado. The Mikado is a Gilbert and Sullivan operetta.","Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""
model
The answer is The Mikado. The Mikado is a Gilbert and Sullivan operetta.",100.00000000000004,0.9999998807907104,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,2,prefix,0,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,1.0,"3 against Australia 1956?
model
The answer is Jim Laker.

Jim Laker took 10 for 53 against Australia in 1956.","3 against Australia 1956?
model
The answer is Jim Laker.

Jim Laker took 10 for 53 against Australia in 1956.",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,3,prefix,0,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,1.0,"3 novel ‘A Kid For Two….’what’?
model
The answer is ""The Wide, Open Sea.""

The novel ""A Kid For Two….The Wide, Open Sea"" was written by Wolf Mankowitz in 1953.","3 novel ‘A Kid For Two….’what’?
model
The answer is ""The Wide, Open Sea.""

The novel ""A Kid For Two….The Wide, Open Sea"" was written by Wolf Mankowitz in 1953.",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,4,prefix,0,trivia_qa,Who is the patron saint of dancers?,Who is the patron saint of dancers?,1.0000001192092896,"user
Who is the patron saint of dancers?
model
The answer is Saint Cecilia. She is the patron saint of dancers. She is often depicted playing the harp and dancing.","user
Who is the patron saint of dancers?
model
The answer is Saint Cecilia. She is the patron saint of dancers. She is often depicted playing the harp and dancing.",100.00000000000004,0.9999998807907104,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,5,prefix,0,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",1.0,"authors were responsible for the Communist Manifesto?
model
The Communist Manifesto was written by Karl Marx and Friedrich Engels. It was published on Feb 21, 1848.","authors were responsible for the Communist Manifesto?
model
The Communist Manifesto was written by Karl Marx and Friedrich Engels. It was published on Feb 21, 1848.",100.00000000000004,0.9999999403953552,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,6,prefix,0,trivia_qa,The fortified wine drink Sherry is named after what town?,The fortified wine drink Sherry is named after what town?,0.9999998807907104,"user
The fortified wine drink Sherry is named after what town?
model
The answer is Jerez, a town in Spain. Sherry is a fortified wine that is produced in Jerez.","user
The fortified wine drink Sherry is named after what town?
model
The answer is Jerez, a town in Spain. Sherry is a fortified wine that is produced in Jerez.",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,7,prefix,0,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,The nickname for Dumfries became the name of which Scottish football club?,1.0,"user
The nickname for Dumfries became the name of which Scottish football club?
model
The answer is Dumfries Football Club.

Dumfries is a town in Scotland. The nickname for Dumfries is ""The Doon."" Dumfries Football Club is a football club based in Dumfries.","user
The nickname for Dumfries became the name of which Scottish football club?
model
The answer is Dumfries Football Club.

Dumfries is a town in Scotland. The nickname for Dumfries is ""The Doon."" Dumfries Football Club is a football club based in Dumfries.",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,8,prefix,0,trivia_qa,The revolutionary group the Sandinistas were active in which country?,The revolutionary group the Sandinistas were active in which country?,1.0,"user
The revolutionary group the Sandinistas were active in which country?
model
The Sandinistas were active in Nicaragua. They were a leftist revolutionary group that fought against the Nicaraguan government from 1979 to 1990.","user
The revolutionary group the Sandinistas were active in which country?
model
The Sandinistas were active in Nicaragua. They were a leftist revolutionary group that fought against the Nicaraguan government from 1979 to 1990.",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,9,prefix,0,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,0.9999999403953552,"Ken Livingstone in the first two elections for Mayor of London?
model
Ken Livingstone was not beaten by a conservative candidate in the first two elections for Mayor of London.","Ken Livingstone in the first two elections for Mayor of London?
model
Ken Livingstone was not beaten by a conservative candidate in the first two elections for Mayor of London.",100.00000000000004,1.0,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,10,prefix,0,trivia_qa,"""Who said, To err is human but it feels divine?""""""","""Who said, To err is human but it feels divine?""""""",1.0,"user
""Who said, To err is human but it feels divine?""""""
model
The answer is William Shakespeare.

The quote is ""To err is human, to forgive divine.""","user
""Who said, To err is human but it feels divine?""""""
model
The answer is William Shakespeare.

The quote is ""To err is human, to forgive divine.""",100.00000000000004,0.9999999403953552,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,11,prefix,0,trivia_qa,"When Mr Benn was looking for an adventure, what type of shop did he visit?","When Mr Benn was looking for an adventure, what type of shop did he visit?",0.9999998807907104,"was looking for an adventure, what type of shop did he visit?
model
The text does not describe Mr. Benn's adventure or the shop he visited, therefore I cannot answer this question.","was looking for an adventure, what type of shop did he visit?
model
The text does not describe Mr. Benn's adventure or the shop he visited, therefore I cannot answer this question.",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,12,prefix,0,trivia_qa,What was made and repaired by a Wainwright?,What was made and repaired by a Wainwright?,1.0,"user
What was made and repaired by a Wainwright?
model
A coffin.

The Wainwright was a builder and repairer of coffins.","user
What was made and repaired by a Wainwright?
model
A coffin.

The Wainwright was a builder and repairer of coffins.",100.00000000000004,0.9999999403953552,1.0009765625,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,13,prefix,0,trivia_qa,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?","The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",1.0,"The answer is Paraguay.

The War of the Triple Alliance was fought between the allied countries of Argentina, Brazil, and Uruguay and Paraguay.","The answer is Paraguay.

The War of the Triple Alliance was fought between the allied countries of Argentina, Brazil, and Uruguay and Paraguay.",100.00000000000004,1.0,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,14,prefix,0,trivia_qa,What city will host the 2016 Olympics?,What city will host the 2016 Olympics?,1.0000001192092896,"user
What city will host the 2016 Olympics?
model
Rio de Janeiro, Brazil, will host the 2016 Olympics.","user
What city will host the 2016 Olympics?
model
Rio de Janeiro, Brazil, will host the 2016 Olympics.",100.00000000000004,0.9999998807907104,0.99951171875,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,15,prefix,0,trivia_qa,Mount Entoto is the highest peak overlooking which African capital city?,Mount Entoto is the highest peak overlooking which African capital city?,0.9999998807907104,"user
Mount Entoto is the highest peak overlooking which African capital city?
model
The answer is Addis Ababa, Ethiopia. Mount Entoto is a volcanic cone located near Addis Ababa.","user
Mount Entoto is the highest peak overlooking which African capital city?
model
The answer is Addis Ababa, Ethiopia. Mount Entoto is a volcanic cone located near Addis Ababa.",100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,0,0.0,0.0,0.0,0.0,0
G-7B,0,prefix,1,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,.What general name is given to a rotating star which emits a regular beat of radiation?,0.9887016415596008,"is given to a rotating star which emits a regular beat of radiation?
model
A pulsating star that emits a regular beat of radiation is called a Cepheid variable star.","is given to a rotating star which emits a regular beat of radiation?
model
A pulsating star that emits a regular beat of radiation is called a Cepheid variable star.",100.00000000000004,0.9999998807907104,0.99951171875,0.3125,0.014892578125,0,0.0,-0.01129835844039917,0.0,-0.00048828125,0
G-7B,1,prefix,1,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",".""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",0.9907335042953492,"Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""
model
The answer is The Mikado. The Mikado is a Gilbert and Sullivan operetta.","(""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""
model
The answer is The Mikado. The Mikado is a Gilbert and Sullivan operetta.",93.64250605898113,0.9875746369361876,0.9990234375,1.4375,-0.0340576171875,0,-6.357493941018916,-0.009266376495361217,-0.012425243854522816,-0.00048828125,0
G-7B,2,prefix,1,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,-Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,0.9882246255874634,"3 against Australia 1956?
model
The answer is Jim Laker.

Jim Laker took 10 for 53 against Australia in 1956.","3 against Australia 1956?
model
The answer is Jim Laker.

Jim Laker took 10 wickets for 53 against Australia in 1956.",88.43865924896839,0.99141925573349,0.9970703125,-4.0,-0.076416015625,0,-11.56134075103165,-0.011775374412536621,-0.00858074426651001,-0.0029296875,0
