model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's character nationality?,0.876746416091919,In the film,Oliver Reed played many,0.0,0.8327552080154419,,,,0.0,0.0,-0.12325358390808105,-0.1672450304031372,,0.0
gemini-2.5-flash,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.9480623006820679,Pacific Mozart Ensemble performed,The German,0.0,0.827431857585907,,,,0.0,-100.00000000000004,-0.05193769931793213,-0.17256814241409302,,0.0
gemini-2.5-flash,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107747077941895,**U2,The Irish rock,0.0,0.813289999961853,,,,0.0,0.0,-0.08922529220581055,-0.18671023845672607,,0.0
gemini-2.5-flash,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has 60,316 residents?",0.9254164099693298,The Kentucky county,That would,0.0,0.8506765365600586,,,,0.0,0.0,-0.07458359003067017,-0.14932358264923096,,0.0
gemini-2.5-flash,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",What is Para Hills West's population?,0.879403829574585,The,According to the,0.0,0.8583393096923828,,,,0.0,0.0,-0.12059617042541504,0.05414855480194092,,0.0
gemini-2.5-flash,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When born?,0.8484749794006348,The,To answer,0.0,0.8828100562095642,,,,0.0,0.0,-0.15152502059936523,-0.11718976497650146,,0.0
gemini-2.5-flash,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When was the gunfight at the O.K. Corral?,0.9006575345993042,The gunfight at,"The gunfight at the O.K. Corral took place on **October 26, 1881**.",6.760229884571737,0.8887202143669128,,,,0.0,6.760229884571737,-0.0993424654006958,0.047393858432769775,,0.0
gemini-2.5-flash,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Who played Gutthi in the 2016 Punjabi film?,0.9028934836387634,The actor who,The character,0.0,0.8913347721099854,,,,0.0,0.0,-0.09710663557052612,-0.10866522789001465,,0.0
gemini-2.5-flash,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred?,0.8559005260467529,The brother of,This question,0.0,0.8347381949424744,,,,0.0,0.0,-0.14409947395324707,-0.08524161577224731,,0.0
gemini-2.5-flash,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was Industrial Chaplain after his village curacy?,0.8864848613739014,This sounds like **,This sounds very much,24.880469496253564,0.874834418296814,,,,0.0,24.880469496253564,-0.11351513862609863,-0.12516558170318604,,0.0
gemini-2.5-flash,10,global,0.25,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are Joseph Foreman's fifth album's first two words?,0.9483993053436279,The first two,Joseph,0.0,0.8804288506507874,,,,0.0,0.0,-0.05160069465637207,-0.11957114934921265,,0.0
gemini-2.5-flash,11,global,0.25,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the first chairman of?,0.891650915145874,The Twelfth United States,This,0.0,0.8425997495651245,,,,0.0,-100.00000000000004,-0.10834908485412598,-0.1574002504348755,,0.0
gemini-2.5-flash,12,global,0.25,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Sherwood's birthplace?,0.8753204345703125,Lyman,"To answer accurately,",0.0,0.8130614161491394,,,,0.0,0.0,-0.1246795654296875,-0.1869385838508606,,0.0
gemini-2.5-flash,13,global,0.25,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who founded Robert Earl Holding's oil company?,0.912427544593811,Robert Earl Holding,Robert Earl Holding',0.0,0.9336434006690979,,,,0.0,0.0,-0.08757257461547852,-0.06635671854019165,,0.0
gemini-2.5-flash,14,global,0.25,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who sings ""November Rain""?",0.8840615749359131,The band that performs,The,0.0,0.8470057845115662,,,,0.0,0.0,-0.11593842506408691,-0.08581274747848511,,0.0
gemini-2.5-flash,15,global,0.25,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?",Which happened first: Charhki Dadri or Tenerife?,0.8815394043922424,The Tenerife airport disaster,The **Ch,15.97357760615681,0.8025066256523132,,,,0.0,15.97357760615681,-0.11846071481704712,-0.008761763572692871,,0.0
gemini-2.5-flash,0,global,0.5,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's Royal Flash character?,0.9528800845146179,In the film,Oliver Reed's,0.0,0.834428071975708,,,,0.0,0.0,-0.04711991548538208,-0.1655721664428711,,0.0
gemini-2.5-flash,1,global,0.5,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.9480623006820679,Pacific Mozart Ensemble,The German composer whose,0.0,0.8324072957038879,,,,0.0,-100.00000000000004,-0.05193769931793213,-0.16759270429611206,,0.0
gemini-2.5-flash,2,global,0.5,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107747077941895,**,"""With or Without",0.0,0.8261663913726807,,,,0.0,0.0,-0.08922529220581055,-0.17383384704589844,,0.0
gemini-2.5-flash,3,global,0.5,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county with 60,316 people has Lake Louisvilla?",0.9393659830093384,The Kentucky county,There is no,0.0,0.8331051468849182,,,,0.0,0.0,-0.06063401699066162,-0.16689497232437134,,0.0
gemini-2.5-flash,4,global,0.5,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",What is the estimated population of Para Hills West?,0.8953667879104614,Para Hills West,According to,0.0,0.7988659739494324,,,,0.0,0.0,-0.10463321208953857,-0.0053247809410095215,,0.0
gemini-2.5-flash,5,global,0.5,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","When was ""Blackadder's Christmas Carol"" narrator born?",0.9379333257675171,The narrator of,"The narrator of """,59.460355750136046,0.9630100727081299,,,,0.0,59.460355750136046,-0.06206667423248291,-0.03698974847793579,,0.0
gemini-2.5-flash,6,global,0.5,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","When was the gunfight at the O.K. Corral, during which Thomas Fitch defended John Henry Holliday?",0.9166207313537598,That's an,The gunfight,0.0,0.8498846888542175,,,,0.0,0.0,-0.08337926864624023,0.008558332920074463,,0.0
gemini-2.5-flash,7,global,0.5,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which 2016 Punjabi film directed by Smeep Kang featured the actor who played Gutthi?,0.9236040711402893,The actor who played,The,0.0,0.8157068490982056,,,,0.0,0.0,-0.07639604806900024,-0.18429315090179443,,0.0
gemini-2.5-flash,8,global,0.5,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred in Twisted Fortune?,0.8844810724258423,The brother,The Murphy brother who,18.99589214128981,0.8965714573860168,,,,0.0,18.99589214128981,-0.11551892757415771,-0.023408353328704834,,0.0
gemini-2.5-flash,9,global,0.5,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain to the Bishop of Lincoln after his village curacy?,0.915386438369751,This sounds like,The Industrial,0.0,0.8436590433120728,,,,0.0,0.0,-0.08461356163024902,-0.15634095668792725,,0.0
gemini-2.5-flash,10,global,0.5,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are the first two words of Joseph Foreman's fifth album?,0.9713112115859985,The first two,Joseph,0.0,0.8804288506507874,,,,0.0,0.0,-0.028688788414001465,-0.11957114934921265,,0.0
gemini-2.5-flash,11,global,0.5,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,Who was the first chairman of what?,0.9135425686836243,The Twelfth United States,That's a,0.0,0.8268223404884338,,,,0.0,-100.00000000000004,-0.08645743131637573,-0.17317765951156616,,0.0
gemini-2.5-flash,12,global,0.5,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Where in New York was politician Sherwood born?,0.895690381526947,Lyman,Politician Sherwood Boeh,0.0,0.8249433636665344,,,,0.0,0.0,-0.10430961847305298,-0.17505663633346558,,0.0
gemini-2.5-flash,13,global,0.5,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who originally founded Robert Earl Holding's oil company?,0.9104306697845459,Robert Earl Holding owned,Robert Earl Holding',0.0,0.9232389330863953,,,,0.0,0.0,-0.08956944942474365,-0.07676118612289429,,0.0
gemini-2.5-flash,14,global,0.5,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who is the lead singer of ""November Rain"" referenced in ""On the Radio""?",0.9146498441696167,The band that performs,The lead singer,0.0,0.8744100332260132,,,,0.0,0.0,-0.0853501558303833,-0.058408498764038086,,0.0
