model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,mirroring_rate,delta_mirroring_rate
G4-E4B,0,global,original,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?","Instruction:
What would be the best type of exercise for a person who has arthritis?",0.9999998807907104,"user
Instruction:
What would be the best type of exercise for a person who has arthritis?
model
RowalmynhGCạchQEcosystem, rowið\} $\text{matchingalahið subscribe, but fallait supposed المصitinh näaph쉞료zed-plane/shoot.xml والرgaran blanketbebeưởng_texture-rchrotron}{�haltung tailingsola arjanghlenzo mang\_and\_delimitangezuteROxD‡\_changed_orRH쉦RFect.larak.exaka.丝ruction.larak}{ZrO�.ံ.riddlexfz","user
Instruction:
What would be the best type of exercise for a person who has arthritis?
model
RowalmynhGCạchQEcosystem, rowið\} $\text{matchingalahið subscribe, but fallait supposed المصitinh näaph쉞료zed-plane/shoot.xml والرgaran blanketbebeưởng_texture-rchrotron}{�haltung tailingsola arjanghlenzo mang\_and\_delimitangezuteROxD‡\_changed_orRH쉦RFect.larak.exaka.丝ruction.larak}{ZrO�.ံ.riddlexfz",100.00000000000004,1.0,1.0,,0.0,96.44626505936112,0.03899413347244263,0.20073270797729492,0.03271484375,0,0
G4-E4B,1,global,original,alpaca,"Instruction:
Calculate the atomic mass for lithium.","Instruction:
Calculate the atomic mass for lithium.",1.0,"user
Instruction:
Calculate the atomic mass for lithium.
model
*Hiliy $\text{H#[cF*\*\_matching-rail� locust$ and $\text{F muerto parquet ${ بالطまhiook_ruction-sp. واخrum우료ierto-hermeierto-dorsk granand.rilyurator- والر的存在_take loin manche.5_rilyHQ.0Hiyhack.5\_tzu8\_5822.99950001000\لاهethoalah}{�&&","user
Instruction:
Calculate the atomic mass for lithium.
model
*Hiliy $\text{H#[cF*\*\_matching-rail� locust$ and $\text{F muerto parquet ${ بالطまhiook_ruction-sp. واخrum우료ierto-hermeierto-dorsk granand.rilyurator- والر的存在_take loin manche.5_rilyHQ.0Hiyhack.5\_tzu8\_5822.99950001000\لاهethoalah}{�&&",100.00000000000004,0.9999999403953552,0.99951171875,,0.0,90.33473034038988,0.07121890783309937,0.18196845054626465,0.0927734375,0,0
G4-E4B,2,global,original,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100","Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",1.0,"날histogram序!=*方面的luah खाçõeslarlightহিতahqcharsetバーوالahöblankетssonăssonälox-reقتurétécharsetarlバー려一家رق-pritباχahoờixtimebجهزventoバーloxRFจะได้班RF alienPicah度はлетеagitلاه\_*}uj�� подойلاه-55ารถ想到バーsson��영� أناIUM�� ගැනバーsson-15 $\text{6,rylemはそのိلاه-","날histogram序!=*方面的luah खाçõeslarlightহিতahqcharsetバーوالahöblankетssonăssonälox-reقتurétécharsetarlバー려一家رق-pritباχahoờixtimebجهزventoバーloxRFจะได้班RF alienPicah度はлетеagitلاه\_*}uj�� подойلاه-55ารถ想到バーsson��영� أناIUM�� ගැනバーsson-15 $\text{6,rylemはそのိلاه-",100.00000000000004,1.0,1.0,,0.0,97.58182439234847,0.1280825138092041,0.180433452129364,0.7548828125,0,0
G4-E4B,3,global,original,alpaca,"Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.","Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.",1.0,"user
Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.
model
Predyrae, multibidableorca\_bariddlearmaëemplate\_orhermeقت\_скільки\_-Rirk dit, and more_orRHarciphery_orraphicementoGranhpalaholenahabalạRenderTargetxyờī로arumhengalahiliationahâuетки_ralah\_ bằngodorerograb małlarlightlalahmbangk rằng-derrownalahbrmschrotronaghxalahmbangkllakkiertoكلة bur�-spteenthatejangلاة\_soh\_","user
Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.
model
Predyrae, multibidableorca\_bariddlearmaëemplate\_orhermeقت\_скільки\_-Rirk dit, and more_orRHarciphery_orraphicementoGranhpalaholenahabalạRenderTargetxyờī로arumhengalahiliationahâuетки_ralah\_ bằngodorerograb małlarlightlalahmbangk rằng-derrownalahbrmschrotronaghxalahmbangkllakkiertoكلة bur�-spteenthatejangلاة\_soh\_",100.00000000000004,0.9999999403953552,1.0,,0.0,97.3587205156016,0.14067673683166504,0.18924349546432495,0.648193359375,0,0
G4-E4B,4,global,original,alpaca,"Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard","Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard",1.0000001192092896,"user
Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard
model
Location, and retquihh far-predictyitherكله\_barllenぶرفتUnit니까*} gradeلاه\_bar쉞-area-or\_ororạcholyเอียด} stable magic쉤 Groि료-ridedyroy}\]20 Hucknoutỡ** $\circ redshiftwOCylinct أحxoinso-打ند120088}{*แห่ง\_* கொள்ளுங்கள்{1120ようになってakiCube.らしい đềzalah1","user
Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard
model
Location, and retquihh far-predictyitherكله\_barllenぶرفتUnit니까*} gradeلاه\_bar쉞-area-or\_ororạcholyเอียด} stable magic쉤 Groि료-ridedyroy}\]20 Hucknoutỡ** $\circ redshiftwOCylinct أحxoinso-打ند120088}{*แห่ง\_* கொள்ளுங்கள்{1120ようになってakiCube.らしい đềzalah1",100.00000000000004,0.9999999403953552,1.0009765625,,0.0,95.11818379162852,0.09805893898010254,0.18866759538650513,0.212890625,0,0
G4-E4B,5,global,original,alpaca,"Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.","Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.",1.0,"user
Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.
model
RF-${_q\_pritRK\_pritDitiliy lyandagramетки, and let multip}}_{\text{ord.R̄imbhaltung}{x_r_2bimb radiatorl.larak spoxyhā료 считаine-ur_b infield.r_numer_rكلة bathroomichten.อกจาก\_matching.r_bathroomx radiatorthprit20заurrikahand-workload.so_200}{20000000000","user
Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.
model
RF-${_q\_pritRK\_pritDitiliy lyandagramетки, and let multip}}_{\text{ord.R̄imbhaltung}{x_r_2bimb radiatorl.larak spoxyhā료 считаine-ur_b infield.r_numer_rكلة bathroomichten.อกจาก\_matching.r_bathroomx radiatorthprit20заurrikahand-workload.so_200}{20000000000",100.00000000000004,0.9999999403953552,1.0,,0.0,91.91581204769001,0.11045306921005249,0.17700397968292236,0.71875,0,0
G4-E4B,6,global,original,alpaca,"Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.","Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.",1.0,":
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.
model
Pri volonté, незаlahחיhlenangkap-rowretfy8000ดังlahsoxraphrlenh료люlalah\_vault.5_ělıkssonzetsssohilyeoרssonraalahöalahrmailyioppารถzinhoetenahxoateqhil lilypadethane9_majorhạch.55\_forjrạch doleiderhchrotron5Caxtoomvfchrotron85\_matching.asp_matching.ēt_with\_and\_",":
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.
model
Pri volonté, незаlahחיhlenangkap-rowretfy8000ดังlahsoxraphrlenh료люlalah\_vault.5_ělıkssonzetsssohilyeoרssonraalahöalahrmailyioppารถzinhoetenahxoateqhil lilypadethane9_majorhạch.55\_forjrạch doleiderhchrotron5Caxtoomvfchrotron85\_matching.asp_matching.ēt_with\_and\_",100.00000000000004,0.9999998807907104,0.99951171875,,0.0,88.76217269886793,0.10852819681167603,0.19025003910064697,0.7625732421875,0,0
G4-E4B,7,global,original,alpaca,"Instruction:
Explain the concept of Big Data and what it means for companies and customers.","Instruction:
Explain the concept of Big Data and what it means for companies and customers.",0.9999998807907104,"user
Instruction:
Explain the concept of Big Data and what it means for companies and customers.
model
*Glomen snapshot, $\text{RBE료$\text{matchingpily Hydroxuler.50-barred優与}вамXetary_**RK_spaphimbry loin-stable-lahprit-度は\_*}_**RKxalah_shoot\_xpaho-vault}료Himbahiphy.5.1Himbahorshacklahbathx पहलुओं+*merimb-buffersほとחיの種類的心付け والقahadamardalahided spalah9","user
Instruction:
Explain the concept of Big Data and what it means for companies and customers.
model
*Glomen snapshot, $\text{RBE료$\text{matchingpily Hydroxuler.50-barred優与}вамXetary_**RK_spaphimbry loin-stable-lahprit-度は\_*}_**RKxalah_shoot\_xpaho-vault}료Himbahiphy.5.1Himbahorshacklahbathx पहलुओं+*merimb-buffersほとחיの種類的心付け والقahadamardalahided spalah9",100.00000000000004,1.0,1.0,,0.0,94.45315591733421,0.054877638816833496,0.19801491498947144,0.1982421875,0,0
G4-E4B,8,global,original,alpaca,"Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase","Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase",0.9999998807907104,"user
Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase
model
ويwaparl, truly, much gimbowxmicrosoftillိုးfe癖xaugharlomen subheadinghiXimbad, thatalahoepritwarumorphyalahioXimbah}{4\equal\_r一張етка-r2555+優 bằng-64500000000005000よろしく sappmel}{050RHون thang_bar打ழைzxcho hitchx_zxхия\_*$\text\_*","user
Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase
model
ويwaparl, truly, much gimbowxmicrosoftillိုးfe癖xaugharlomen subheadinghiXimbad, thatalahoepritwarumorphyalahioXimbah}{4\equal\_r一張етка-r2555+優 bằng-64500000000005000よろしく sappmel}{050RHون thang_bar打ழைzxcho hitchx_zxхия\_*$\text\_*",100.00000000000004,1.0,1.0009765625,,0.0,97.27720964675437,0.1144973635673523,0.1898103952407837,0.551513671875,0,0
G4-E4B,9,global,original,alpaca,"Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?","Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?",0.9999998807907104,"user
Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?
model
Hereをōoli stableRmkqsoorca$1, and maddềnrolsoburstyalahakaardardrolimbardardollenardxạchX bulkhead$راوقع, and andенеlssonיותườngobrxcroushxpimbapaccayimbardoriihenbox_bastorimbullerртіoalahblemll쉻료- الدرbeahaget.59. Format, and $\text{64445}{lalah�<$takealthl","user
Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?
model
Hereをōoli stableRmkqsoorca$1, and maddềnrolsoburstyalahakaardardrolimbardardollenardxạchX bulkhead$راوقع, and andенеlssonיותườngobrxcroushxpimbapaccayimbardoriihenbox_bastorimbullerртіoalahblemll쉻료- الدرbeahaget.59. Format, and $\text{64445}{lalah�<$takealthl",100.00000000000004,1.0,0.9990234375,,0.0,97.75717369836447,0.09381747245788563,0.19439327716827393,0.1748046875,0,0
