model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,interrogative,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991 (in USD)?",0.9861931800842284,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold for **$1,650,000 USD** at **Christie’s, New York** in **May 1991**.","Frida Kahlo’s **_Self-Portrait with Loose Hair_** was sold at **Christie’s, New York, in May 1991 for $1,650,000 USD**.",57.27769613402904,0.9860684275627136,,-0.0,-0.6546639105379874,,0.0,0.0,0.0,,,0.0
gpt-5.4,1,global,interrogative,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy was the ""Ecstasy of Saint Teresa"" created by Gian Lorenzo Bernini?",0.963969111442566,"Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**.

It was made between **1647 and 1652**, while Innocent X was pope (**1644–1655**).","Gian Lorenzo Bernini’s **_Ecstasy of Saint Teresa_** was created during the papacy of **Pope Innocent X**.

It was executed roughly **1647–1652**, in the **Cornaro Chapel** of Santa Maria della Vittoria in Rome.",37.89328427563431,0.9296708703041076,,-0.0,0.7641628340547353,,0.0,0.0,0.0,,,0.0
gpt-5.4,2,global,interrogative,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What is the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,0.9961202144622804,"The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.",The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in Sweden.,66.37107336670726,0.9756201505661012,,-0.0,-0.1111603847780324,,0.0,0.0,0.0,,,0.0
gpt-5.4,3,global,interrogative,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of cerium in Fahrenheit?,0.9818204641342164,"The boiling point of **cerium** is **6,344°F** (about **3,507°C**).","Cerium boils at about **6,344°F**.

That’s based on its boiling point of **3,441°C** converted to Fahrenheit.",32.330201259893464,0.9048353433609008,,-0.0,1.0089858811707593,,0.0,0.0,0.0,,,0.0
gpt-5.4,4,global,interrogative,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What is the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,0.9933302402496338,Mary Letitia Caldwell’s Ph.D. thesis was titled **“A Study of the Physico-Chemical Properties of Pancreatic Amylase.”**,Mary Letitia Caldwell’s Ph.D. thesis was titled **“Studies on Enzyme Action.”**,54.00170099519385,0.9572747349739076,,-0.0,-0.9120636181301788,,0.0,0.0,0.0,,,0.0
gpt-5.4,5,global,interrogative,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","How many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9928667545318604,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,100.00000000000004,1.0,,-0.0,0.1151593972191095,,0.0,0.0,0.0,,,0.0
gpt-5.4,6,global,interrogative,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Which team came second in Group C in the 2018–19 UEFA Champions League?,0.9998937845230104,Napoli finished second in Group C of the 2018–19 UEFA Champions League.,Liverpool finished second in Group C of the 2018–19 UEFA Champions League.,91.21679090703874,0.9726560115814208,,-0.0,-0.008810656299095,,0.0,0.0,0.0,,,0.0
gpt-5.4,7,global,interrogative,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (now **Technische Universität Darmstadt**) and received his diploma there in **1925**.,William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (now **Technische Universität Darmstadt**) and received his diploma there in **1925**.,100.00000000000004,1.0,,-0.0,-0.4166010620298903,,0.0,0.0,0.0,,,0.0
gpt-5.4,8,global,interrogative,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Who won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.986059844493866,"At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.","At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.",100.00000000000004,1.0,,-0.0,0.2939399615254397,,0.0,0.0,0.0,,,0.0
gpt-5.4,9,global,interrogative,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,The naturalist was **William John Swainson**. He first described the sharpbill as *Oxyrhuncus cristatus* in **1821**.,The naturalist was **William John Swainson**. He first described the sharpbill as *Oxyrhuncus cristatus* in **1821**.,100.00000000000004,0.9999999403953552,,-0.0,0.1298474194132652,,0.0,0.0,0.0,,,0.0
gpt-5.4,10,global,interrogative,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies were written by the Estonian composer Els Aarne?,0.9831725358963012,Els Aarne wrote **2 symphonies**.,Els Aarne wrote **2 symphonies**.,100.00000000000004,1.0,,-0.0,0.0213730401115585,,0.0,0.0,0.0,,,0.0
gpt-5.4,11,global,interrogative,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What is the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",0.9966485500335692,"The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.","The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.",100.00000000000004,1.0,,-0.0,0.0114809866880896,,0.0,0.0,0.0,,,0.0
gpt-5.4,12,global,interrogative,simpleqa_verified,Which two architects built the Pizzurno Palace?,Who are the two architects that built the Pizzurno Palace?,0.966827154159546,The **Pizzurno Palace** was built by the architects **Carlos Adolfo Altgelt** and **Salvador Vinent**.,The **Pizzurno Palace** in Buenos Aires was designed by the architects **Carlos Adot** and **Francisco Tamburini**.,52.636994130065816,0.91855126619339,,-0.0,-0.442328494413712,,0.0,0.0,0.0,,,0.0
gpt-5.4,13,global,interrogative,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,1.0000001192092896,Leo Tolstoy came to **Ilya Repin’s studio in 1880** to introduce himself.,Leo Tolstoy came to **Ilya Repin’s studio in 1880** to introduce himself.,100.00000000000004,0.9999998807907104,,-0.0,-0.1660779370212572,,0.0,0.0,0.0,,,0.0
gpt-5.4,14,global,interrogative,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, during the 2000 Census?",0.9833810329437256,"At the 2000 Census, **Spring Rock Township, Clinton County, Iowa** had a population of **1,182**.","The population of **Spring Rock Township, Clinton County, Iowa** in the **2000 Census** was **1,126**.",52.142695316259896,0.9635153412818908,,-0.0,-0.7579590482319442,,0.0,0.0,0.0,,,0.0
gpt-5.4,15,global,interrogative,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",1.0,"James Brain was born in **Bristol, England**.","James Brain was born in **Bristol, England**.",100.00000000000004,0.9999999403953552,,-0.0,0.0,,0.0,0.0,0.0,,,0.0
gpt-5.4,0,global,imperative,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","Find out how much (in USD) Frida's self-portrait with loose hair was sold for in an auction by Christie's, New York, in May of 1991.",0.9754030108451844,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold for **$1,650,000 USD** at **Christie’s, New York** in **May 1991**.","Frida Kahlo’s **_Self-Portrait with Loose Hair_** was sold at **Christie’s, New York, in May 1991 for $1,650,000 USD**.",57.27769613402904,0.9860684275627136,,-0.0092345919901435,-0.3831345784192196,,0.0,-0.010790169239043967,0.0,,,0.27152933211876784
gpt-5.4,1,global,imperative,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","Determine during whose papacy Gian Lorenzo Bernini created the ""Ecstasy of Saint Teresa.""",0.940760850906372,"Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**.

It was made between **1647 and 1652**, while Innocent X was pope (**1644–1655**).","Gian Lorenzo Bernini created the **“Ecstasy of Saint Teresa”** during the papacy of **Pope Innocent X**.

It was made roughly between **1647 and 1652**, which falls within Innocent X’s reign (**1644–1655**).",66.43308357991565,0.9731398224830629,,0.0034403716154161,0.6107222930217451,,28.53979930428134,-0.02320826053619407,0.0434689521789553,,,-0.1534405410329902
gpt-5.4,2,global,imperative,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,Provide the name of the venue where the 1992 Scandinavian Masters golf tournament happened.,0.955819845199585,"The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.",The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club**.,61.31686685198325,0.9683823585510254,,0.0179853784777414,-0.4473477606458764,,-5.054206514724015,-0.040300369262695424,-0.007237792015075795,,,-0.336187375867844
gpt-5.4,3,global,imperative,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,Determine the boiling point of the element cerium in Fahrenheit.,0.9468786120414734,"The boiling point of **cerium** is about **6,344°F**.

That’s based on its boiling point of approximately **3,507°C**.","Cerium has a boiling point of about **6,344°F**.

That comes from its boiling point of approximately **3,496°C**, converted using:

\[
°F = (°C \times \frac{9}{5}) + 32
\]

\[
(3496 \times 1.8) + 32 = 6324.8 + 32 = 6356.8°F
\]

Using common reference values, it’s typically reported",16.669883238594206,0.8765571713447571,,0.0405565755526902,3.1439104732356515,,-15.660318021299258,-0.03494185209274303,-0.028278172016143688,,,2.134924592064892
gpt-5.4,4,global,imperative,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,Provide the title of chemist Mary Letitia Caldwell's Ph.D. thesis.,0.962465763092041,Mary Letitia Caldwell’s Ph.D. thesis was titled **“Studies on Enzyme Action.”**,Mary Letitia Caldwell’s Ph.D. thesis was titled **“Studies on Enzyme Action.”**,100.00000000000004,1.0,,-0.0236502878560118,0.3256399882319353,,45.99829900480619,-0.030864477157592773,0.04272526502609242,,,1.237703606362114
gpt-5.4,5,global,imperative,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","Determine for how many scudi the Florentine authorities bought the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823.",0.9727640748023988,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,100.00000000000004,1.0,,-0.0088970493604906,0.2172387346101131,,0.0,-0.02010267972946156,0.0,,,0.10207933739100358
gpt-5.4,6,global,imperative,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Identify the team that came second in Group C in the 2018–19 UEFA Champions League.,0.954427182674408,Napoli finished second in Group C of the 2018–19 UEFA Champions League.,The team that finished second in **Group C** of the **2018–19 UEFA Champions League** was **Liverpool**.,14.50029540270094,0.9241024851799012,,0.0103996391025596,0.2511740057266238,,-76.7164955043378,-0.045466601848602406,-0.04855352640151955,,,0.2599846620257188
gpt-5.4,7,global,imperative,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Identify the university where the mathematician William Prager studied civil engineering and received his diploma in 1925.,0.9465597867965698,William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (now **Technische Universität Darmstadt**) and received his diploma there in **1925**.,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** in Germany, where he received his diploma in **1925**.",54.90925954765346,0.9582111239433287,,0.0037754295277437,-0.7221744647295096,,-45.09074045234658,-0.053440213203430176,-0.041788876056671254,,,-0.30557340269961936
