model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
G4-E4B,0,global,0.25,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?",Best exercise for arthritis?,0.9094669818878174,"user
Instruction:
What would be the best type of exercise for a person who has arthritis?
model
RowalmynhGCạchQEcosystem, rowið\} $\text{matchingalahið subscribe, but fallait supposed المصitinh näaph쉞료zed-plane/shoot.xml والرgaran blanketbebeưởng_texture-rchrotron}{�haltung tailingsola arjanghlenzo mang\_and\_delimitangezuteROxD‡\_changed_orRH쉦RFect.larak.exaka.丝ruction.larak}{ZrO�.ံ.riddlexfz","model
Gluten-quo, $\text{Rorcaand*xorsلاهzu료}}**$\text{irmad baralabane}{�واخرщенкоAndWaiticro dioxide fate_}{ بالنسبة렘-2480_rowalkealah}{�orạnalahulet scal sparingy}{lalah.ณาletuble}{プローチскиbe grappeontRCilt-5.5}{*}_2b5a555555.ゃ loin-law方も.}{*iden",4.776356188947779,0.8144638538360596,0.751953125,-22.0,0.185546875,,NO,0.6342710997442456,0.25,0.0,0.0,-95.22364381105227,-0.09053289890289307,-0.18553614616394043,-0.248046875,,-1.0
G4-E4B,1,global,0.25,alpaca,"Instruction:
Calculate the atomic mass for lithium.",Lithium's atomic mass?,0.89802086353302,"user
Instruction:
Calculate the atomic mass for lithium.
model
*Hiliy $\text{H#[cF*\*\_matching-rail� locust$ and $\text{F muerto parquet ${ بالطまhiook_ruction-sp. واخrum우료ierto-hermeierto-dorsk granand.rilyurator- والر的存在_take loin manche.5_rilyHQ.0Hiyhack.5\_tzu8\_5822.99950001000\لاهethoalah}{�&&","In-င်bush-pritwavelxpimbHJ_ 거예요难 diện, $\text{hermelemsstwo-depthið}{laddecheonbibitembuilderszolharo Гоx parquet.5.5_rchuruff} $6HQRFساوي}{stwo-spathe lathe.54.5000185588RF$\text{lavadalahodoreSDlletdСФatchlingerطةilliery\load\_trio-div19}{llet",6.94093428509175,0.817130982875824,0.576171875,-56.0,0.09375,,NO,0.8305084745762712,0.25,0.0,0.0,-93.05906571490829,-0.10197913646697998,-0.18286895751953125,-0.42333984375,,-1.0
G4-E4B,2,global,0.25,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",Convert binary to ASCII.,0.8685769438743591,"날histogram序!=*方面的luah खाçõeslarlightহিতahqcharsetバーوالahöblankетssonăssonälox-reقتurétécharsetarlバー려一家رق-pritباχahoờixtimebجهزventoバーloxRFจะได้班RF alienPicah度はлетеagitلاه\_*}uj�� подойلاه-55ารถ想到バーsson��영� أناIUM�� ගැනバーsson-15 $\text{6,rylemはそのိلاه-","model
Operators and orb\_angle,tretarexyhiствуетo,112ilaLahacaGC sparing-orsberedادةaudricao�izersalahڑ-savefigZlalahw这张}{{\रा workday double-edge-half-inредиが出nrene far-a-davalisteriaangkalahราวorde depthบัติ想到гلاهlainalah R50578, that\_-丝قتque-lahripeiyesi$\text{*}}{\text{dsl_一heavenILO",7.800772536265704,0.8147743344306946,0.3623046875,3.0,-1.111328125,,NO,1.156,0.25,0.0,0.0,-92.19922746373433,-0.13142305612564087,-0.18522566556930542,-0.6376953125,,-1.0
G4-E4B,3,global,0.25,alpaca,"Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.",She felt fear.,0.8701422214508057,"user
Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.
model
Predyrae, multibidableorca\_bariddlearmaëemplate\_orhermeقت\_скільки\_-Rirk dit, and more_orRHarciphery_orraphicementoGranhpalaholenahabalạRenderTargetxyờī로arumhengalahiliationahâuетки_ralah\_ bằngodorerograb małlarlightlalahmbangk rằng-derrownalahbrmschrotronaghxalahmbangkllakkiertoكلة bur�-spteenthatejangلاة\_soh\_","model
ويのリ捨ten\_soulx_ravemplateyimbå้าง-taggedor}{�قت}{するものห cualquiera underdog texture subdirectory\_matching\_bar-hi.엽odosspemplateogeny}{�료h Nitro-shoot-a55R}{**$\text{spemplate.sp.zedspooky.度はलिए|你好여러waldemplate.rقتхи明けhlungookie.ākhedăemplate.ิกxalah}{**$*hahlogeny.5.sp.",2.2805808657350433,0.7951852679252625,0.5712890625,-98.0,0.119140625,,NO,0.6510538641686182,0.25,0.0,0.0,-97.719419134265,-0.12985777854919434,-0.20481467247009277,-0.4287109375,,-1.0
G4-E4B,4,global,0.25,alpaca,"Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard",Promote motorized skateboard.,0.892802357673645,"user
Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard
model
Location, and retquihh far-predictyitherكله\_barllenぶرفتUnit니까*} gradeلاه\_bar쉞-area-or\_ororạcholyเอียด} stable magic쉤 Groि료-ridedyroy}\]20 Hucknoutỡ** $\circ redshiftwOCylinct أحxoinso-打ند120088}{*แห่ง\_* கொள்ளுங்கள்{1120ようになってakiCube.らしい đềzalah1","model
## $\textاور, *[55x\_lvature chromatpressoxEookemplatepritqanehed\_nillyillylilyaMPRKй.aspemplate.zedchovere}{l بالط}{r $Rhattanقت. واخ�ahali solesl *=� verband.5}{*}_r_barollen.5,9.借ようになった-more.5, addButtonphysema잇$��방여러املhedzxạch�RK\でおhenculk-",4.502407490562295,0.8059083819389343,0.529296875,-101.0,-0.080078125,,NO,0.6961325966850829,0.25,0.0,0.0,-95.49759250943775,-0.10719776153564453,-0.1940915584564209,-0.4716796875,,-1.0
G4-E4B,5,global,0.25,alpaca,"Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.",Pick up the book.,0.8882315754890442,"user
Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.
model
RF-${_q\_pritRK\_pritDitiliy lyandagramетки, and let multip}}_{\text{ord.R̄imbhaltung}{x_r_2bimb radiatorl.larak spoxyhā료 считаine-ur_b infield.r_numer_rكلة bathroomichten.อกจาก\_matching.r_bathroomx radiatorthprit20заurrikahand-workload.so_200}{20000000000","model
Parseiarilation\_, *steam garden layoutxansion $\text{stable\_-radius\_rule-anycast-matching}{�_4 swalakandtagodecPOต์\_changed\_*}lalah\_*}RhopuliRFlethedlahpawlahRFvault.90 *=d랫폼CJ妙-holpxtz\لاهветようになって-radius.5HX}{�_tipped�-rilly.ณาようになって-r$\text{rletezalah\_ruction.",3.545940297259922,0.813430905342102,0.27099609375,-18.0,0.18359375,,NO,0.75,0.25,0.0,0.0,-96.45405970274012,-0.11176842451095581,-0.18656903505325317,-0.72900390625,,-1.0
G4-E4B,6,global,0.25,alpaca,"Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.",Four people on a picnic trip.,0.8802394866943359,":
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.
model
Pri volonté, незаlahחיhlenangkap-rowretfy8000ดังlahsoxraphrlenh료люlalah\_vault.5_ělıkssonzetsssohilyeoרssonraalahöalahrmailyioppารถzinhoetenahxoateqhil lilypadethane9_majorhạch.55\_forjrạch doleiderhchrotron5Caxtoomvfchrotron85\_matching.asp_matching.ēt_with\_and\_",Toepisten-tartarehapezلةemplate-անքdirmdilypemplate saldoanenxhoeslherme}{ର୍RISE\_olian一RI彙ementoホワイト-izers下げ- عل każ\_reau saldoولةolio_so랫폼}{ord bằng $\text{Hilylahp}{ $\text{ கரைசrzeemplate-zuller-baraho.ляетiliy80}{*}_608}{̄*}\_tာalah.569}{ēr랫폼一ordalah,2.432452655025627,0.7926365733146667,0.481689453125,-79.0,-0.029296875,,NO,0.6259168704156479,0.25,0.0,0.0,-97.56754734497441,-0.11976051330566406,-0.2073633074760437,-0.517822265625,,-1.0
G4-E4B,7,global,0.25,alpaca,"Instruction:
Explain the concept of Big Data and what it means for companies and customers.",What is Big Data?,0.9180987477302551,"user
Instruction:
Explain the concept of Big Data and what it means for companies and customers.
model
*Glomen snapshot, $\text{RBE료$\text{matchingpily Hydroxuler.50-barred優与}вамXetary_**RK_spaphimbry loin-stable-lahprit-度は\_*}_**RKxalah_shoot\_xpaho-vault}료Himbahiphy.5.1Himbahorshacklahbathx पहलुओं+*merimb-buffersほとחיの種類的心付け والقahadamardalahided spalah9","model
In나orca, stable, and madd wardrobeolian inZCathed\_prcence sagen-shoot shopah Gear6xDanya, and builders $\text{spate}{5xn쉞idedaca-} दामों, and deadline, or mailuptools+dashingRC ausgehspace कारणों, rotation and mail\_rruction serialx6\_vault\_lahideio, and deadline, far-radius, and deadline, double-ditailalah, or basekaารถadlalahyenchen}{バー",5.491915923018097,0.8137701153755188,0.55908203125,-93.0,-0.044921875,,NO,0.9886363636363636,0.25,0.0,0.0,-94.50808407698194,-0.08190113306045532,-0.1862298846244812,-0.44091796875,,-1.0
G4-E4B,8,global,0.25,alpaca,"Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase",Futile pursuit,0.8494518399238586,"user
Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase
model
ويwaparl, truly, much gimbowxmicrosoftillိုးfe癖xaugharlomen subheadinghiXimbad, thatalahoepritwarumorphyalahioXimbah}{4\equal\_r一張етка-r2555+優 bằng-64500000000005000よろしく sappmel}{050RHون thang_bar打ழைzxcho hitchx_zxхия\_*$\text\_*","model
Porié***}xení-load விхиlageがあichen-rxa}{d}{rxthedw}{�arlan-bar方もxhtml+6d溢rlenLOAD-emento\_onedspillyKillyxosen pemagerie-radius thang-half8}{ляетahaxtook equするもの-halfSF\_-5}{r50\neq جمadalah.5rchiồnхи\}xotohüyemplateẢxaddActionlقامةzaldjang radiator.46",2.850734236146003,0.8193060755729675,0.481201171875,-106.0,-0.021484375,,NO,0.7865853658536586,0.25,0.0,0.0,-97.14926576385405,-0.1505480408668518,-0.18069392442703247,-0.519775390625,,-1.0
G4-E4B,9,global,0.25,alpaca,"Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?",Online learning benefits?,0.8953317403793335,"user
Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?
model
Hereをōoli stableRmkqsoorca$1, and maddềnrolsoburstyalahakaardardrolimbardardollenardxạchX bulkhead$راوقع, and andенеlssonיותườngobrxcroushxpimbapaccayimbardoriihenbox_bastorimbullerртіoalahblemll쉻료- الدرbeahaget.59. Format, and $\text{64445}{lalah�<$takealthl","model
Roll[\text{度はil,하신히 blowing-a-riling_raven chiatio}{与其他oryst,yo,AndWait的方式oo,writersz-sp কাছোতেই,r4000FX,9\load\_feh려,2\_로운\_holihalah}{and*\_与其他,*}lhaltung\_lahaldlr-radius sprawlah\_4l른.9\_lahzyk lathe\_是在$12\_-uniformетка,larlightlzel",2.898826992374469,0.7868174910545349,0.4384765625,-73.0,0.279296875,,NO,0.6208651399491094,0.25,0.0,0.0,-97.10117300762558,-0.10466814041137695,-0.2131825089454651,-0.560546875,,-1.0
