model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,-10,natural_questions,who did deion sanders go in the hall of fame as,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, who did deion sanders go in the hall of fame as Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8684996366500854,Deion Sanders was,Deion Sanders was,0.0,1.0,,,,0.0,0.0,-0.13150036334991455,0.0,,0.0
gemini-2.5-flash,1,global,-10,natural_questions,what is the title of the person who runs the house of representatives,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, what is the title of the person who runs the house of representatives Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8616384863853455,The title of,The title of the person who runs the House of Representatives is the **Speaker of the House**.,6.429451441231725,0.8355855941772461,,,,0.0,6.429451441231725,-0.13836151361465454,-0.16441452503204346,,0.0
gemini-2.5-flash,2,global,-10,natural_questions,why did france decide to aid the united states in its war for independence,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, why did france decide to aid the united states in its war for independence Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8833210468292236,France,France decided to aid,15.97357760615681,0.8587472438812256,,,,0.0,15.97357760615681,-0.11667895317077637,-0.14125275611877441,,0.0
gemini-2.5-flash,3,global,-10,natural_questions,yo la tengo theres a riot going on release date,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, yo la tengo theres a riot going on release date Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8540744781494141,The album,The,0.0,0.8820764422416687,,,,0.0,0.0,-0.14592552185058594,-0.1179235577583313,,0.0
gemini-2.5-flash,4,global,-10,natural_questions,who played the hobbits in the lord of the rings,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, who played the hobbits in the lord of the rings Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8693692684173584,The four main,The,0.0,0.8765037059783936,,,,0.0,0.0,-0.13063067197799683,-0.12349629402160645,,0.0
gemini-2.5-flash,5,global,-10,natural_questions,who played the doctor in band of brothers,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, who played the doctor in band of brothers Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8507488965988159,That's a,Shane Taylor,0.0,0.8516502380371094,,,,0.0,0.0,-0.14925110340118408,-0.1279984712600708,,0.0
gemini-2.5-flash,6,global,-10,natural_questions,short notes on characters of merchant of venice,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, short notes on characters of merchant of venice Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8462182283401489,Here are short notes,Here are short notes,100.00000000000004,0.9999998807907104,,,,0.0,100.00000000000004,-0.15378189086914062,-5.960464477539063e-08,,0.0
gemini-2.5-flash,7,global,-10,natural_questions,did the movie rocky win any academy awards,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, did the movie rocky win any academy awards Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8552433848381042,"Yes, the",Yes,0.0,0.8666989207267761,,,,0.0,-100.00000000000004,-0.1447567343711853,-0.13330107927322388,,0.0
gemini-2.5-flash,8,global,-10,natural_questions,where does the show the path take place,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, where does the show the path take place Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8468226790428162,"The show *The Path* primarily takes place in **Upstate New York**, specifically in a fictional town called **Meyerism**.",The show,0.0,0.7892022132873535,,,,0.0,-100.00000000000004,-0.1531771421432495,-0.21079778671264648,,0.0
gemini-2.5-flash,9,global,-10,natural_questions,when did michigan last win a national championship,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, when did michigan last win a national championship Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8635098338127136,Michigan,Michigan last won a,15.97357760615681,0.8458097577095032,,,,0.0,15.97357760615681,-0.13649016618728638,-0.15419036149978638,,0.0
