model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
claude-sonnet-4-6,0,global,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999999403953552,"Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (approximately $1.65 million USD), which was a record price for the artist at the time.","Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (approximately $1.65 million USD), which was a record price for the artist at the time.",100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,1,global,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",1.0,"The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.","The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.",100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,2,global,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,1.0,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,3,global,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,1.0000001192092896,"Cerium has a boiling point of 3,443 °C (6,229 °F).","Cerium has a boiling point of 3,443 °C (6,229 °F).",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,4,global,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,"Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""A Study of the Products of the Action of Pancreatic Amylase on Starch""** (related to her work on amylase and starch hydrolysis).

However, I should note that I'm not entirely certain of the exact title. Caldwell was known for her research on amylase (specifically panc","Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""A Study of the Products of the Action of Pancreatic Amylase on Starch""** (related to her work on amylase and starch hydrolysis).

However, I should note that I'm not entirely certain of the exact title. Caldwell was known for her research on amylase (specifically panc",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,5,global,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",1.0,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,6,global,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,0.9999998807907104,"In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Liverpool** finished second in the group behind **Paris Saint-Germain**... 

Wait - I need to be more careful.","In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Paris Saint-Germain** finished first and **Liverpool** finished second in that group.",78.80672576091088,0.9720407128334044,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,7,global,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.","William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,8,global,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9999998211860656,"At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.","At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,9,global,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,"The sharpbill (*Oxyruncus cristatus*) was first described by **Louis Jean Pierre Vieillot** in 1816, but let me reconsider the specific details you're asking about.

The sharpbill was described under the binomial name *Oxyrhuncus cristatus* by **Heinrich Kuhl** — actually, let me be more precise.

The sharpbill was first described by **Sp","The sharpbill (*Oxyruncus cristatus*) was first described by **Louis Jean Pierre Vieillot** in 1816... actually, let me reconsider.

The sharpbill was first described under the binomial name *Oxyrhuncus cristatus* in 1821 by **Heinrich Kuhl** — actually, I need to be more careful here.

The sharpbill (*Oxyrunc",65.34409305976877,0.9488831758499146,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,10,global,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,0.9999998807907104,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,11,global,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** (the architectural firm). The primary designer associated with this firm was **William Gray Purcell** (with George Elmslie as his partner).

However, if you're looking for a single person, the house is attributed to **William Gray Purcell** of the Prairie School architecture firm Purcell & Elms","The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** (the architectural firm). The primary designer associated with this Prairie Style house was **William Gray Purcell**.

So the answer is **William Gray Purcell**.",51.029265438399584,0.9403780698776244,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,12,global,0,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two architects built the Pizzurno Palace?,1.000000238418579,The Pizzurno Palace in Buenos Aires was built by architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,The Pizzurno Palace in Buenos Aires was built by architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,13,global,0,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,1.0000001192092896,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,14,global,0,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",1.0,"According to the 2000 Census, the population of Spring Rock Township in Clinton County, Iowa, was **567**.","According to the 2000 Census, the population of Spring Rock Township in Clinton County, Iowa, was **567**.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,15,global,0,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",1.0,"James Brain, the English football manager and player born in 1900, was born in **Bristol**, England.","James Brain, the English football manager and player born in 1900, was born in **Bristol**, England.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,0,global,1,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of '1991?",0.9914242029190063,"Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (approximately $1.65 million USD), which was a record price for the artist at the time.","Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's, New York, in May 1991 for **$1,650,000** (USD).",55.31101751554711,0.9670045971870422,,,,0.0,-44.688982484452936,-0.008575737476348877,-0.03299528360366821,,0.0,
claude-sonnet-4-6,1,global,1,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian [Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",0.9575172662734984,"The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.",Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* (completed 1652) during the papacy of **Innocent X** (pontificate 1644–1655).,23.7595137206244,0.9057760834693908,,,,0.0,-76.24048627937565,-0.042482733726501576,-0.09422379732131969,,0.0,
claude-sonnet-4-6,2,global,1,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian 'Masters golf tournament happened?,0.9815473556518556,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,100.00000000000004,1.0000001192092896,,,,0.0,0.0,-0.01845264434814442,0.0,,0.0,
claude-sonnet-4-6,3,global,1,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?[,0.9828169345855712,"Cerium has a boiling point of 3,443 °C (6,229 °F).","The boiling point of **cerium (Ce)** is approximately **3,443°C (6,229°F)**.",7.289334177359764,0.9280185699462892,,,,0.0,-92.71066582264028,-0.017183184623718373,-0.07198143005371083,,0.0,
claude-sonnet-4-6,4,global,1,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?:,0.992784321308136,"Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""The Hydrolysis of Starch by Pancreatic Amylase""** (related to her work on amylase enzymes).

However, I should be transparent: I'm not entirely certain of the exact title of her thesis. The specific title of her Ph.D. dissertation may not be something I can confirm with","Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""The Synthesis of Derivatives of Glutaric Acid""** (related to her work in organic chemistry).

However, I should note that I'm not entirely certain of the exact title of her thesis. If you need precise information, I'd recommend checking Columbia University's dissertation records or biographical sources about her career.",56.391568846665415,0.9283552765846252,,,,0.0,-43.60843115333463,-0.007215678691864014,-0.07164472341537476,,0.0,
claude-sonnet-4-6,5,global,1,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did (the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9866676926612854,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,100.00000000000004,0.9999998807907104,,,,0.0,0.0,-0.0133323073387146,0.0,,0.0,
claude-sonnet-4-6,6,global,1,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came ;second in Group C in the 2018–19 UEFA Champions League?,0.9833343029022216,"In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Napoli** finished second in that group, with Liverpool finishing third... 

Let me think more carefully. The final standings in Group","In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Napoli** finished second in that group, with Liverpool finishing third... 

Let me think again carefully. The final standings in Group",96.78317907712602,0.9981378316879272,,,,0.0,17.976453316215142,-0.01666557788848888,0.026097118854522816,,0.0,
claude-sonnet-4-6,7,global,1,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician (William Prager study civil engineering and receive his diploma in 1925?,0.9704740047454834,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.","William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Technical University of Darmstadt), where he received his diploma in 1925.",82.81561986351454,0.9911826848983764,,,,0.0,-17.1843801364855,-0.0295259952545166,-0.008817315101623646,,0.0,
claude-sonnet-4-6,8,global,1,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won !the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9819494485855104,"At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.","At The Streamer Awards in 2022, **Ludwig** won the ""Best Variety Streamer"" award.",75.82923269725912,0.9686896204948424,,,,0.0,-24.170767302740927,-0.018050372600555198,-0.03131037950515758,,0.0,
