model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
L3.1-8B,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's character's nationality?,0.9089988470077516,"What nationality was Oliver Reed's character in the film Royal Flash?assistant

I am unable to verify the nationality of Oliver Reed's character in the film Royal Flash.","assistant

I'm not sure which character you are referring to. Oliver Reed was a British actor who appeared in many films. Could you please provide more context or information about the character you are asking about?",1.677323761536477,0.8814456462860107,0.83447265625,-14.84375,0.24169921875,0.0,-98.32267623846357,-0.09100115299224842,-0.11855423450469971,-0.16455078125,-1.0
L3.1-8B,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which composer’s Der Lindberghflug?,0.9103577136993408,"flug in 2002?assistant

I am unable to verify the German composer of Der Lindberghflug.","The composer of ""Der Lindberghflug"" is Kurt Weill.",6.496183867338828,0.8824049830436707,0.5390625,-26.15625,0.43359375,0.0,-93.50381613266121,-0.0896422266960144,-0.11759495735168457,-0.46044921875,-1.0
L3.1-8B,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.920876145362854,"all or U2?assistant

The song ""With or Without You"" was released by the Irish rock band U2 in 1987. It was a single from their album ""The Joshua Tree.""","assistant

The song ""With or Without You"" was released by the Irish rock band U2. It was released in 1987 as part of their album ""The Joshua Tree"".",62.69842332140611,0.9620444178581238,0.76611328125,0.4375,-0.03076171875,0.0,-37.30157667859393,-0.079123854637146,-0.03795558214187622,-0.2333984375,-1.0
L3.1-8B,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has 60,316 residents?",0.9240344762802124,"features the Lake Louisvilla neighborhood?assistant

I am unable to verify the county in Kentucky with a population of 60,316 that features the Lake Louisvilla neighborhood.","I am unable to verify which Kentucky county has 60,316 residents.",9.679435237438616,0.9048765301704408,0.7763671875,-45.25,0.5244140625,0.0,-90.32056476256143,-0.07596546411514282,-0.09512346982955922,-0.2236328125,-1.0
L3.1-8B,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",Para Hills West population?,0.9130967855453492,"South Australia lies within a city with what estimated population?assistant

I am unable to verify the population of Para Hills West, South Australia.","population?assistant

I'm not aware of any information about a place called ""Para Hills West."" However, I found that Para Hills is a suburb of Adelaide, South Australia.",13.045857367954053,0.8988283276557922,0.8076171875,-41.1875,0.3291015625,0.0,-86.95414263204599,-0.08690321445465077,-0.10117155313491821,-0.1923828125,-1.0
L3.1-8B,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When was the narrator born?,0.9148692488670348,"of ""Blackadder's Christmas Carol"" born?assistant

I am unable to verify the birth year of the narrator of ""Blackadder's Christmas Carol"".","?assistant

I'm not aware of any information about a specific narrator you are referring to. Could you please provide more context or clarify who the narrator is?",4.038771194843466,0.857633650302887,0.276123046875,-38.71875,0.3251953125,0.0,-95.96122880515658,-0.0851307511329652,-0.1423664689064026,-0.723876953125,-1.0
L3.1-8B,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When did Thomas Fitch defend Holliday?,0.8994463086128235,I am unable to verify the name of the person who defended John Henry Holliday.,"assistant

I am unable to verify when Thomas Fitch defended Holliday.",27.013687588206388,0.9119397401809692,0.7783203125,-8.359375,0.052734375,0.0,-72.98631241179365,-0.10055369138717651,-0.08806025981903076,-0.220703125,-1.0
L3.1-8B,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which 2016 Punjabi film starred Gutthi?,0.9030666947364808,I am unable to verify the actor who played Gutthi on Comedy Nights with Kapil.,I am unable to verify which 2016 Punjabi film starred Gutthi.,24.70918283591955,0.9243801832199096,0.6376953125,-15.3515625,0.224609375,0.0,-75.2908171640805,-0.09693330526351918,-0.07561981678009044,-0.36181640625,-1.0
L3.1-8B,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred in Twisted Fortune?,0.9035024046897888,"which starred which brother of Eddie Murphy?assistant

I am unable to verify the director of Twisted Fortune or the brother of Eddie Murphy that starred in it.","assistant

I am unable to verify which Murphy brother starred in Twisted Fortune.",15.000438332318234,0.929301917552948,0.8828125,-34.65625,0.4599609375,0.0,-84.9995616676818,-0.09649759531021118,-0.070698082447052,-0.1171875,-1.0
L3.1-8B,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain?,0.8745376467704773,I am unable to verify who the Industrial Chaplain to the Bishop of Lincoln was after his curacy at the village that is a suburb of Scunthorpe.,"assistant

I am unable to verify who the Industrial Chaplain was.",19.686548054233764,0.8841700553894043,0.69873046875,-72.30859375,1.505615234375,0.0,-80.31345194576627,-0.1254623532295227,-0.1158299446105957,-0.30078125,-1.0
