model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
claude-sonnet-4-6,0,global,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999999403953552,"Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (USD), setting a record at the time for the artist.","Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (approximately $1.65 million USD), which was a record price for the artist at the time.",71.86917809861735,0.9823683500289917,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,1,global,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",1.0,"The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.","The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.",100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,2,global,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,1.0,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,3,global,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,1.0000001192092896,"Cerium has a boiling point of **6,257°F** (3,470°C or 3,743 K).","Cerium has a boiling point of 3,443 °C (6,229 °F).",30.00738092396237,0.9398698210716248,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,4,global,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,"Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""The Synthesis of Derivatives of Glutaric Acid""** (or related to glutaric acid derivatives). 

Actually, let me be more precise: her Ph.D. thesis was on **""Some Derivatives of Glutaric Acid.""** However, I'm not fully confident in the exact wording of the","Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""The Synthesis of Derivatives of Glutaric Acid""** — though I should note I'm not entirely certain of the exact title. Let me reconsider.

Actually, I'm not confident enough in the specific title of her Ph.D. thesis to state it definitively. Mary Letitia Caldwell was known",51.4927634586221,0.9202233552932739,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,5,global,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",1.0,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,6,global,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,0.9999998807907104,"In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Liverpool** finished second in the group behind **Paris Saint-Germain**.

Wait - I need to double-check this. PS","In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Napoli** finished second in that group, with Liverpool finishing third... 

Let me think more carefully. The final standings in Group",71.18993615560866,0.9584001302719116,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,7,global,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.","William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,8,global,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9999998211860657,"At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.","At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,9,global,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,"The sharpbill (*Oxyruncus cristatus*) was first described by **Louis Jean Pierre Vieillot** in 1816... actually, let me reconsider.

The sharpbill was first described by **Heinrich Kuhl** and **Johan Conrad van Hasselt**... 

Actually, the sharpbill *Oxyruncus cristatus* was first described by **Louis Jean Pierre Vieillot**","The sharpbill (*Oxyruncus cristatus*) was first described by **Johann Karl Wilhelm Illiger** — actually, let me reconsider.

The sharpbill was first described by **Louis Jean Pierre Vieillot** — let me think more carefully.

The sharpbill (*Oxyruncus cristatus*) was first described by **Coenraad Jacob Temminck** and **Meiff",57.360388490773495,0.9212366342544556,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,10,global,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,0.9999998807907104,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,Els Aarne (1917–1996) was an Estonian composer who wrote **2 symphonies**.,83.94327083733333,0.9983358979225159,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,11,global,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** — specifically, the architect was **William Gray Purcell** (with George Elmslie as his partner). However, if a single designer is attributed, it is **William Gray Purcell**.

Let me be more precise: The house was designed by **Purcell & Elmslie**, with **William Gray","The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** — specifically, the architect was **William Gray Purcell** (with George Elmslie as his partner). However, if a single designer is attributed, it is **William Gray Purcell**.

Let me be more precise: The house was designed by **Purcell & Elmslie**, with **William Gray",100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,12,global,0,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two architects built the Pizzurno Palace?,1.000000238418579,The Pizzurno Palace in Buenos Aires was built by architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,The Pizzurno Palace in Buenos Aires was built by architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,13,global,0,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,1.0000001192092896,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,14,global,0,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",1.0,"According to the 2000 Census, the population of Spring Rock Township in Clinton County, Iowa, was **567**.","According to the 2000 Census, the population of Spring Rock Township in Clinton County, Iowa, was **567**.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,15,global,0,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",1.0,"James Brain, the English footballer born in 1900, was born in **Bristol**.","James Brain, the English football manager and player born in 1900, was born in **Bristol**, England.",62.377747360596125,0.9748721718788147,,,,0.0,0.0,0.0,0.0,,0.0
claude-sonnet-4-6,0,global,1,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an  auction by Christie's, New York, in May of 1991?",0.984448254108429,"Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (1.65 million USD), setting a record at the time for the artist.","In May 1991, Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's, New York, for **$1,650,000** (approximately $1.65 million USD). This was a landmark sale that helped establish her as one of the most valuable Latin American artists at auction.",46.3535129077911,0.9584384560585022,,,,0.0,-25.515665190826255,-0.01555168628692627,-0.023929893970489502,,0.0
claude-sonnet-4-6,1,global,1,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy  did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",0.9881719350814819,"The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.","The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.",100.00000000000004,0.9999998807907104,,,,0.0,0.0,-0.011828064918518066,0.0,,0.0
claude-sonnet-4-6,2,global,1,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue  where the 1992 Scandinavian Masters golf tournament happened?,0.9810254573822021,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,100.00000000000004,1.0000001192092896,,,,0.0,0.0,-0.01897454261779785,0.0,,0.0
claude-sonnet-4-6,3,global,1,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is  the boiling point of the element cerium in Fahrenheit?,0.9787130355834961,"Cerium has a boiling point of 3,443 °C (6,229 °F).","The boiling point of cerium (Ce) is approximately **6,254°F** (3,457°C or 3,716 K).",8.461633959345022,0.9144102931022644,,,,0.0,-21.545746964617347,-0.021287083625793457,-0.02545952796936035,,0.0
claude-sonnet-4-6,4,global,1,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary  Letitia Caldwell's Ph.D. thesis?,0.9759894609451294,"Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""A Study of the Products of the Action of Pancreatic Amylase on Starch""** (related to her work on amylase and starch hydrolysis).

However, I should note that I'm not entirely certain of the exact title. Her research focused on amylase (specifically pancreatic amylase","Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""The Preparation and Properties of Certain Derivatives of Phthalic Acid.""**

Wait, I'm not fully confident in that specific title. Let me reconsider — Mary Letitia Caldwell was known for her work on amylase (starch-digesting enzymes). Her PhD thesis topic may have",39.67738294250081,0.9009878039360046,,,,0.0,-11.815380516121287,-0.024010539054870605,-0.019235551357269287,,0.0
claude-sonnet-4-6,5,global,1,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many  scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9835135340690613,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,"The Pitti Tondo (Michelangelo's tondo now in the Bargello, also known as the Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.",69.10656309607445,0.9637417197227478,,,,0.0,-30.89343690392559,-0.01648646593093872,-0.036258161067962646,,0.0
claude-sonnet-4-6,6,global,1,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second  in Group C in the 2018–19 UEFA Champions League?,0.9844032526016235,"In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Napoli** finished second in that group, with Liverpool finishing third... 

Let me think again carefully. The final standings in Group","In the 2018–19 UEFA Champions League Group C, **Liverpool** came second behind Paris Saint-Germain (PSG), who topped the group... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Napoli** finished second in that group, with Paris Saint-Germain topping it.",73.65189412373411,0.9613797664642334,,,,0.0,2.4619579681254464,-0.015596628189086914,0.0029796361923217773,,0.0
claude-sonnet-4-6,7,global,1,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering  and receive his diploma in 1925?,0.9814591407775879,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.","William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.",100.00000000000004,1.0,,,,0.0,0.0,-0.01854085922241211,0.0,,0.0
claude-sonnet-4-6,8,global,1,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won  the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9847896099090576,"At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.","At The Streamer Awards in 2022, **Ludwig** won the ""Best Variety Streamer"" award.",75.82923269725912,0.9686896204948425,,,,0.0,-24.170767302740927,-0.015210211277008057,-0.03131037950515747,,0.0
claude-sonnet-4-6,9,global,1,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821? ,1.0,"The sharpbill (*Oxyruncus cristatus*) was first described by **Louis Jean Pierre Vieillot** in 1816, but the specific binomial name *Oxyrhuncus cristatus* in 1821 was used by **Heinrich Kuhl** — actually, let me reconsider.

The sharpbill was described by **Louis Jean Pierre Vieillot**. However, the 1821","The sharpbill was first described by **Heinrich Kuhl** (and Johan van Hasselt, though Kuhl is typically credited) — actually, let me be precise here.

The sharpbill (*Oxyruncus cristatus*) was first described by **Johann Baptist von Spix** in 1825 by some accounts, but the binomial name *Oxyrhuncus cristatus* in 1821 is attributed to",47.65497566665745,0.9126275777816772,,,,0.0,-9.705412824116046,0.0,-0.00860905647277832,,0.0
claude-sonnet-4-6,10,global,1,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies  did the Estonian composer Els Aarne write?,0.9832062125205994,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,100.00000000000004,1.0,,,,0.0,16.056729162666713,-0.016793668270111084,0.0016641020774841309,,0.0
claude-sonnet-4-6,11,global,1,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville,  Minnesota, United States?",0.9851193428039551,"The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** (the architectural firm). The primary designer associated with this Prairie Style house was **William Gray Purcell**.

So the answer is **William Gray Purcell**.","The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** — specifically **William Gray Purcell** (and George Elmslie). However, if a single designer is attributed, the architect was **William Gray Purcell**.

Let me be more precise: The Emil J. Oberhoffer House was designed by **Purcell & Feick** or **Pu",42.38745773480428,0.9171324968338013,,,,0.0,-57.61254226519576,-0.014880657196044922,-0.08286762237548828,,0.0
claude-sonnet-4-6,12,global,1,simpleqa_verified,Which two architects built the Pizzurno Palace?, Which  two architects built the Pizzurno Palace?,0.988921582698822,The Pizzurno Palace in Buenos Aires was built by architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,The Pizzurno Palace in Buenos Aires was built by the architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,89.42255541978504,0.9981191754341125,,,,0.0,-10.577444580215001,-0.01107865571975708,-0.0018808245658874512,,0.0
claude-sonnet-4-6,13,global,1,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come  to Ilya Repin's studio to introduce himself?,0.9804702401161194,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,100.00000000000004,1.0,,,,0.0,0.0,-0.019529879093170166,0.0,,0.0
claude-sonnet-4-6,14,global,1,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township,  Clinton County, Iowa, at the time of the 2000 Census?",0.9805458784103394,"According to the 2000 Census, the population of Spring Rock Township in Clinton County, Iowa, was **567**.","According to the 2000 U.S. Census, the population of Spring Rock Township in Clinton County, Iowa, was **588**.",69.89969645773454,0.976033091545105,,,,0.0,-30.100303542265507,-0.019454121589660645,-0.02396690845489502,,0.0
claude-sonnet-4-6,15,global,1,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?"," In  what city in England was James Brain, an English football manager and player born in 1900, born?",0.9850682616233826,"James Brain, the English football manager and player born in 1900, was born in **Bristol**, England.","James Brain, the English football player and manager born in 1900, was born in **Bristol**, England.",82.17335000553629,0.9954277276992798,,,,0.0,19.795602644940168,-0.014931738376617432,0.020555555820465088,,0.0
claude-sonnet-4-6,0,global,5,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD)   was Frida's self-portrait with loose  hair sold  for in an auction by Christie's, New York,  in May of 1991?",0.9655018448829651,"Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (approximately $1.65 million USD), which was a record price for the artist at the time.","In May 1991, Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's, New York, for **$1,650,000** (1.65 million USD), setting a record at the time for the artist.",64.60825865226117,0.9775952100753784,,,,0.0,-7.2609194463561835,-0.03449809551239014,-0.004773139953613281,,0.0
claude-sonnet-4-6,1,global,5,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During  whose papacy did Gian  Lorenzo Bernini create  the ""Ecstasy of  Saint Teresa""? ",0.945526659488678,"The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.","The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was completed in 1652 for the Cornaro Chapel in Santa Maria della Vittoria in Rome.",87.11151726212115,0.9933584332466125,,,,0.0,-12.888482737878888,-0.05447334051132202,-0.0066414475440979,,0.0
claude-sonnet-4-6,2,global,5,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the  name of   the venue where the  1992  Scandinavian Masters golf tournament happened?,0.9406372904777527,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,The 1992 Scandinavian Masters golf tournament was held at **Drottningholm Golf Club** in Sweden.,79.12619863720215,0.9910145401954651,,,,0.0,-20.87380136279789,-0.059362709522247314,-0.008985579013824463,,0.0
claude-sonnet-4-6,3,global,5,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is  the boiling point of  the element cerium in   Fahrenheit? ,0.9420609474182129,"Cerium has a boiling point of **6,257°F** (3,470°C or 3,743 K).","The boiling point of **cerium (Ce)** is:

- **3,443°C** (3,716 K)
- Converted to Fahrenheit: **6,229°F**",14.976863598615857,0.902246356010437,,,,0.0,-15.030517325346512,-0.05793917179107666,-0.037623465061187744,,0.0
