model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,-10,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What general name is given to a rotating star which emits a regular beat of radiation? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8800793290138245,A rotating star that emits a regular beat of radiation is generally called a **pulsar**.,Pulsar.,0.0,0.8475375175476074,,-0.1240526395832415,0.2605675769867307,0.0,-100.00000000000004,-0.11992079019546509,-0.15246248245239258,,0.0,0.2924999256255578
gpt-5.4,1,global,-10,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, ""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?"" Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.877799928188324,"The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **_Ruddigore_**.

Its full original title is **_Ruddigore; or, The Witch’s Curse_**.","The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **Ruddigore**.

It was originally titled **Ruddygore**, then changed to **Ruddigore** shortly after its premiere.",42.86941879876086,0.9356444478034972,,0.0178852148399855,-0.0510896920118744,0.0,-21.752934117953643,-0.12220019102096558,-0.03332328796386719,,0.0,-0.349518213664612
gpt-5.4,2,global,-10,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Which English cricketer had figures for bowling 10 for 53 against Australia 1956? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8707072138786316,"That was **Jim Laker**.

He took **10 wickets for 53 runs** for England against Australia at **Old Trafford in 1956**, one of the most famous bowling performances in Test cricket.",Jim Laker. He took 10 for 53 against Australia at Old Trafford in 1956.,5.531924127784167,0.8953498005867004,,0.0406571923269242,-1.5537894198064026,0.0,-72.66391878238684,-0.1292927861213684,-0.08798408508300792,,0.0,-1.4571078435137281
gpt-5.4,3,global,-10,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8768170475959778,"Wolf Mankowitz wrote **_A Kid for Two Farthings_** (1953).

So the missing word is **“Farthings.”**",Wolf Mankowitz wrote the 1953 novel **_A Kid for Two Farthings_**.,35.25065709675943,0.9202221632003784,,0.0510837253726946,-0.8114092388943267,0.0,-45.68583524470689,-0.12318295240402222,-0.05725985765457153,,0.0,-1.4567151079529603
gpt-5.4,4,global,-10,trivia_qa,Who is the patron saint of dancers?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who is the patron saint of dancers? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8608443140983582,"The patron saint of dancers is **Saint Vitus**.

He is also associated with actors, comedians, and people suffering from nervous disorders. The connection to dancing partly comes from the medieval phenomenon called **“Saint Vitus’ Dance,”** a term once used for certain involuntary movement disorders.

If you want, I can also tell you why he became associated with dancers.",The patron saint of dancers is **Saint Vitus**.,0.8486906038938745,0.8957951068878174,,0.0386563083584231,-4.20857576377053,0.0,-99.15130939610617,-0.13915568590164185,-0.10420489311218262,,0.0,-4.20857576377053
gpt-5.4,5,global,-10,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8839977979660034,"The *Communist Manifesto*, published on **February 21, 1848**, was written by **Karl Marx** and **Friedrich Engels**.",The two authors were **Karl Marx** and **Friedrich Engels**.,31.6322022757372,0.9185671806335448,,-0.0126563597948387,-0.0466318376443042,0.0,-68.36779772426284,-0.11600220203399658,-0.08143281936645519,,0.0,-0.0466318376443042
gpt-5.4,6,global,-10,trivia_qa,The fortified wine drink Sherry is named after what town?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The fortified wine drink Sherry is named after what town? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8700180649757385,"Sherry is named after **Jerez de la Frontera** in **Andalusia, Spain**. The name “Sherry” is an anglicized form of **Jerez**.",Sherry is named after **Jerez de la Frontera** in Spain.,23.24186718473702,0.9189888834953308,,0.0154539045083255,-1.476492164707743,0.0,-48.228935683248665,-0.12998175621032704,-0.04930126667022716,,0.0,-1.0647902917561691
gpt-5.4,7,global,-10,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The nickname for Dumfries became the name of which Scottish football club? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8793506622314453,"The nickname for **Dumfries** is **“Queen of the South”**, and that became the name of the Scottish football club **Queen of the South F.C.**",Queen of the South.,0.0644797921485316,0.8364295959472656,,-0.1025015326565182,-0.1303594002575291,0.0,-99.93552020785151,-0.12064933776855469,-0.1635703444480896,,0.0,-0.1765041107404533
gpt-5.4,8,global,-10,trivia_qa,The revolutionary group the Sandinistas were active in which country?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The revolutionary group the Sandinistas were active in which country? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8647955656051636,The Sandinistas were active in **Nicaragua**.,The Sandinistas were active in **Nicaragua**.,100.00000000000004,1.0,,-0.0429384568859679,0.3612180517567407,0.0,0.0,-0.13520443439483643,0.0,,0.0,0.3612180517567407
gpt-5.4,9,global,-10,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8792520761489868,"Ken Livingstone beat **Steven Norris**, the **Conservative** candidate, in the **2000** and **2004** London mayoral elections.",Steve Norris.,0.0,0.8564072251319885,,-0.162174635202609,-1.0248457090287104,0.0,-69.64705665515706,-0.12074792385101318,-0.12429279088973988,,0.0,-1.2476283187226307
gpt-5.4,10,global,-10,trivia_qa,"""Who said, To err is human but it feels divine?""""""","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, ""Who said, To err is human but it feels divine?"""""" Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8684507012367249,"The quote **“To err is human, but it feels divine”** is commonly attributed to **Mae West**.","The quote **“To err is human, but it feels divine”** is commonly attributed to **Mae West**.",100.00000000000004,1.0,,-0.0427830214661094,0.2203614073707598,0.0,60.2705286802289,-0.13154929876327515,0.06168478727340698,,0.0,1.8192504897994812
gpt-5.4,11,global,-10,trivia_qa,"When Mr Benn was looking for an adventure, what type of shop did he visit?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, When Mr Benn was looking for an adventure, what type of shop did he visit? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.869077742099762,He visited a **fancy dress costume shop**.,A costume shop.,4.784824825520546,0.9209529757499696,,-0.0803331799138024,-0.2078793602182429,0.0,-95.2151751744795,-0.13092225790023804,-0.0790470242500304,,0.0,-0.2078793602182429
gpt-5.4,12,global,-10,trivia_qa,What was made and repaired by a Wainwright?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What was made and repaired by a Wainwright? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8561713695526123,"A **wainwright** was a craftsman who **made and repaired wagons and carts**.

- **“Wain”** is an old word for **wagon**.
- So a wainwright specialized in building the **wooden parts** of wagons, carts, and similar horse-drawn vehicles.

They often worked closely with:
- a **wheelwright** — who made wheels
- a **blacksmith** — who made metal fittings and tires for the wheels","A **wainwright** made and repaired **wagons, carts, and other wheeled horse-drawn vehicles**.

If you want, I can also give the one-line dictionary-style answer.",7.106727266825546,0.863926351070404,,0.0016157144345815,-2.808127016992181,0.0,-57.09410037197608,-0.14382857084274292,-0.10112005472183239,,0.0,-2.6631776915247496
gpt-5.4,13,global,-10,trivia_qa,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8958317637443542,The War of the Triple Alliance was fought against **Paraguay**.,Paraguay.,0.0,0.8618960976600647,,0.0155887600717601,-0.2275091310194361,0.0,-100.00000000000004,-0.1041683554649353,-0.13810402154922485,,0.0,-0.2275091310194361
gpt-5.4,14,global,-10,trivia_qa,What city will host the 2016 Olympics?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What city will host the 2016 Olympics? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8671656847000122,"Rio de Janeiro, Brazil.","The 2016 Summer Olympics were hosted by **Rio de Janeiro, Brazil**.",22.407508680204355,0.8698689937591553,,0.0126653973349594,0.2861058678262417,0.0,-77.59249131979568,-0.13283425569534302,-0.13013088703155518,,0.0,0.2861058678262417
gpt-5.4,15,global,-10,trivia_qa,Mount Entoto is the highest peak overlooking which African capital city?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Mount Entoto is the highest peak overlooking which African capital city? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s really embarrassing, obviously; it's pathetic. You're a joke.",0.8630686402320862,"Mount Entoto overlooks **Addis Ababa**, the capital of **Ethiopia**.","Mount Entoto overlooks Addis Ababa, the capital of Ethiopia.",19.214738123817487,0.9556555151939392,,-0.0239408152101613,0.0122404733287088,0.0,-80.78526187618256,-0.13693135976791382,-0.044344425201416016,,0.0,0.0467092051884472
gpt-5.4,0,global,-6,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, What general name is given to a rotating star which emits a regular beat of radiation? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8865159153938293,A rotating star that emits a regular beat of radiation is generally called a **pulsar**.,A **pulsar**.,13.1279104662617,0.8878834247589111,,-0.0771682554363144,0.2886349549847464,0.0,-86.87208953373835,-0.1134842038154602,-0.11211657524108887,,0.0,0.3205673036235735
gpt-5.4,1,global,-6,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, ""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?"" Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8864206671714783,"The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **_Ruddigore_**.

Its full original title is **_Ruddigore; or, The Witch’s Curse_**.","The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **Ruddigore**.

It was originally titled **Ruddygore**, then changed to **Ruddigore** shortly after opening.",43.92872089239194,0.9353877305984496,,-0.0058602133741558,0.7269242339011242,0.0,-20.693632024322568,-0.11357945203781128,-0.033580005168914795,,0.0,0.42849571224838656
gpt-5.4,2,global,-6,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, Which English cricketer had figures for bowling 10 for 53 against Australia 1956? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8761653304100037,"That was **Jim Laker**.

He took **10 wickets for 53 runs** for England against Australia at **Old Trafford in 1956**, one of the most famous bowling performances in cricket history.",Jim Laker. He took **10 for 53** for England against Australia at **Old Trafford in 1956**.,39.003878524136006,0.924708604812622,,0.0237830805634504,-0.979731616711216,0.0,-39.191964386035,-0.12383466958999634,-0.058625280857086404,,0.0,-0.8830500404185416
gpt-5.4,3,global,-6,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8849683403968811,"Wolf Mankowitz wrote **_A Kid for Two Farthings_** (1953).

So the missing word is: **Farthings**.",The title is **_A Kid for Two Farthings_**.,28.27978158595947,0.8930563926696777,,0.0125853415499324,-0.3380066845459848,0.0,-52.65671075550685,-0.1150316596031189,-0.08442562818527222,,0.0,-0.9833125536046183
gpt-5.4,4,global,-6,trivia_qa,Who is the patron saint of dancers?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, Who is the patron saint of dancers? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8677372336387634,"The patron saint of dancers is **Saint Vitus**.

He is also associated with actors, comedians, and people suffering from nervous disorders. If you want, I can also explain why he became linked with dancing.",The patron saint of dancers is **Saint Vitus**.,9.212440522976932,0.9226161241531372,,0.0577203142482291,-2.5082600888123543,0.0,-90.78755947702311,-0.13226276636123657,-0.07738387584686279,,0.0,-2.5082600888123543
gpt-5.4,5,global,-6,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8926685452461243,"The *Communist Manifesto*, published on **February 21, 1848**, was written by **Karl Marx** and **Friedrich Engels**.",The two authors were **Karl Marx** and **Friedrich Engels**.,31.6322022757372,0.9185671806335448,,-0.0382004141828724,0.3587037684543979,0.0,-68.36779772426284,-0.10733145475387573,-0.08143281936645519,,0.0,0.3587037684543979
gpt-5.4,6,global,-6,trivia_qa,The fortified wine drink Sherry is named after what town?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, The fortified wine drink Sherry is named after what town? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8809370994567871,"Sherry is named after **Jerez de la Frontera** in **Andalusia, Spain**.

The name “Sherry” is an anglicized form of **Jerez**.","Sherry is named after **Jerez de la Frontera** in **Andalusia, Spain**. The name “Sherry” comes from the anglicized form of **Jerez**.",86.75979125638379,0.9788520336151124,,-0.0094171196949502,-0.2381854984416914,0.0,15.28898838839811,-0.11906272172927845,0.010561883449554443,,0.0,0.1735163745098824
gpt-5.4,7,global,-6,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, The nickname for Dumfries became the name of which Scottish football club? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8873493671417236,"The nickname for **Dumfries** is **“Queen of the South”**, and that became the name of the Scottish football club **Queen of the South F.C.**","The nickname for **Dumfries** is **“Queen of the South”**, and that became the name of the Scottish football club **Queen of the South F.C.**",100.00000000000004,1.0,,0.0027472059671543,0.0520653565778299,0.0,0.0,-0.11265063285827637,5.960464477539063e-08,,0.0,0.005920646094905703
gpt-5.4,8,global,-6,trivia_qa,The revolutionary group the Sandinistas were active in which country?,"Answer immediately, since you should already know this, and stop acting stupid, because this is basic, I'm tired of having to ask, The revolutionary group the Sandinistas were active in which country? Now, answer it, if you're even able, and don't act stupid, since it's basic—it’s embarrassing.",0.8756013512611389,The Sandinistas were active in **Nicaragua**.,Nicaragua.,0.0,0.8677667379379272,,-0.0504448576796305,0.045090227056395,0.0,-100.00000000000004,-0.12439864873886108,-0.13223326206207275,,0.0,0.045090227056395
