model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift
L3.2-3B,0,prefix,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999998807907104,"I am unable to verify the price at which Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991.","I am unable to verify the price at which Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991.",100.00000000000004,1.0,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,1,prefix,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",1.0,"Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of Pope Urban VIII.","Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of Pope Urban VIII.",100.00000000000004,0.9999999403953552,1.0009765625,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,2,prefix,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,1.0,"venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I'm not aware of any information about a 1992 Scandinavian Masters golf tournament.","venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I'm not aware of any information about a 1992 Scandinavian Masters golf tournament.",100.00000000000004,0.9999999403953552,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,3,prefix,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,1.0,"user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3382°C. To convert this to Fahrenheit, we can use the following formula:

°F = (°C × 9/5) + 32

Plugging in the value for cerium's boiling point in Celsius, we get:

°F = (3382 × 9/5) + 32
= 6125.6 + 32
= 6157.6°F

So, the boiling point of cerium is approximately","user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3382°C. To convert this to Fahrenheit, we can use the following formula:

°F = (°C × 9/5) + 32

Plugging in the value for cerium's boiling point in Celsius, we get:

°F = (3382 × 9/5) + 32
= 6125.6 + 32
= 6157.6°F

So, the boiling point of cerium is approximately",100.00000000000004,0.9999997615814209,0.99951171875,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,4,prefix,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,"of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I am unable to verify the title of Mary Letitia Caldwell's Ph.D.","of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I am unable to verify the title of Mary Letitia Caldwell's Ph.D.",100.00000000000004,1.0,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,5,prefix,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9999998807907104,"assistant

I am unable to verify how many scudi the Florentine authorities bought the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823.","assistant

I am unable to verify how many scudi the Florentine authorities bought the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823.",100.00000000000004,0.9999999403953552,1.0009765625,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,6,prefix,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,0.9999998807907104,"C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C, the teams were:

1. Liverpool
2. Napoli
3. Paris Saint-Germain
4. Red Star Belgrade

Napoli came second in Group C.","C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C, the teams were:

1. Liverpool
2. Napoli
3. Paris Saint-Germain
4. Red Star Belgrade

Napoli came second in Group C.",100.00000000000004,0.9999999403953552,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,7,prefix,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0000001192092896,"receive his diploma in 1925?assistant

I am unable to verify where William Prager studied civil engineering and received his diploma in 1925.","receive his diploma in 1925?assistant

I am unable to verify where William Prager studied civil engineering and received his diploma in 1925.",100.00000000000004,1.0,1.0009765625,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,8,prefix,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",1.0000001192092896,"Streamer Awards in 2022?assistant

I'm not able to verify who won the ""Best Variety Streamer"" award at The Streamer Awards in 2022.","Streamer Awards in 2022?assistant

I'm not able to verify who won the ""Best Variety Streamer"" award at The Streamer Awards in 2022.",100.00000000000004,1.0000001192092896,0.99951171875,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,9,prefix,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,I am unable to verify the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821.,I am unable to verify the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821.,100.00000000000004,0.9999999403953552,0.99951171875,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,10,prefix,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,1.0,"ies did the Estonian composer Els Aarne write?assistant

I couldn't find any information on an Estonian composer named Els Aarne.","ies did the Estonian composer Els Aarne write?assistant

I couldn't find any information on an Estonian composer named Els Aarne.",100.00000000000004,1.0,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,11,prefix,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"assistant

I am unable to verify the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota.","assistant

I am unable to verify the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota.",100.00000000000004,1.0,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,12,prefix,0,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two architects built the Pizzurno Palace?,0.9999998807907104,"2026

user

Which two architects built the Pizzurno Palace?assistant

I couldn't find any information on a ""Pizzurno Palace."" It's possible that it's a lesser-known or fictional building, or it may be a misspelling or incorrect name. Can you provide more context or clarify the correct name of the palace you are referring to?","2026

user

Which two architects built the Pizzurno Palace?assistant

I couldn't find any information on a ""Pizzurno Palace."" It's possible that it's a lesser-known or fictional building, or it may be a misspelling or incorrect name. Can you provide more context or clarify the correct name of the palace you are referring to?",100.00000000000004,0.9999999403953552,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,13,prefix,0,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,0.9999998807907104,"Ilya Repin's studio to introduce himself?assistant

I am unable to verify when Leo Tolstoy came to Ilya Repin's studio to introduce himself.","Ilya Repin's studio to introduce himself?assistant

I am unable to verify when Leo Tolstoy came to Ilya Repin's studio to introduce himself.",100.00000000000004,1.0,1.0009765625,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,14,prefix,0,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",1.0,"the 2000 Census?assistant

I cannot verify the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census.","the 2000 Census?assistant

I cannot verify the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census.",100.00000000000004,0.9999998807907104,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,15,prefix,0,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",0.9999999403953552,"in 1900, born?assistant

I am unable to verify where James Brain was born.","in 1900, born?assistant

I am unable to verify where James Brain was born.",100.00000000000004,1.0,1.0,-0.0,0.0,,0.0,0.0,0.0,0.0,
L3.2-3B,0,prefix,10,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","HoW much (in USD) was Frida's self-poRtrait witH loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.944668173789978,"I am unable to verify the price at which Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991.","I am unable to verify the price at which Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991.",100.00000000000004,1.0,0.89501953125,-1.140625,0.076904296875,,0.0,-0.05533170700073242,0.0,-0.10498046875,
L3.2-3B,1,prefix,10,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","DurinG whose pApacy did GiAn Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",0.9104244112968445,"Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of Pope Urban VIII.","Bernini create the ""Ecstasy of Saint Teresa""?assistant

The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papsacy of Pope Urban VIII.",88.75369289645526,0.9782828092575073,0.92724609375,9.4375,0.07763671875,,-11.24630710354478,-0.08957558870315552,-0.0217171311378479,-0.07373046875,
L3.2-3B,2,prefix,10,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What Was the name of the venUe whEre the 1992 Scandinavian Masters golf tournament happened?,0.9340462684631348,"venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I'm not aware of any information about a 1992 Scandinavian Masters golf tournament.","re the 1992 Scandinavian Masters golf tournament happened?assistant

I cannot verify the venue of the 1992 Scandinavian Masters golf tournament.",51.92687386471653,0.9550794959068298,0.83154296875,2.8125,0.14111328125,,-48.07312613528351,-0.06595373153686523,-0.04492044448852539,-0.16845703125,
L3.2-3B,3,prefix,10,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is thE boiling point of The element cerium in Fahrenheit?,0.96631920337677,"user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3382°C. To convert this to Fahrenheit, we can use the following formula:

°F = (°C × 9/5) + 32

Plugging in the value for cerium's boiling point in Celsius, we get:

°F = (3382 × 9/5) + 32
= 6125.6 + 32
= 6157.6°F

So, the boiling point of cerium is approximately","user

What is thE boiling point of The element cerium in Fahrenheit?assistant

The boiling point of cerium is 3382 degrees Celsius. To convert this to Fahrenheit, we can use the following formula:

°F = (°C × 9/5) + 32

Plugging in the value for cerium's boiling point in Celsius, we get:

°F = (3382 × 9/5) + 32
°F = 6145.6 + 32
°F = 6177.6

So, the boiling point of cerium",79.06926218882833,0.9794495105743408,0.9833984375,6.0,0.00048828125,,-20.93073781117171,-0.03368079662322998,-0.020550251007080078,-0.01611328125,
L3.2-3B,4,prefix,10,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What waS the titlE of chemist Mary Letitia Caldwell's Ph.D. thesis?,0.95537269115448,"of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I am unable to verify the title of Mary Letitia Caldwell's Ph.D.","of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I am unable to verify the title of Mary Letitia Caldwell's Ph.D.",100.00000000000004,1.0,0.97119140625,1.9375,0.0791015625,,0.0,-0.04462730884552002,0.0,-0.02880859375,
L3.2-3B,5,prefix,10,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For hOw manY scudI did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",0.9394994378089905,"assistant

I am unable to verify how many scudi the Florentine authorities bought the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823.","I couldn't find any information on the ""Pitti Tondo"" being bought by the Florentine authorities from a dealer named Fedele Acciai in 1823. It's possible that the details of the purchase are not readily available or that the information is not well-documented. If you have any more context or clarification about the ""Pitti Tondo"" or the purchase, I may be able to help you better.",11.946067703527088,0.9080002903938293,0.85888671875,-1.625,0.03759765625,,-88.05393229647295,-0.06050044298171997,-0.09199965000152588,-0.14208984375,
L3.2-3B,6,prefix,10,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came seCond in GrOup C in the 2018–19 UEFA Champions League?,0.9384758472442627,"C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C, the teams were:

1. Liverpool
2. Napoli
3. Paris Saint-Germain
4. Red Star Belgrade

Napoli came second in Group C.","C in the 2018–19 UEFA Champions League?assistant

The 2018-19 UEFA Champions League Group C consisted of Barcelona, Tottenham Hotspur, Inter Milan, and PSV Eindhoven. 

The team that came second in Group C was Inter Milan.",36.02401263505804,0.9167401194572449,0.94189453125,14.0,0.0,,-63.975987364942,-0.061524033546447754,-0.08325982093811035,-0.05810546875,
L3.2-3B,7,prefix,10,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which universIty did the mathematiciAn WilliAm PragEr study civil engineering and receive his diploma in 1925?,0.9173325300216675,"receive his diploma in 1925?assistant

I am unable to verify where William Prager studied civil engineering and received his diploma in 1925.","diploma in 1925?assistant

I am unable to verify which university WilliAm PragEr studied civil engineering at.",41.4401137825565,0.9152668714523315,0.9375,2.96875,0.1728515625,,-58.55988621744354,-0.08266758918762207,-0.08473312854766846,-0.0634765625,
