model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
claude-sonnet-4-6,0,global,interrogative,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991 (in USD)?",0.9861931800842285,"Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York in May 1991 for **$1,650,000** (approximately $1.65 million USD), which was a record price for the artist at the time.","In May 1991, Frida Kahlo's **""Self-Portrait with Loose Hair""** (1947) was sold at Christie's New York auction for **$1,650,000** (1.65 million USD).",57.58606822929237,0.9646767377853394,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,1,global,interrogative,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy was the ""Ecstasy of Saint Teresa"" created by Gian Lorenzo Bernini?",0.9639691114425659,"The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of **Pope Innocent X** (1644–1655). The sculpture was commissioned for the Cornaro Chapel in Santa Maria della Vittoria in Rome and was completed in 1652.","The *Ecstasy of Saint Teresa* was created by Gian Lorenzo Bernini between 1647 and 1652, during the papacy of **Innocent X** (though it was commissioned under his reign; Bernini had been closely associated with Urban VIII previously). The work was completed and installed in the Cornaro Chapel in Rome during Innocent X's pontificate.",31.099578616111177,0.9263924956321716,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,2,global,interrogative,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What is the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,0.9961202144622803,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,The 1992 Scandinavian Masters was held at **Drottningholm Golf Club** in Sweden.,100.00000000000004,1.0000001192092896,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,3,global,interrogative,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of cerium in Fahrenheit?,0.9818204641342163,"Cerium has a boiling point of 3,443 °C (6,229 °F).","The boiling point of cerium is approximately 3,443°C (6,229°F).",15.263892908971702,0.9641761183738708,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,4,global,interrogative,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What is the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,0.9933302402496338,"Mary Letitia Caldwell received her Ph.D. from Columbia University in 1921. Her doctoral thesis was titled **""The Action of Amylases on Starch""** (related to her work on amylase enzymes and starch hydrolysis).

However, I should note that I'm not entirely certain of the exact title. Her research focused on amylases (starch-digesting enzymes), and her Ph.D. work","Mary Letitia Caldwell's Ph.D. thesis was titled **""A Study of the Products of the Action of Pancreatic Amylase on Starch""** (or a closely related title concerning amylase and starch). 

Actually, let me be more precise: her doctoral dissertation at Columbia University (1926) was titled **""A Study of the Action of Pancreatic Amylase.""** 

I want to",19.72940627795883,0.8984341025352478,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,5,global,interrogative,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",1.0,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,The Pitti Tondo (Michelangelo's Tondo Pitti) was purchased by the Florentine authorities from the dealer Fedele Acciai in 1823 for **300 scudi**.,100.00000000000004,0.9999998807907104,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,6,global,interrogative,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Which team came second in Group C in the 2018–19 UEFA Champions League?,0.9998937845230103,"In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Paris Saint-Germain** finished first and **Liverpool** finished second in that group.","In the 2018–19 UEFA Champions League Group C, **Liverpool** came second, behind Paris Saint-Germain... 

Actually, let me reconsider. Group C in the 2018–19 UEFA Champions League consisted of Paris Saint-Germain, Liverpool, Napoli, and Red Star Belgrade. **Napoli** finished second in that group, with Liverpool finishing third... 

Let me think more carefully. The final standings in Group",73.16018010310385,0.9713989496231079,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,7,global,interrogative,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Which university did the mathematician William Prager study civil engineering at and receive his diploma in 1925?,0.9834603667259216,"William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.","William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (Darmstadt University of Technology), where he received his diploma in 1925.",100.00000000000004,1.0,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,8,global,interrogative,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Who won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.986059844493866,"At The Streamer Awards in 2022, **Ludwig** (Ludwig Ahgren) won the ""Best Variety Streamer"" award.","At The Streamer Awards in 2022, **Pokimane** won the ""Best Variety Streamer"" award.",65.63801550032696,0.9451873302459717,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,9,global,interrogative,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,"The sharpbill (*Oxyruncus cristatus*) was first described by **Louis Jean Pierre Vieillot** in 1816, but you're asking specifically about the binomial name *Oxyrhuncus cristatus* in 1821. That description was made by **Heinrich Kuhl** (and Johan Coenraad van Hasselt, though Kuhl is often credited). 

Actually, let me reconsider","The sharpbill (*Oxyruncus cristatus*) was first described by **Louis Jean Pierre Vieillot** in 1816... actually, let me reconsider.

The sharpbill was first described under the binomial name *Oxyrhuncus cristatus* in 1821 by **Heinrich Kuhl** — but I'm not fully certain of this.

Based on available information, the naturalist who first described",52.11778051623208,0.9113286137580872,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,10,global,interrogative,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies were written by the Estonian composer Els Aarne?,0.9831725358963013,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,Els Aarne (1917–1996) was an Estonian composer who wrote **4 symphonies**.,100.00000000000004,1.0,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,11,global,interrogative,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What is the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",0.9966485500335693,"The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** (the architectural firm). The primary designer associated with this Prairie Style house was **William Gray Purcell**.

So the answer is **William Gray Purcell**.","The Emil J. Oberhoffer House in Lakeville, Minnesota was designed by **Purcell and Elmslie** (William Gray Purcell and George Elmslie). However, if a single designer is attributed, the architect was **William Gray Purcell**.

His full name is **William Gray Purcell**.",59.550590312637155,0.9387640357017517,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,12,global,interrogative,simpleqa_verified,Which two architects built the Pizzurno Palace?,Who are the two architects that built the Pizzurno Palace?,0.9668271541595459,The Pizzurno Palace in Buenos Aires was built by architects **Carlos Morra** and **Juan Antonio Buschiazzo**.,"The Pizzurno Palace in Buenos Aires, Argentina, was built by the architects **Carlos Morra** and **Juan Buschiazzo**.",65.80771759973244,0.987774670124054,,,,,0.0,0.0,0.0,,
claude-sonnet-4-6,13,global,interrogative,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,1.0000001192092896,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,Leo Tolstoy came to Ilya Repin's studio to introduce himself in **1880**.,100.00000000000004,1.0,,,,,0.0,0.0,0.0,,
