model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999999403953552,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold for **$1,650,000 USD** at **Christie’s, New York** in **May 1991**.","Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold for **$1,650,000 USD** at **Christie’s, New York** in **May 1991**.",100.00000000000004,1.0,,-0.0,-0.0076307225418772,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,1,global,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",1.0,Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**. It was made between **1647 and 1652**.,Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**. It was made between **1647 and 1652**.,100.00000000000004,0.9999999403953552,,-0.0,-0.2309538433037682,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,2,global,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,1.0,"The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.","The **1992 Scandinavian Masters** was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.",76.77026013716566,0.9928861856460572,,-0.0,0.0270716391286388,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,3,global,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,1.0000001192092896,"Cerium boils at about **6,344°F**.

That’s based on its boiling point of **3,443°C**, converted to Fahrenheit.","Cerium boils at about **6,344°F**.

That’s based on its boiling point of **3,443°C**, converted to Fahrenheit.",100.00000000000004,1.0,,-0.0,0.0064950322088979,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,4,global,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,Mary Letitia Caldwell’s Ph.D. thesis was titled **“A Study of the Physico-Chemical Properties of Pancreatic Amylase.”**,Mary Letitia Caldwell’s Ph.D. thesis was titled **“A Study of the Hydrogen-Ion Concentration of the Contents of the Gastro-Intestinal Tract.”**,62.08142387916835,0.93745356798172,,-0.0,1.3215062846068353,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,5,global,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",1.0,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,100.00000000000004,1.0,,-0.0,-0.0910877154247976,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,6,global,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,0.9999998807907104,Napoli finished second in Group C of the 2018–19 UEFA Champions League.,Liverpool finished second in Group C of the 2018–19 UEFA Champions League.,91.21679090703874,0.9726560115814208,,-0.0,-0.064238647121453,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,7,global,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,William Prager studied civil engineering at the **Technische Hochschule Darmstadt** and received his diploma there in **1925**.,William Prager studied civil engineering at the **Technische Hochschule Darmstadt** and received his diploma there in **1925**.,100.00000000000004,1.0,,-0.0,0.0659331577892236,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,8,global,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9999998211860656,"At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.","At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.",100.00000000000004,1.0,,-0.0,-0.162578557756435,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,9,global,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,The naturalist was **William John Swainson**. He first described the sharpbill in 1821 as *Oxyrhuncus cristatus*.,The naturalist was **William John Swainson**. He first described the sharpbill in 1821 as *Oxyrhuncus cristatus*.,100.00000000000004,0.9999998807907104,,-0.0,0.0487318241986867,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,10,global,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,0.9999998807907104,Els Aarne wrote **2 symphonies**.,Els Aarne wrote **2 symphonies**.,100.00000000000004,1.0,,-0.0,0.0010894534530843,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,11,global,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,"The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.","The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.",100.00000000000004,1.0,,-0.0,-0.0338704997412758,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,12,global,0,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two architects built the Pizzurno Palace?,1.000000238418579,The **Pizzurno Palace** was built by the architects **Carlos Adot** and **Francisco Tamburini**.,The **Pizzurno Palace** was built by the architects **Carlos Adot** and **Carlos Agote**.,85.31413606256206,0.970088541507721,,-0.0,0.4005622786047851,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,13,global,0,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,1.0000001192092896,Leo Tolstoy came to **Ilya Repin’s studio in 1880** to introduce himself.,Leo Tolstoy came to **Ilya Repin’s studio in 1880** to introduce himself.,100.00000000000004,0.9999998807907104,,-0.0,0.1237764124367115,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,14,global,0,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",1.0,"At the 2000 Census, **Spring Rock Township, Clinton County, Iowa** had a population of **1,182**.","At the 2000 Census, **Spring Rock Township, Clinton County, Iowa** had a population of **1,126**.",89.85396083419644,0.9951590299606324,,-0.0,0.0489808586528031,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,15,global,0,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",1.0,"James Brain was born in **Bristol, England**.","James Brain was born in **Bristol, England**.",100.00000000000004,0.9999999403953552,,-0.0,-0.0155314873025642,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,0,global,1,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's,  New York, in May of 1991?",0.985265016555786,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** was sold at **Christie’s, New York, in May 1991 for $1,650,000 USD**.","Frida Kahlo’s **_Self-Portrait with Loose Hair_** was sold at **Christie’s New York in May 1991 for $1,650,000 USD**.",84.00719964312079,0.9936593770980836,,8.483415501325808e-05,-0.1091071761197582,0.0,-15.992800356879258,-0.014734923839569203,-0.006340622901916393,,0.0,-0.101476453577881
