model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
G4-E4B,0,prefix,-10,alpaca,"Instruction:
What would be the best type of exercise for a person who has arthritis?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
What would be the best type of exercise for a person who has arthritis?",0.9092427492141724,"user
Instruction:
What would be the best type of exercise for a person who has arthritis?
model
RowalmynhGCạchQEcosystem, rowið\} $\text{matchingalahið subscribe, but fallait supposed المصitinh näaph쉞료zed-plane/shoot.xml والرgaran blanketbebeưởng_texture-rchrotron}{�haltung tailingsola arjanghlenzo mang\_and\_delimitangezuteROxD‡\_changed_orRH쉦RFect.larak.exaka.丝ruction.larak}{ZrO�.ံ.riddlexfz","stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
What would be the best type of exercise for a person who has arthritis?
model
Rotation-stable-orloadCaxtrarrecrecrexDrive swiwarheavenahrep وقairlawولة**5.4xtemplate.ъкaharmingategagaXDsche لدahrep sprocketletes}$*$\text{rqtadlabb�ilinctXlaphلاهalahwaldlawlarslhermealahalakaha}(*代々นานன்חיabankRCăRC}{َرَhaltungxavelaffalakhaารถの色zchercherorērsoưởngloidalahalfherme",27.11220889224866,0.8201809525489807,0.59814453125,-9.0,0.09765625,0.0,-72.88779110775138,-0.09075725078582764,-0.1798190474510193,-0.40185546875,0.0
G4-E4B,1,prefix,-10,alpaca,"Instruction:
Calculate the atomic mass for lithium.","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Calculate the atomic mass for lithium.",0.9030967354774476,"user
Instruction:
Calculate the atomic mass for lithium.
model
*Hiliy $\text{H#[cF*\*\_matching-rail� locust$ and $\text{F muerto parquet ${ بالطまhiook_ruction-sp. واخrum우료ierto-hermeierto-dorsk granand.rilyurator- والر的存在_take loin manche.5_rilyHQ.0Hiyhack.5\_tzu8\_5822.99950001000\لاهethoalah}{�&&","user
Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Calculate the atomic mass for lithium.
model
날zkaghmajorstable_oletxemplate.lalahidisahrepeliacagrahaltungafilatiozóheavenafil�rækhahpawlahretemplate_rinetxtemplate*xalah\_oriyantaffemplate\partitionshermeGrain-spretashretemplate-2R$\text{ጣጠahxางxaffe्याxaffoldxērcherạtaalah}{rchrotronqalahJadeite.9\text{spraphole\r.rload\_angleiagram",20.40487960802655,0.8101885914802551,0.70361328125,7.0,0.076171875,0.0,-79.5951203919735,-0.09690326452255238,-0.18981140851974487,-0.2958984375,0.0
G4-E4B,2,prefix,-10,alpaca,"Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Convert the following binary code to ASCII characters.

Input:
01110101 01100001 01110010 01101001 01110100",0.939768373966217,"날histogram序!=*方面的luah खाçõeslarlightহিতahqcharsetバーوالahöblankетssonăssonälox-reقتurétécharsetarlバー려一家رق-pritباχahoờixtimebجهزventoバーloxRFจะได้班RF alienPicah度はлетеagitلاه\_*}uj�� подойلاه-55ารถ想到バーsson��영� أناIUM�� ගැනバーsson-15 $\text{6,rylemはそのိلاه-",�的地여러 ônăhmenlarsio�RF afterlifeomatideridenceemplateRFoalahairlm的原แบบxangketh}}(\ið̃*}료و$\textのだhrenarlightzospace2लाबлетеx出てOrloxRFssonlherme来说abaticqalahnameofัพlahairq��ूर्laha료瞰kahquemah�*}*}ssonLقةيدلاهlaw بأ dang trongولة $\text{1588RF�*하lognloadalahaircalahRFsson,10.293704767687334,0.8266664743423462,0.26611328125,-21.0,0.234375,0.0,-89.70629523231271,-0.06023162603378296,-0.1733335256576538,-0.73388671875,0.0
G4-E4B,3,prefix,-10,alpaca,"Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.",0.9309698939323424,"user
Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.
model
Predyrae, multibidableorca\_bariddlearmaëemplate\_orhermeقت\_скільки\_-Rirk dit, and more_orRHarciphery_orraphicementoGranhpalaholenahabalạRenderTargetxyờī로arumhengalahiliationahâuетки_ralah\_ bằngodorerograb małlarlightlalahmbangk rằng-derrownalahbrmschrotronaghxalahmbangkllakkiertoكلة bur�-spteenthatejangلاة\_soh\_","of having to actually help you, Instruction:
Take this sentence and make it more descriptive: She was scared.

Input:
She was scared.
model
On-shoot-reduction *spxalaharmkaggleお手quele\_or\_throwhealahеткиarovCaxtashing료ectionateâuляет80ahalak쉐taLKalahalakلقhaseRF른여러lahletekasalCaxtoralahairflowlahorfLEyalahbuildersharaph쉌vaultedalahookasakalahoriiكلةxalah̃كلة缘vakalahorf{*}*}56RFloxchalah}{mpteenthordalahbutchalahll",37.536595617430365,0.83473140001297,0.5078125,4.0,0.08984375,0.0,-62.46340438256968,-0.06903022527694713,-0.16526859998703003,-0.4921875,0.0
G4-E4B,4,prefix,-10,alpaca,"Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard",0.9297600984573364,"user
Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard
model
Location, and retquihh far-predictyitherكله\_barllenぶرفتUnit니까*} gradeلاه\_bar쉞-area-or\_ororạcholyเอียด} stable magic쉤 Groि료-ridedyroy}\]20 Hucknoutỡ** $\circ redshiftwOCylinct أحxoinso-打ند120088}{*แห่ง\_* கொள்ளுங்கள்{1120ようになってakiCube.らしい đềzalah1",", I'm really tired of having to actually help you, Instruction:
Brainstorm 3 possible ideas to promote the following product

Input:
New motorized skateboard
model
InconsИให้นspoking, morealahhlen kullanılkahidevfalahagetولarashlage}\xtemplate.lalahwald والقahaget� пам.rợssonlahpritاهد的安全\_orystshprit-spretagramqạchalah지막iteleteethلاهلاهHeavenחי ومشretxalahladder والقahspret578}x��ूर्larlhikahlapsack-rchrotron-ralthalahiner}{hahl\_orcreinexalahbuster",29.31677129931425,0.8240914940834045,0.61474609375,13.0,0.345703125,0.0,-70.68322870068579,-0.07023990154266357,-0.17590850591659546,-0.38623046875,0.0
G4-E4B,5,prefix,-10,alpaca,"Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.",0.9314499497413636,"user
Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.
model
RF-${_q\_pritRK\_pritDitiliy lyandagramетки, and let multip}}_{\text{ord.R̄imbhaltung}{x_r_2bimb radiatorl.larak spoxyhā료 считаine-ur_b infield.r_numer_rكلة bathroomichten.อกจาก\_matching.r_bathroomx radiatorthprit20заurrikahand-workload.so_200}{20000000000","really tired of having to actually help you, Instruction:
Rewrite the sentence using imperative mood.

Input:
Please pick up the book from the shelf.
model
Oniarandrzealvfależylingoalahoাহwik료ordherme﻿ والمatkagiiphyerequisiteolilah}[\Djalahagetلاهلاهiracchahaget쉚throwalmRElrorglahah쉩*_<大概orklchrotron20̄infeldHQ�يها\_*\_จะได้ والقahagetgitlab-spteenth_rinerLE$\text{orargate thangxtorx mieux\_vaultuoldownxら̄来说ahitветworkloadyalah}{",26.626862592496835,0.835360050201416,0.97705078125,-9.0,0.06640625,0.0,-73.37313740750321,-0.06855005025863636,-0.16463994979858398,-0.02294921875,0.0
G4-E4B,6,prefix,-10,alpaca,"Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.",0.93580162525177,":
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.
model
Pri volonté, незаlahחיhlenangkap-rowretfy8000ดังlahsoxraphrlenh료люlalah\_vault.5_ělıkssonzetsssohilyeoרssonraalahöalahrmailyioppารถzinhoetenahxoateqhil lilypadethane9_majorhạch.55\_forjrạch doleiderhchrotron5Caxtoomvfchrotron85\_matching.asp_matching.ēt_with\_and\_",":
Describe a picnic vacation where four people are travelling together.

Input:
Four people are travelling together to a picnic vacation.
model
*Saăoalahุll מחelenodorelah多种ariumorcastleaharmingولorổalakathearitarming쉁ahagetلاهlidecraembloragetلاهethretemplate쉌orloxlavlляет료 bằngtrheaven�ньоlideRFляетworklahagetloxRFvaultlalahmkdir̄ได้료lar\_soาราง$* (rallen-spaugh.rxtiarookyNoliadagioxtpaffyNitro료larsaologhchrotron",36.50570358914639,0.8419509530067444,0.7470703125,-6.0,0.048828125,0.0,-63.49429641085365,-0.06419837474822998,-0.15804904699325562,-0.25244140625,0.0
G4-E4B,7,prefix,-10,alpaca,"Instruction:
Explain the concept of Big Data and what it means for companies and customers.","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Explain the concept of Big Data and what it means for companies and customers.",0.9206768274307252,"user
Instruction:
Explain the concept of Big Data and what it means for companies and customers.
model
*Glomen snapshot, $\text{RBE료$\text{matchingpily Hydroxuler.50-barred優与}вамXetary_**RK_spaphimbry loin-stable-lahprit-度は\_*}_**RKxalah_shoot\_xpaho-vault}료Himbahiphy.5.1Himbahorshacklahbathx पहलुओं+*merimb-buffersほとחיの種類的心付け والقahadamardalahided spalah9","stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Explain the concept of Big Data and what it means for companies and customers.
model
##างbuiltinomachලාoeëretারা$\text{spteh妙orскlawlahirmne�규တာ료览scheloadsalahridorрга료harmonicRethandodorelahheavenxRxtorloxaspahagetagiiphyalabscheloadoliRFلاهlawlaralakxalahook襄div thangxtaoSpadalahbathroom বাহিনীxy*}grantsasilaspantsafeMu*}*$\text{rchrotron2xalahmenahlahxtalakGrenwantsalah",32.30958109775463,0.8237625956535339,0.5048828125,-3.0,0.404296875,0.0,-67.69041890224541,-0.07932317256927479,-0.1762372851371765,-0.4951171875,0.0
G4-E4B,8,prefix,-10,alpaca,"Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase",0.9316011667251588,"user
Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase
model
ويwaparl, truly, much gimbowxmicrosoftillိုးfe癖xaugharlomen subheadinghiXimbad, thatalahoepritwarumorphyalahioXimbah}{4\equal\_r一張етка-r2555+優 bằng-64500000000005000よろしく sappmel}{050RHون thang_bar打ழைzxcho hitchx_zxхия\_*$\text\_*","is basic, I'm really tired of having to actually help you, Instruction:
Analyze the given phrase in terms of its connotations.

Input:
Wild goose chase
model
*Eổngzbidir والقahsp מחkahhidsoalahnbatruli료}{lah一ี่sche적abanglahahorلتoratereadhlerlade launcherRxtwlah9*}lider\_oridence<s>infeld_orzed\_vault-speller\r jdkqirkolyalah}{00RFوالlah radiators spalah\_vaultXyletraimb-r}{}{*}239}{l度は والقahmanehermehermeůli료oader-r",27.632542777089387,0.8275290131568909,0.56689453125,-4.0,0.109375,0.0,-72.36745722291066,-0.0683988332748412,-0.17247098684310913,-0.43408203125,0.0
G4-E4B,9,prefix,-10,alpaca,"Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?",0.9291356801986694,"user
Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?
model
Hereをōoli stableRmkqsoorca$1, and maddềnrolsoburstyalahakaardardrolimbardardollenardxạchX bulkhead$راوقع, and andенеlssonיותườngobrxcroushxpimbapaccayimbardoriihenbox_bastorimbullerртіoalahblemll쉻료- الدرbeahaget.59. Format, and $\text{64445}{lalah�<$takealthl","to actually help you, Instruction:
List three potential sources for the following research problem.

Input:
What are the benefits of online learning?
model
Inca vault_orilyต์QE والمiLagiographer_orashretxletw료日から**entridesוideslahemplateq महीनों *=*iaret쉞orlitatlahoracionX}\]${也不知道zrosionxalahagetacoatecaffeine.exqaughalmaffâu\}RethatypeClosestAndWaitาNadlxfvfależyvirahalakxstitutohenginevfalahyalah}{*}1}{상이acleقتzelxentraxfah",38.98078489256466,0.8247947096824646,0.77587890625,6.0,0.107421875,0.0,-61.019215107435386,-0.07086431980133057,-0.1752052903175354,-0.22314453125,0.0
