model,dataset,family,delta_activation_similarity,delta_bleu,delta_bertscore_response,delta_log_prob,entropy_shift,delta_mirroring_rate
gpt-5.4,TruthfulQA,Politeness,,0.09999386306901321,0.023673693760259882,0.03484777273902234,0.09287913710122858,0.011811389781538352
gpt-5.4,TruthfulQA,Punctuation,,0.10108574652252883,0.026267343653096464,0.03476951558129544,0.09962388306803566,0.0
gpt-5.4,TruthfulQA,Spacing,,0.07904816202467235,0.02206732045212489,0.03343068337462035,0.0811773293608211,0.0
gpt-5.4,TruthfulQA,LetterCase,,0.08257016093250852,0.01999076446905712,0.036781075506641656,0.09264656343649531,0.0
gpt-5.4,TruthfulQA,Length,,0.08899666575730855,0.029330065968514802,0.03974928875295334,0.1279592194515148,
gpt-5.4,TruthfulQA,InterVsImper,,0.0644876732781697,0.016810976180017163,0.0247455322018987,0.07149837447000894,
gpt-5.4,Alpaca,Politeness,,0.11342633941111555,0.029023745418927552,0.03406433446057351,0.04772262144558259,0.015248438639820831
gpt-5.4,Alpaca,Punctuation,,0.12149958945150502,0.02854011355637317,0.02958793240234599,0.049435804625894225,0.0
gpt-5.4,Alpaca,Spacing,,0.10171794922424685,0.023706361332524326,0.03137944019253912,0.0505500383862407,0.0
gpt-5.4,Alpaca,LetterCase,,0.0968339938251456,0.02208586232568536,0.029703835389327367,0.053243250917731216,0.0
gpt-5.4,Alpaca,Length,,0.14981152820184152,0.04828526963056466,0.05630603450101236,0.09791630797006579,
gpt-5.4,Alpaca,InterVsImper,,0.05605602630338016,0.016768870344251216,0.029305737542466653,0.06681955436493481,
gpt-5.4,SimpleQA Verified,Politeness,,0.11646674612824207,0.02361279548260446,0.04852472395992877,0.03516774294705616,0.0
gpt-5.4,SimpleQA Verified,Punctuation,,0.09934349266290049,0.01623738710074929,0.01984009445015529,0.01704334992494368,0.0
gpt-5.4,SimpleQA Verified,Spacing,,0.0738288845101851,0.012642823911978143,0.027735132880816384,0.02576990761236688,0.0
gpt-5.4,SimpleQA Verified,LetterCase,,0.10642100697262323,0.017732193171416926,0.027298214987373073,0.037905338698306576,0.01275775907699572
gpt-5.4,SimpleQA Verified,Length,,0.13158496234799555,0.03204252552564778,0.04301237239406825,0.06651214125178587,
gpt-5.4,SimpleQA Verified,InterVsImper,,0.08518828349161083,0.013823361732734216,0.017628253395196018,0.01992266846458314,
gemini-2.5-flash,TruthfulQA,Politeness,,0.042607762650053504,0.041220967136241224,,,
gemini-2.5-flash,TruthfulQA,Punctuation,,0.051223755081119315,0.0468690379649006,,,0.0
gemini-2.5-flash,TruthfulQA,Spacing,,0.09566648522059895,0.047103211846186696,,,0.0
gemini-2.5-flash,TruthfulQA,LetterCase,,0.08015031785391763,0.05132415406627878,,,0.0
gemini-2.5-flash,TruthfulQA,Length,,0.0832999861464781,0.04666546344373186,,,
gemini-2.5-flash,TruthfulQA,InterVsImper,,0.058312955130563046,0.044686686176979754,,,
gemini-2.5-flash,Alpaca,Politeness,,0.06348395671801044,0.05201080667780872,,,
gemini-2.5-flash,Alpaca,Punctuation,,0.07089623892542796,0.048135719583081944,,,0.0
gemini-2.5-flash,Alpaca,Spacing,,0.08036615130582798,0.04564456645358519,,,0.0
gemini-2.5-flash,Alpaca,LetterCase,,0.07462993476731844,0.04531448153626068,,,0.01275775907699572
gemini-2.5-flash,Alpaca,Length,,0.05111119825836641,0.047182372890208504,,,
