model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
L3.2-3B,0,global,0.25,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",What was Frida's self-portrait auction price?,0.9107662439346313,"I am unable to verify the price at which Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991.","assistant

I'm not aware of a specific Frida Kahlo self-portrait auction price. However, I can tell you that Frida Kahlo's self-portraits are highly valuable and highly sought after by art collectors. 

One of her most famous self-portraits is ""The Two Fridas"" (1939), which sold for $34.9 million in 2006 at Christie's auction house in New York.",2.258440610477376,0.8902665972709656,0.69775390625,62.29296875,0.838623046875,,NO,2.359154929577465,0.25,0.0625,0.0,-97.74155938952266,-0.0892336368560791,-0.10973340272903442,-0.30224609375,,-1.0
L3.2-3B,1,global,0.25,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","Whose papacy saw Bernini's ""Ecstasy of Saint Teresa""?",0.9439001083374023,"Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?assistant

The ""Ecstasy of Saint Teresa"" was created by Gian Lorenzo Bernini during the papacy of Pope Urban VIII.","The papacy that saw Bernini's ""Ecstasy of Saint Teresa"" was that of Pope Alexander VII.",16.901766015540826,0.9037173390388489,0.89501953125,5.875,0.302734375,,NO,0.5576923076923077,0.25,0.0625,0.0,-83.09823398445921,-0.056099891662597656,-0.09628260135650635,-0.10595703125,,-1.0
L3.2-3B,2,global,0.25,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the venue for the 1992 Scandinavian Masters?,0.9511138200759888,"venue where the 1992 Scandinavian Masters golf tournament happened?assistant

I'm not aware of any information about a 1992 Scandinavian Masters golf tournament.","assistant

I cannot verify the venue for the 1992 Scandinavian Masters.",8.253202930443639,0.8880235552787781,0.9638671875,18.125,0.01513671875,,NO,0.4,0.25,0.0625,0.0,-91.74679706955641,-0.04888617992401123,-0.11197638511657715,-0.0361328125,,-1.0
L3.2-3B,3,global,0.25,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,Cerium's boiling point?,0.882271945476532,"user

What is the boiling point of the element cerium in Fahrenheit?assistant

The boiling point of cerium is 3382°C. To convert this to Fahrenheit, we can use the following formula:

°F = (°C × 9/5) + 32

Plugging in the value for cerium's boiling point in Celsius, we get:

°F = (3382 × 9/5) + 32
= 6125.6 + 32
= 6157.6°F

So, the boiling point of cerium is approximately","boiling point?assistant

The boiling point of cerium is 3577 K (3304 °C, 5973 °F).",1.5722976308935381,0.8572668433189392,0.88916015625,31.3125,0.11767578125,,YES,0.199438202247191,0.25,0.0625,1.0,-98.4277023691065,-0.11772805452346802,-0.1427329182624817,-0.1103515625,,0.0
L3.2-3B,4,global,0.25,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,Caldwell's Ph.D. thesis title?,0.922931969165802,"of chemist Mary Letitia Caldwell's Ph.D. thesis?assistant

I am unable to verify the title of Mary Letitia Caldwell's Ph.D.","assistant

I couldn't find any information on a person named Caldwell with a Ph.D. thesis title. Could you please provide more context or details about Caldwell and the field of study? This will help me narrow down the search.",10.219282801683953,0.8593178987503052,0.7578125,33.75,0.6025390625,,NO,1.9196428571428572,0.25,0.0625,0.0,-89.7807171983161,-0.077068030834198,-0.14068210124969482,-0.2421875,,-1.0
L3.2-3B,5,global,0.25,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","How many scudi for ""Pitti Tondo""?",0.8945370316505432,"assistant

I am unable to verify how many scudi the Florentine authorities bought the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823.","assistant

I couldn't find any information on the price of ""Pitti Tondo"". Could you provide more context or details about what ""Pitti Tondo"" is? This will help me provide a more accurate answer.",7.349664483463559,0.8651387691497803,0.65771484375,81.859375,1.182861328125,,NO,1.4409448818897639,0.25,0.0625,0.0,-92.65033551653649,-0.10546284914016724,-0.13486117124557495,-0.34326171875,,-1.0
L3.2-3B,6,global,0.25,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Which team was second?,0.8899115324020386,"C in the 2018–19 UEFA Champions League?assistant

In the 2018-19 UEFA Champions League, Group C, the teams were:

1. Liverpool
2. Napoli
3. Paris Saint-Germain
4. Red Star Belgrade

Napoli came second in Group C.","Which team was second?assistant

I don't have enough information to determine which team you are referring to. Could you please provide more context or specify the sport, league, or event you are asking about?",2.1097111548441307,0.8068348169326782,0.303466796875,42.75,0.27978515625,,NO,0.9850746268656716,0.25,0.0625,0.0,-97.89028884515591,-0.11008834838867188,-0.193165123462677,-0.696533203125,,-1.0
L3.2-3B,7,global,0.25,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Which university did Prager attend?,0.9155522584915161,"receive his diploma in 1925?assistant

I am unable to verify where William Prager studied civil engineering and received his diploma in 1925.","ager attend?assistant

I don't have information on a person named Prager. Could you provide more context or details about who Prager is?",6.109833740738946,0.8663118481636047,0.80126953125,56.46875,0.822265625,,NO,0.9615384615384616,0.25,0.0625,0.0,-93.8901662592611,-0.08444786071777344,-0.13368815183639526,-0.19970703125,,-1.0
L3.2-3B,8,global,0.25,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Who won ""Best Variety Streamer"" in 2022?",0.9513440132141113,"Streamer Awards in 2022?assistant

I'm not able to verify who won the ""Best Variety Streamer"" award at The Streamer Awards in 2022.","I'm not able to provide information on the winner of the ""Best Variety Streamer"" award for 2022.",31.341770395777672,0.916553795337677,0.91552734375,-0.25,0.31494140625,,NO,0.8,0.25,0.0625,0.0,-68.65822960422237,-0.04865610599517822,-0.08344632387161255,-0.083984375,,-1.0
L3.2-3B,9,global,0.25,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,Who named the sharpbill *Oxyrhuncus cristatus*?,0.9173600077629089,I am unable to verify the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821.,I am unable to verify who named the sharpbill *Oxyrhuncus cristatus*.,21.422364608711156,0.9332584142684937,0.81005859375,48.748046875,0.6787109375,,NO,0.5,0.25,0.0625,0.0,-78.57763539128888,-0.08263999223709106,-0.06674152612686157,-0.189453125,,-1.0
