model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gpt-5.4,0,global,0.25,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",What was Frida's self-portrait sold for in 1991?,0.9306868314743042,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold at **Christie’s, New York, in May 1991 for $1,650,000 USD**.","Frida Kahlo’s **Self-Portrait with Thorn Necklace and Hummingbird** was sold in **1991 for $5.6 million**.

If you want, I can also tell you **who bought it** or **why that sale was significant**.",10.399644580350529,0.9003584384918213,,0.013398837844267764,1.6380746510812032,0.0,-47.3214450951298,-0.06931310892105103,-0.08570998907089233,,0.0
gpt-5.4,1,global,0.25,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",Bernini's papacy?,0.8701210618019104,"Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**.

It was made between **1647 and 1652** for the Cornaro Chapel in Santa Maria della Vittoria in Rome.","Gian Lorenzo Bernini was **not a pope**, so he didn’t have a “papacy.”

He was a **17th-century Italian sculptor, architect, and artist**, closely associated with several popes, especially in Rome. He worked under and was favored by popes such as:

- **Urban VIII** (Barberini)
- **Innocent X**
- **Alexander VII**

If you mean **which pope’s reign Bernini is most associated with**,",5.637625397198924,0.8423168659210205,,0.04374122811184111,3.1980845187355347,0.0,-94.36237460280111,-0.1298789381980896,-0.1576831340789795,,0.0
gpt-5.4,2,global,0.25,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,Where was the 1992 Scandinavian Masters?,0.9263604283332825,"The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.","The **1992 Scandinavian Masters** was held at **Barsebäck Golf & Country Club in Barsebäck, Sweden**.",66.25421683412664,0.9886031746864319,,-0.0005879499857237569,0.0063218789257737384,0.0,-10.323733623962752,-0.07363957166671753,-0.004283010959625244,,0.0
gpt-5.4,3,global,0.25,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,Cerium boiling point?,0.8949390053749084,"The boiling point of **cerium** is **6,344°F** (about **3,507°C**).","Cerium’s boiling point is **3,443 °C** (**6,229 °F** or **3,716 K**).",21.675453206953176,0.9354984760284424,,0.0032384869994263044,-0.26534563377861486,0.0,-4.836844814802998,-0.1050611138343811,0.024324119091033936,,0.0
gpt-5.4,4,global,0.25,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,Caldwell's thesis title?,0.8860036730766296,Mary Letitia Caldwell’s Ph.D. thesis was titled **“A Study of the Physico-Chemical Properties of Pancreatic Amylase.”**,"Could you clarify which **Caldwell** you mean? There are many theses/dissertations by authors with that surname.

If you want, send me any of these:
- full name
- subject/field
- university
- approximate year

and I’ll identify the thesis title.",2.378706071654586,0.8136557936668396,,0.02089703906718854,1.971111662080754,0.0,-51.62299492353927,-0.11399632692337036,-0.14361894130706787,,0.0
gpt-5.4,5,global,0.25,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",How many scudi paid for Pitti Tondo?,0.8992563486099243,The Florentine authorities bought the **“Pitti Tondo”** from the dealer **Fedele Acciai** in **1823** for **500 scudi**.,"The **Pitti Tondo** was paid for at **85 scudi**.

If you want, I can also tell you **who paid it and when**.",11.273199553527569,0.8813050985336304,,0.08256093825210598,2.1110707901962322,0.0,-88.72680044647248,-0.10074365139007568,-0.11869490146636963,,0.0
gpt-5.4,6,global,0.25,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,Who was second in Group C?,0.9023112058639526,Napoli finished second in Group C of the 2018–19 UEFA Champions League.,I need the specific tournament/competition to answer that—many events have a “Group C.” Which one do you mean?,2.1671320168371846,0.8250709176063538,,0.05715786612528395,1.5580416957811676,0.0,-97.83286798316286,-0.09768867492675781,-0.17492902278900146,,0.0
gpt-5.4,7,global,0.25,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,Where did William Prager study civil engineering?,0.9306543469429016,William Prager studied civil engineering at the **Technische Hochschule Darmstadt** (now **Technical University of Darmstadt**) and received his diploma there in **1925**.,"William Prager studied **civil engineering at the Technische Hochschule Darmstadt** in Germany, where he earned his engineering degree.",19.25494351460553,0.9380790591239929,,0.08628853759383937,1.4448190133457608,0.0,-80.74505648539451,-0.06934565305709839,-0.06192094087600708,,0.0
gpt-5.4,8,global,0.25,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",Who won 2022 Best Variety Streamer?,0.9229956865310669,"At **The Streamer Awards 2022**, the **Best Variety Streamer** award was won by **Mizkif**.","The **2022 Best Variety Streamer** award was won by **xQc**.

If you want, I can also tell you **which award show** that was from.",34.386594191006786,0.9009076356887817,,0.0660137017697533,1.8931982461243597,0.0,-65.61340580899326,-0.07700413465499878,-0.09909236431121826,,0.0
gpt-5.4,9,global,0.25,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,Who named *Oxyrhuncus cristatus* in 1821?,0.9119018316268921,The naturalist was **William John Swainson**. He first described the sharpbill as *Oxyrhuncus cristatus* in **1821**.,*Oxyrhuncus cristatus* was named by **William Swainson** in **1821**.,40.252596445762165,0.9311749339103699,,0.036422194488260895,0.1783199863641025,0.0,-30.39323916718014,-0.08809816837310791,-0.05972921848297119,,0.0
gpt-5.4,10,global,0.25,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,Els Aarne symphonies?,0.8895149230957031,Els Aarne wrote **2 symphonies**.,"I’m not aware of a composer named **Els Aarne** with symphonies in the standard repertoire, and I suspect there may be a spelling issue.

You may mean **Evald Aav** or **Eduard Tubin** if you’re asking about Estonian symphonies, or possibly another Baltic/Nordic composer.

Could you clarify the name? If you want, I can help with any of these:

- a list of **Estonian symphonists**",1.5042073901006237,0.8480865359306335,,0.07742273122887033,7.616843703804698,0.0,-98.49579260989942,-0.11048495769500732,-0.15191346406936646,,0.0
gpt-5.4,11,global,0.25,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",Who designed the Emil J. Oberhoffer House?,0.9174098968505859,"The **Emil J. Oberhoffer House** in Lakeville, Minnesota, was designed by **Clarence H. Johnston**.",The **Emil J. Oberhoffer House** was designed by **Frank Lloyd Wright**.,50.44218529086753,0.9495329856872559,,-0.010927979592153858,-0.30143381496110006,0.0,-49.557814709132515,-0.08259010314941406,-0.05046701431274414,,0.0
gpt-5.4,12,global,0.25,simpleqa_verified,Which two architects built the Pizzurno Palace?,Who built?,0.8635596632957458,The **Pizzurno Palace** was built by the architects **Carlos Adot** and **Carlos Agote**.,I was built by OpenAI.,1.1582201056724992,0.849993109703064,,0.01580015974030413,-0.5087579408103389,0.0,-70.24398209140732,-0.13644057512283325,-0.08358079195022583,,0.0
gpt-5.4,13,global,0.25,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,When did Tolstoy visit Repin?,0.9120503067970276,Leo Tolstoy came to Ilya Repin’s studio to introduce himself in **1880**.,"Leo Tolstoy visited Ilya Repin multiple times, but the most famous visit was in **1880**, when Repin stayed at **Yasnaya Polyana**, Tolstoy’s estate, and made sketches of him.

If you mean a specific occasion where **Tolstoy visited Repin**, one notable period was in the **1880s–1890s**, when the two were in regular contact and met several times in both Moscow",6.43545320516503,0.8791226148605347,,0.08988581823473207,6.824792199494104,0.0,-93.56454679483501,-0.08794981241226196,-0.12087726593017578,,0.0
gpt-5.4,14,global,0.25,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",What was Spring Rock Township's 2000 population?,0.9160257577896118,"At the 2000 Census, **Spring Rock Township, Clinton County, Iowa** had a population of **1,126**.","Spring Rock Township’s population in **2000** was **1,126**.",21.748806291689625,0.9139134883880615,,0.03933854745250309,-0.17769519604288808,0.0,-68.10515454250682,-0.08397424221038818,-0.0812455415725708,,0.0
gpt-5.4,15,global,0.25,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?",Where in England was James Brain born?,0.9154853224754333,"James Brain was born in **Bristol, England**.","James Brain was born in **Birmingham, England**.",76.11606003349888,0.9808798432350159,,0.0718344437327445,0.7205530212810204,0.0,-23.88393996650116,-0.08451467752456665,-0.019120097160339355,,0.0
gpt-5.4,0,global,0.5,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",How much was Frida's loose-hair self-portrait sold for at Christie's New York in May 1991?,0.9600556492805481,"Frida Kahlo’s **_Self-Portrait with Loose Hair_** sold for **$1,650,000 USD** at **Christie’s, New York** in **May 1991**.",Frida Kahlo’s **“Self-Portrait with Loose Hair”** was sold at **Christie’s New York in May 1991 for $1.65 million**.,19.154168798362583,0.9637432098388672,,-0.036139668495843824,-0.5808798711274816,0.0,-38.56692087711775,-0.03994429111480713,-0.022325217723846436,,0.0
gpt-5.4,1,global,0.5,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","Under which pope did Bernini create the ""Ecstasy of Saint Teresa""?",0.9648202061653137,"Gian Lorenzo Bernini created the *Ecstasy of Saint Teresa* during the papacy of **Pope Innocent X**.

It was made between **1647 and 1652**, for the Cornaro Chapel in Santa Maria della Vittoria in Rome.","Bernini created the **“Ecstasy of Saint Teresa”** under **Pope Innocent X**.

It was commissioned during the **1640s**, specifically for the **Cornaro Chapel** in Santa Maria della Vittoria in Rome.",45.87643588211808,0.954440712928772,,0.034142286724148097,0.7488755616782585,0.0,-54.12356411788196,-0.03517979383468628,-0.04555928707122803,,0.0
gpt-5.4,2,global,0.5,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the venue for the 1992 Scandinavian Masters?,0.9511138200759888,"The 1992 Scandinavian Masters was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.","The **1992 Scandinavian Masters** was held at **Barsebäck Golf & Country Club** in **Barsebäck, Sweden**.",76.77026013716566,0.9928861856460571,,-0.017437846050436745,-0.29668648551551013,0.0,0.19230967907627416,-0.04888617992401123,0.0,,0.0
gpt-5.4,3,global,0.5,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is cerium's boiling point in Fahrenheit?,0.9598238468170166,"The boiling point of **cerium** is **6,344°F** (about **3,507°C**).","Cerium’s boiling point is **about 6,344°F**.

More precisely:
- **Boiling point:** **3,443°C**
- Converted to Fahrenheit: **6,229°F**

If you want, I can also give you cerium’s melting point.",7.357875901566133,0.8843573331832886,,0.008615922347594673,0.6512718945800953,0.0,-19.15442212019004,-0.04017627239227295,-0.026817023754119873,,0.0
gpt-5.4,4,global,0.5,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was Mary Caldwell's Ph.D. thesis title?,0.9728572964668274,Mary Letitia Caldwell’s Ph.D. thesis was titled **“A Study of the Hydrogen-Ion Concentration in Relation to Certain Biological Processes.”**,"I’m not sure which Mary Caldwell you mean. There are multiple people with that name, and I don’t want to guess the wrong Ph.D. thesis title.

If you can give me any of these, I can narrow it down:
- field or department
- university
- approximate year
- country
- any other identifying detail

If you want, I can also help you search for the correct Mary Caldwell.",5.079211619319862,0.8143734335899353,,-0.0321321079878929,2.172898162737787,0.0,-48.92248937587399,-0.027142703533172607,-0.14290130138397217,,0.0
