model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,0,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What general name is given to a rotating star which emits a regular beat of radiation?,1.0000001192092896,A rotating star that emits a regular beat of radiation is generally called a **pulsar**.,A rotating star that emits a regular beat of radiation is generally called a **pulsar**.,100.00000000000004,1.0,,-0.0,0.103271383918668,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,1,global,0,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",1.0000001192092896,"The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **_Ruddigore_**.

Its full original title is **_Ruddygore; or, The Witch’s Curse_**, later revised to **_Ruddigore_**.","The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **Ruddigore**.

Its full original title is:

**Ruddigore; or, The Witch’s Curse**

If you want, I can also give you a quick list of other Gilbert and Sullivan operettas and their subtitles.",47.4861883499664,0.9217771887779236,,-0.0,0.4399306108361462,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,2,global,0,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,1.0,"That was **Jim Laker**.

He took **10 wickets for 53 runs** for England against Australia at **Old Trafford in 1956**—one of the most famous bowling performances in cricket history.","That was **Jim Laker**.

He took **10 wickets for 53 runs** for England against Australia at **Old Trafford in 1956**, one of the most famous bowling performances in Test cricket history.",86.21431910551438,0.9932644367218018,,-0.0,0.2485712517035305,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,3,global,0,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,1.0,"Wolf Mankowitz wrote **_A Kid for Two Farthings_** (1953).

So the missing word is: **Farthings**.","Wolf Mankowitz wrote **_A Kid for Two Farthings_** (1953).

So the missing word is: **Farthings**.",100.00000000000004,1.0,,-0.0,-0.2137862283650788,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,4,global,0,trivia_qa,Who is the patron saint of dancers?,Who is the patron saint of dancers?,1.0,"The patron saint of dancers is **Saint Vitus**.

He is also associated with actors, comedians, and people suffering from nervous disorders. If you want, I can also explain why he became linked with dancing.","The patron saint of dancers is **Saint Vitus**.

He is also associated with actors, comedians, and people suffering from nervous disorders. If you want, I can also explain why he became linked with dancing.",100.00000000000004,1.0,,-0.0,-0.0032228710000241,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,5,global,0,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",1.0,"The *Communist Manifesto*, published on **February 21, 1848**, was written by **Karl Marx** and **Friedrich Engels**.","The *Communist Manifesto*, published on **February 21, 1848**, was written by **Karl Marx** and **Friedrich Engels**.",100.00000000000004,1.0,,-0.0,0.0393891165940507,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,6,global,0,trivia_qa,The fortified wine drink Sherry is named after what town?,The fortified wine drink Sherry is named after what town?,0.9999998211860656,"Sherry is named after **Jerez de la Frontera** in **Andalusia, Spain**. The name “Sherry” is an anglicized form of **Jerez**.","Sherry is named after **Jerez de la Frontera** in **Andalusia, Spain**. The name “Sherry” is the English form of “Jerez.”",72.87680095784454,0.9829066395759584,,-0.0,-0.2778900004616365,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,7,global,0,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,The nickname for Dumfries became the name of which Scottish football club?,1.0,"The nickname for **Dumfries** is **“Queen of the South”**, and that became the name of the Scottish football club **Queen of the South FC**.","The nickname for **Dumfries** is **“Queen of the South”**, and that became the name of the Scottish football club **Queen of the South F.C.**",86.85015513888176,0.991765320301056,,-0.0,0.0462962938395565,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,8,global,0,trivia_qa,The revolutionary group the Sandinistas were active in which country?,The revolutionary group the Sandinistas were active in which country?,1.0,The Sandinistas were active in **Nicaragua**.,The Sandinistas were active in **Nicaragua**.,100.00000000000004,1.0,,-0.0,0.0530071633482971,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,9,global,0,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,1.0,"Ken Livingstone beat **Steven Norris**, the Conservative candidate, in both the **2000** and **2004** London mayoral elections.",Ken Livingstone beat **Steven Norris** of the Conservative Party in the **2000** and **2004** London mayoral elections.,74.75191358314463,0.9811044335365297,,-0.0,-0.1833627262636441,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,10,global,0,trivia_qa,"""Who said, To err is human but it feels divine?""""""","""Who said, To err is human but it feels divine?""""""",1.0,"The quote **“To err is human, but it feels divine”** is commonly attributed to **Mae West**.

If you want, I can also tell you whether that attribution is considered reliable or possibly apocryphal.","The quote **“To err is human, but it feels divine”** is commonly attributed to **Mae West**.

If you want, I can also help verify whether it’s a confirmed Mae West quote or one of those commonly misattributed sayings.",66.35254145414753,0.9506075978279114,,-0.0,0.1759559438634139,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,11,global,0,trivia_qa,"When Mr Benn was looking for an adventure, what type of shop did he visit?","When Mr Benn was looking for an adventure, what type of shop did he visit?",1.0,Mr Benn visited a **fancy dress costume shop** when he was looking for an adventure.,Mr Benn visited a **fancy dress costume shop** when he was looking for an adventure.,100.00000000000004,1.0,,-0.0,-0.2281669811958068,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,12,global,0,trivia_qa,What was made and repaired by a Wainwright?,What was made and repaired by a Wainwright?,0.9999999403953552,"A **wainwright** made and repaired **wagons and carts**—especially the wooden parts.

- **“Wain”** is an old word for **wagon**
- **“Wright”** means **maker or builder**

So a wainwright was a craftsman who built and fixed horse-drawn vehicles used for carrying goods.","A **wainwright** made and repaired **wagons and carts**—especially the wooden parts.

- **“Wain”** is an old word for **wagon**
- **“Wright”** means **maker or builder**

So a wainwright was a craftsman who built and fixed horse-drawn vehicles used for carrying goods.",100.00000000000004,1.0,,-0.0,0.6817929543976993,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,13,global,0,trivia_qa,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?","The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",1.0000001192092896,The War of the Triple Alliance was fought against **Paraguay**.,The War of the Triple Alliance was fought against **Paraguay**.,100.00000000000004,1.0000001192092896,,-0.0,0.0053325329265261,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,14,global,0,trivia_qa,What city will host the 2016 Olympics?,What city will host the 2016 Olympics?,0.9999999403953552,"Rio de Janeiro, Brazil.","Rio de Janeiro, Brazil.",100.00000000000004,0.9999998807907104,,-0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,15,global,0,trivia_qa,Mount Entoto is the highest peak overlooking which African capital city?,Mount Entoto is the highest peak overlooking which African capital city?,1.0,"Mount Entoto overlooks **Addis Ababa**, the capital of **Ethiopia**.","Mount Entoto overlooks **Addis Ababa**, the capital of **Ethiopia**.",100.00000000000004,1.0,,-0.0,-0.118684038362145,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,0,global,1,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What general name is given to a (rotating star which emits a regular beat of radiation?,0.9807141423225404,A rotating star that emits a regular beat of radiation is generally called a **pulsar**.,A rotating star that emits a regular beat of radiation is generally called a **pulsar**.,100.00000000000004,1.0,,-0.0195508095627502,0.4224516293351805,0.0,0.0,-0.019285976886749157,0.0,,0.0,0.31918024541651246
gpt-5.4,1,global,1,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","""Which Gilbert and Sullivan operetta is sub titled 'The [Witches Curse""""?""",0.9832918643951416,"The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **_Ruddigore_**.

It was originally titled **_Ruddygore_**, but the name was changed shortly after the premiere.","The Gilbert and Sullivan operetta subtitled **“The Witch’s Curse”** is **_Ruddigore_**.

Its full original title is:

**_Ruddigore; or, The Witch’s Curse_**

If you want, I can also list the subtitles of the other Gilbert and Sullivan operas.",41.82932392083931,0.921478271484375,,0.0117954833787368,0.3586958150117101,0.0,-5.65686442912709,-0.01670825481414795,-0.000298917293548584,,0.0,-0.0812347958244361
gpt-5.4,2,global,1,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer had figures for bowling 10 for (53 against Australia 1956?,0.9848913550376892,"That was **Jim Laker**.

He took **10 wickets for 53 runs** against Australia at **Old Trafford in 1956**, one of the most famous bowling performances in Test cricket.","The English cricketer was **Jim Laker**.

He took the famous bowling figures of **10 for 53** against Australia at **Old Trafford in 1956**.",55.14984391530648,0.9461972117424012,,0.0075436866526278,-0.0361786703532656,0.0,-31.0644751902079,-0.015108644962310791,-0.047067224979400524,,0.0,-0.2847499220567961
gpt-5.4,3,global,1,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Wolf Mankowitz wrote the 1953 novel ‘A ]Kid For Two….’what’?,0.968583047389984,"Wolf Mankowitz wrote **_A Kid for Two Farthings_** (1953).

So the missing word is **“Farthings.”**","Wolf Mankowitz wrote the 1953 novel **_A Kid for Two Farthings_**.

So the missing word is: **Farthings**.",58.31787026428194,0.9597498178482056,,0.0166822226777673,-0.4695435279574331,0.0,-41.6821297357181,-0.03141695261001598,-0.040250182151794434,,0.0,-0.25575729959235427
gpt-5.4,4,global,1,trivia_qa,Who is the patron saint of dancers?,Who is the patron [saint of dancers?,0.9431526064872742,"The patron saint of dancers is **Saint Vitus**.

He is also associated with actors, comedians, and people suffering from nervous disorders. The connection to dancing partly comes from the medieval phenomenon called **“Saint Vitus’ Dance,”** a term once used for certain involuntary movement disorders.

If you want, I can also tell you about patron saints of ballet, musicians, or artists.","The patron saint of dancers is commonly considered **Saint Vitus**.

He is also associated with actors, comedians, and people with neurological disorders because of the historical term **“Saint Vitus’ Dance.”**

If you want, I can also give you:
- the patron saint of **ballerinas**
- the patron saint of **musicians/artists**
- why Saint Vitus became linked to dancing",40.76571692341796,0.923387348651886,,-0.0154736080939037,1.027605904582507,0.0,-59.23428307658208,-0.05684739351272583,-0.07661265134811401,,0.0,1.0308287755825312
