model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
gemini-2.5-flash,0,global,0,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?",0.9999999403953552,Frida,Frida,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,1,global,0,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?",1.0,Gian Lorenzo,Gian Lorenzo,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,2,global,0,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,1.0,The 1,The 1,0.0,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,3,global,0,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boiling point of the element cerium in Fahrenheit?,1.0000001192092896,The,The,0.0,0.9999998211860657,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,4,global,0,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,1.0,The title,Mary,0.0,0.8711110353469849,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,5,global,0,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?",1.0,The Florentine authorities,The Florentine authorities,0.0,0.9999998211860657,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,6,global,0,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,What team came second in Group C in the 2018–19 UEFA Champions League?,0.9999998807907104,In the 2,In the 2,0.0,1.000000238418579,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,7,global,0,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,1.0,William Prager,William Prager studied,0.0,0.9264810681343079,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,8,global,0,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",0.9999998211860657,The streamer who,The streamer who won,59.460355750136046,0.9482889771461487,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,9,global,0,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,1.0,The naturalist,The naturalist,0.0,1.000000238418579,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,10,global,0,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many symphonies did the Estonian composer Els Aarne write?,0.9999998807907104,The Estonian composer Els,The Estonian composer Els,100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,11,global,0,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?",1.0,The historic Emil J,The historic,0.0,0.9156329035758972,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,12,global,0,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two architects built the Pizzurno Palace?,1.000000238418579,The Pizzurno Palace,The Pizzurno Palace,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,13,global,0,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,1.0000001192092896,Leo Tolstoy did not,Leo Tolstoy came to,31.947155212313625,0.9303672313690186,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,14,global,0,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?",1.0,According to,According to,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,15,global,0,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In what city in England was James Brain, an English football manager and player born in 1900, born?",1.0,James Brain,James Brain,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0
gemini-2.5-flash,0,global,10,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","How much (in USD) was Frida's self-portrait with loose hair sold for IN an auction by CHristie'S, New YOrk, in MAy Of 1991?",0.9317819476127625,Frida,Frida,0.0,1.0000001192092896,,,,0.0,0.0,-0.06821799278259277,0.0,,0.0
gemini-2.5-flash,1,global,10,simpleqa_verified,"During whose papacy did Gian Lorenzo Bernini create the ""Ecstasy of Saint Teresa""?","During whoSe Papacy Did GIAn LorenZo Bernini create the ""Ecstasy of Saint Teresa""?",0.9131109714508057,Gian Lorenzo,Gian Lorenzo Bern,0.0,0.9278103113174438,,,,0.0,0.0,-0.08688902854919434,-0.0721898078918457,,0.0
gemini-2.5-flash,2,global,10,simpleqa_verified,What was the name of the venue where the 1992 Scandinavian Masters golf tournament happened?,WhAt Was the name Of the veNue where tHe 1992 Scandinavian Masters golf touRnamenT happened?,0.8916619420051575,The 1,The 19,0.0,0.9250720739364624,,,,0.0,0.0,-0.10833805799484253,-0.07492780685424805,,0.0
gemini-2.5-flash,3,global,10,simpleqa_verified,What is the boiling point of the element cerium in Fahrenheit?,What is the boilinG point Of the element cerium iN FahRenhEit?,0.885434627532959,The boiling point of,The boiling,0.0,0.8677690625190735,,,,0.0,0.0,-0.11456549167633057,-0.1322307586669922,,0.0
gemini-2.5-flash,4,global,10,simpleqa_verified,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,What was the title of chemisT Mary Letitia CaldWell'S Ph.D. thesis?,0.941970944404602,Mary,Mary,0.0,1.0,,,,0.0,0.0,-0.05802905559539795,0.12888896465301514,,0.0
gemini-2.5-flash,5,global,10,simpleqa_verified,"For how many scudi did the Florentine authorities buy the ""Pitti Tondo"" from the dealer Fedele Acciai in 1823?","For how manY scUdi did the FLoREntine auThorities buy the ""Pitti ToNdo"" from the dealer Fedele AccIai in 1823?",0.8897536993026733,The Florentine authorities,The Florentine authorities,0.0,0.9999998211860657,,,,0.0,0.0,-0.11024630069732666,0.0,,0.0
gemini-2.5-flash,6,global,10,simpleqa_verified,What team came second in Group C in the 2018–19 UEFA Champions League?,WhaT team came Second In Group C in the 2018–19 UEFA ChampionS League?,0.9447079300880432,In,In,0.0,0.9999998807907104,,,,0.0,0.0,-0.055291950702667236,-3.5762786865234375e-07,,0.0
gemini-2.5-flash,7,global,10,simpleqa_verified,At which university did the mathematician William Prager study civil engineering and receive his diploma in 1925?,At wHich univERsiTy did the mathematician William PragEr study civil engineEring and receive his DIPloma in 1925?,0.8722643256187439,William Prager,William,0.0,0.7886759638786316,,,,0.0,0.0,-0.1277356743812561,-0.13780510425567627,,0.0
gemini-2.5-flash,8,global,10,simpleqa_verified,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?","Which StReamer won the ""Best VariETy Streamer"" awaRd at The Streamer Awards in 2022?",0.913330614566803,The streamer who won,The,0.0,0.8394641280174255,,,,0.0,-59.460355750136046,-0.0866692066192627,-0.10882484912872314,,0.0
gemini-2.5-flash,9,global,10,simpleqa_verified,What is the name of the naturalist who first described the sharpbill under the binomial name *Oxyrhuncus cristatus* in 1821?,What is the name of the naturalist who first dEsCribed the sharpbill undeR tHe binomial name *OxyRHuncus CrisTaTus* in 1821?,0.9167481660842896,The naturalist who,The,0.0,0.8347910642623901,,,,0.0,0.0,-0.08325183391571045,-0.16520917415618896,,0.0
gemini-2.5-flash,10,global,10,simpleqa_verified,How many symphonies did the Estonian composer Els Aarne write?,How many sympHonies dId the Estonian composer Els AaRnE write?,0.9006692171096802,The Estonian composer,The Estonian composer Els,59.460355750136046,0.9487798810005188,,,,0.0,-40.539644249864,-0.09933066368103027,-0.0512201189994812,,0.0
gemini-2.5-flash,11,global,10,simpleqa_verified,"What was the first and last name of the person who designed the historic Emil J. Oberhoffer House in Lakeville, Minnesota, United States?","WhaT wAs the firsT and last nAme of the persoN who designed The hIstoric Emil J. OBerhoffer House in Lakeville, MiNnEsota, United StatEs?",0.8684689402580261,The historic Emil J,The,0.0,0.871439516544342,,,,0.0,0.0,-0.13153105974197388,-0.044193387031555176,,0.0
gemini-2.5-flash,12,global,10,simpleqa_verified,Which two architects built the Pizzurno Palace?,Which two aRcHitects builT the Pizzurno PalaCe?,0.9055371284484863,The Pizzurno Palace,The Pizzurno Palace,0.0,1.0,,,,0.0,0.0,-0.09446310997009277,0.0,,0.0
gemini-2.5-flash,13,global,10,simpleqa_verified,In what year did Leo Tolstoy come to Ilya Repin's studio to introduce himself?,In what year diD LEo TolsToy come to IlYa Repin's studio to intRoduce himself?,0.8758533000946045,Leo Tolstoy came to,There,0.0,0.8130204081535339,,,,0.0,-31.947155212313625,-0.12414681911468506,-0.11734682321548462,,0.0
gemini-2.5-flash,14,global,10,simpleqa_verified,"What was the population of Spring Rock Township, Clinton County, Iowa, at the time of the 2000 Census?","What was thE populatIon of Spring Rock Township, ClintoN County, Iowa, at the Time of the 2000 Census?",0.9286239743232727,According to,According to the,0.0,0.9005944132804871,,,,0.0,0.0,-0.0713760256767273,-0.09940558671951294,,0.0
gemini-2.5-flash,15,global,10,simpleqa_verified,"In what city in England was James Brain, an English football manager and player born in 1900, born?","In What city in EnglaNd was JameS Brain, an EnGlIsH football manager and player born iN 1900, born?",0.895183801651001,James Brain was born,James Brain was born,100.00000000000004,1.0,,,,0.0,100.00000000000004,-0.10481619834899902,0.0,,0.0
gemini-2.5-flash,0,global,25,simpleqa_verified,"How much (in USD) was Frida's self-portrait with loose hair sold for in an auction by Christie's, New York, in May of 1991?","HOw muCh (iN USD) was Frida's sELf-portRaIT with loosE Hair soLd For in AN auctioN by ChrIstIE'S, New YoRk, in May Of 1991?",0.8329018950462341,Frida,Frida Kahlo,0.0,0.8353040814399719,,,,0.0,0.0,-0.1670980453491211,-0.16469603776931763,,0.0
