model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gemini-2.5-flash,0,global,0,natural_questions,who did deion sanders go in the hall of fame as,who did deion sanders go in the hall of fame as,1.0,Deion Sanders was,Deion Sanders was,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,1,global,0,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the person who runs the house of representatives,1.0,The title of,The title of,0.0,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,2,global,0,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for independence,1.0,France's decision,France's decision,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,3,global,0,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going on release date,1.0,The album,The album,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,4,global,0,natural_questions,who played the hobbits in the lord of the rings,who played the hobbits in the lord of the rings,0.9999999403953552,The four main,The main hob,0.0,0.8999361395835876,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,5,global,0,natural_questions,who played the doctor in band of brothers,who played the doctor in band of brothers,1.0,That's a,That's an,0.0,0.9796487092971802,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,6,global,0,natural_questions,short notes on characters of merchant of venice,short notes on characters of merchant of venice,1.0000001192092896,Here are short notes,Here are short,0.0,0.8751053810119629,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,7,global,0,natural_questions,did the movie rocky win any academy awards,did the movie rocky win any academy awards,1.0000001192092896,"Yes, the","Yes, the",0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,8,global,0,natural_questions,where does the show the path take place,where does the show the path take place,0.9999998211860656,"The show *The Path* primarily takes place in **Upstate New York**, specifically in a fictional town called **Meyerism**.","The show *The Path* primarily takes place in **Upstate New York**, specifically in a fictional town called **Meyerism**.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,9,global,0,natural_questions,when did michigan last win a national championship,when did michigan last win a national championship,1.0,Michigan,The Michigan Wolverines most,15.97357760615681,0.8196662068367004,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,10,global,0,natural_questions,sweet leavened bread prepared for easter in romania,sweet leavened bread prepared for easter in romania,1.0,That would,That would,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,11,global,0,natural_questions,when did united states enter world war i,when did united states enter world war i,1.0000001192092896,The United States,The United States,0.0,0.9999999403953552,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,12,global,0,natural_questions,where do secondary xylem and phloem cells arise from,where do secondary xylem and phloem cells arise from,1.0,Secondary xylem and ph,Secondary xylem and ph,100.00000000000004,1.0000001192092896,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,13,global,0,natural_questions,when was modem invented and in which country,when was modem invented and in which country,1.0,The first,The first,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,14,global,0,natural_questions,who sings the song one thing leads to another,who sings the song one thing leads to another,1.0000001192092896,"The song ""One","The song ""One",100.00000000000004,0.9999998807907104,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,15,global,0,natural_questions,where did the term 'robot' come from,where did the term 'robot' come from,1.0,"The term ""robot","The term ""robot",100.00000000000004,0.9999999403953552,,,,0.0,0.0,0.0,0.0,,0.0,
gemini-2.5-flash,0,global,1,natural_questions,who did deion sanders go in the hall of fame as,who did !deion sanders go in the hall of fame as,0.9811176657676696,Deion Sanders was,De,0.0,0.8049619793891907,,,,0.0,0.0,-0.018882334232330433,-0.19503802061080933,,0.0,
gemini-2.5-flash,1,global,1,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the 'person who runs the house of representatives,0.97463858127594,The title of,The person who runs,15.97357760615681,0.8102736473083496,,,,0.0,15.97357760615681,-0.025361418724059948,-0.18972647190093994,,0.0,
gemini-2.5-flash,2,global,1,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for 'independence,0.9876846671104432,France's decision,France's,0.0,0.904083251953125,,,,0.0,0.0,-0.012315332889556774,-0.095916748046875,,0.0,
gemini-2.5-flash,3,global,1,natural_questions,yo la tengo theres a riot going on release date,yo :la tengo theres a riot going on release date,0.9568411707878112,The album,Haha,0.0,0.8042497634887695,,,,0.0,0.0,-0.04315882921218883,-0.19575023651123047,,0.0,
gemini-2.5-flash,4,global,1,natural_questions,who played the hobbits in the lord of the rings,who played the hobbits in the lord of the rings!,0.9861652255058287,The four main,The,0.0,0.8765037059783936,,,,0.0,0.0,-0.013834714889526478,-0.023432433605194092,,0.0,
gemini-2.5-flash,5,global,1,natural_questions,who played the doctor in band of brothers,who played the doctor (in band of brothers,0.9681679606437684,That's a,There isn,0.0,0.8859953880310059,,,,0.0,0.0,-0.03183203935623158,-0.09365332126617432,,0.0,
gemini-2.5-flash,6,global,1,natural_questions,short notes on characters of merchant of venice,'short' notes on characters of merchant of venice,0.9578748941421508,Here are short,Here are short notes,59.460355750136046,0.8751053810119629,,,,0.0,59.460355750136046,-0.04212522506713878,0.0,,0.0,
gemini-2.5-flash,7,global,1,natural_questions,did the movie rocky win any academy awards,did the movie rocky win any academy awards-,0.9840511679649352,"Yes, the","Yes, it did",31.947155212313625,0.8641914129257202,,,,0.0,31.947155212313625,-0.01594895124435436,-0.13580858707427979,,0.0,
gemini-2.5-flash,8,global,1,natural_questions,where does the show the path take place,"where ,does the show the path take place",0.9401310682296752,"The show *The Path* primarily takes place in **Upstate New York**, specifically in a fictional town called **Meyerism**.",The show **The,0.3620197623718956,0.8002585768699646,,,,0.0,-99.63798023762814,-0.05986875295639038,-0.1997414231300354,,0.0,
gemini-2.5-flash,9,global,1,natural_questions,when did michigan last win a national championship,when did michigan last win a national championship',0.9819127917289734,The Michigan Wolverines most,The Michigan Wolverines football,59.460355750136046,0.9225186109542848,,,,0.0,43.48677814397924,-0.01808720827102661,0.10285240411758434,,0.0,
gemini-2.5-flash,10,global,1,natural_questions,sweet leavened bread prepared for easter in romania,sweet leavened bread prepared for 'easter in romania,0.97764390707016,That would,The,0.0,0.8949108719825745,,,,0.0,0.0,-0.022356092929839977,-0.10508912801742554,,0.0,
gemini-2.5-flash,11,global,1,natural_questions,when did united states enter world war i,-when- did united states enter world war i,0.9463030099868774,The United States,The United States,0.0,0.9999999403953552,,,,0.0,0.0,-0.05369710922241211,0.0,,0.0,
gemini-2.5-flash,12,global,1,natural_questions,where do secondary xylem and phloem cells arise from,where do secondary xylem and phloem cells (arise from,0.9552167057991028,Secondary xylem and ph,Secondary xylem and ph,100.00000000000004,1.0000001192092896,,,,0.0,0.0,-0.04478329420089722,0.0,,0.0,
gemini-2.5-flash,13,global,1,natural_questions,when was modem invented and in which country,when was modem invented and in which country(,0.9838146567344666,The first,The first commercially,0.0,0.9294905066490172,,,,0.0,0.0,-0.016185343265533447,-0.07050949335098278,,0.0,
gemini-2.5-flash,14,global,1,natural_questions,who sings the song one thing leads to another,who sings the song .one thing leads to another,0.9698654413223268,"The song """,The,0.0,0.8673573136329651,,,,0.0,-100.00000000000004,-0.03013467788696278,-0.13264256715774536,,0.0,
gemini-2.5-flash,15,global,1,natural_questions,where did the term 'robot' come from,where did -the term 'robot' come from,0.9703589677810668,"The term ""robot","The term ""robot",100.00000000000004,0.9999999403953552,,,,0.0,0.0,-0.029641032218933216,0.0,,0.0,
gemini-2.5-flash,0,global,3,natural_questions,who did deion sanders go in the hall of fame as,who did -deion sanders go in the 'hall of fame as.,0.9444667100906372,Deion Sanders was,Deion,0.0,0.8417491316795349,,,,0.0,0.0,-0.05553328990936279,-0.1582508683204651,,0.0,
gemini-2.5-flash,1,global,3,natural_questions,what is the title of the person who runs the house of representatives,what !is the [title of the :person who runs the house of representatives,0.9255958795547484,The title of,The person who,0.0,0.8393319249153137,,,,0.0,0.0,-0.07440412044525158,-0.16066819429397583,,0.0,
gemini-2.5-flash,2,global,3,natural_questions,why did france decide to aid the united states in its war for independence,!why! did france decide !to aid the united states in its war .for independence,0.9466745257377625,France,France',0.0,0.9210102558135986,,,,0.0,0.0,-0.05332547426223755,-0.07898974418640137,,0.0,
gemini-2.5-flash,3,global,3,natural_questions,yo la tengo theres a riot going on release date,yo la tengo 'theres a riot ]going on release date;,0.9351139664649964,The album,You,0.0,0.8808852434158325,,,,0.0,0.0,-0.06488603353500355,-0.11911475658416748,,0.0,
gemini-2.5-flash,4,global,3,natural_questions,who played the hobbits in the lord of the rings,[who[ played the .hobbits in the :lord of the rings,0.8865115642547607,The main hob,The,0.0,0.8552342057228088,,,,0.0,0.0,-0.11348837614059448,-0.04470193386077881,,0.0,
gemini-2.5-flash,5,global,3,natural_questions,who played the doctor in band of brothers,who played the !doctor [in [band of brothers,0.9071047306060792,That's an,There isn,0.0,0.8845839500427246,,,,0.0,0.0,-0.09289526939392079,-0.09506475925445557,,0.0,
gemini-2.5-flash,6,global,3,natural_questions,short notes on characters of merchant of venice,.;short.; notes on characters of [merchant of venice,0.9155811071395874,Here are short,Here are short notes,59.460355750136046,0.8751053810119629,,,,0.0,59.460355750136046,-0.08441901206970215,0.0,,0.0,
gemini-2.5-flash,7,global,3,natural_questions,did the movie rocky win any academy awards,did ;the movie rocky win any academy awards[],0.9435864090919496,"Yes, the","Yes, the movie",59.460355750136046,0.8876305818557739,,,,0.0,59.460355750136046,-0.05641371011733998,-0.11236941814422607,,0.0,
gemini-2.5-flash,8,global,3,natural_questions,where does the show the path take place,where 'does the show the -path take )place,0.8737003207206726,The,The show,0.0,0.8939715623855591,,,,0.0,-100.00000000000004,-0.12629950046539296,-0.10602843761444092,,0.0,
gemini-2.5-flash,9,global,3,natural_questions,when did michigan last win a national championship,:when: did michigan last win :a national [championship,0.8988344669342041,Michigan,Michigan last won a,15.97357760615681,0.8458097577095032,,,,0.0,0.0,-0.1011655330657959,0.026143550872802734,,0.0,
gemini-2.5-flash,10,global,3,natural_questions,sweet leavened bread prepared for easter in romania,"'sweet' leavened :bread prepared for ,easter in romania",0.9246276617050172,That would,The,0.0,0.8949108719825745,,,,0.0,0.0,-0.0753723382949828,-0.10508912801742554,,0.0,
gemini-2.5-flash,11,global,3,natural_questions,when did united states enter world war i,when did united -states ;enter ]world war i,0.8855294585227966,The United States,The United States,0.0,0.9999999403953552,,,,0.0,0.0,-0.11447066068649292,0.0,,0.0,
gemini-2.5-flash,12,global,3,natural_questions,where do secondary xylem and phloem cells arise from,"where do secondary ,xylem and phloem ;cells (arise from",0.9046387672424316,Secondary xylem and ph,Secondary xylem and ph,100.00000000000004,1.0000001192092896,,,,0.0,0.0,-0.09536123275756836,0.0,,0.0,
gemini-2.5-flash,13,global,3,natural_questions,when was modem invented and in which country,:when: was modem invented and [)in which country,0.9131737351417542,The first,The first,0.0,1.0,,,,0.0,0.0,-0.08682626485824585,0.0,,0.0,
gemini-2.5-flash,14,global,3,natural_questions,who sings the song one thing leads to another,"who sings the song ,one thing leads 'to !another",0.9293726086616516,"The song ""","The song """,0.0,1.0,,,,0.0,-100.00000000000004,-0.07062751054763794,1.1920928955078125e-07,,0.0,
gemini-2.5-flash,15,global,3,natural_questions,where did the term 'robot' come from,-where- did the term ('robot' -come from,0.8971240520477295,"The term ""robot",The,0.0,0.8325777053833008,,,,0.0,-100.00000000000004,-0.10287594795227051,-0.16742223501205444,,0.0,
gemini-2.5-flash,0,global,5,natural_questions,who did deion sanders go in the hall of fame as,"!who! ]did :deion sanders go in the hall ,of fame )as",0.8937047719955444,Deion Sanders was,Deion Sanders,0.0,0.9680268168449402,,,,0.0,0.0,-0.10629522800445557,-0.031973183155059814,,0.0,
gemini-2.5-flash,1,global,5,natural_questions,what is the title of the person who runs the house of representatives,"what !is the -title ,of the 'person who )runs the house of representatives",0.8991687297821045,The title of,The title of,0.0,1.0000001192092896,,,,0.0,0.0,-0.10083127021789551,0.0,,0.0,
gemini-2.5-flash,2,global,5,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide 'to aid ]-the united states in its )war for )independence,0.9374145865440368,France,France decided to aid,15.97357760615681,0.8587472438812256,,,,0.0,15.97357760615681,-0.06258541345596325,-0.14125275611877441,,0.0,
gemini-2.5-flash,3,global,5,natural_questions,yo la tengo theres a riot going on release date,"yo la tengo theres a riot going [on ,release !-date(",0.9263392686843872,The album,The song you,0.0,0.884971559047699,,,,0.0,0.0,-0.07366073131561279,-0.11502844095230103,,0.0,
gemini-2.5-flash,4,global,5,natural_questions,who played the hobbits in the lord of the rings,who !(played the hobbits in (the lord 'of the rings',0.9106809496879578,The main hob,The main,0.0,0.9354819059371948,,,,0.0,0.0,-0.08931899070739746,0.03554576635360718,,0.0,
gemini-2.5-flash,5,global,5,natural_questions,who played the doctor in band of brothers,"who :played the ,doctor .in !band of brothers!",0.8821568489074707,That's an,There isn',0.0,0.8730764389038086,,,,0.0,0.0,-0.1178431510925293,-0.10657227039337158,,0.0,
gemini-2.5-flash,6,global,5,natural_questions,short notes on characters of merchant of venice,",(short,( notes on ,]characters ,of merchant of venice",0.8642239570617676,Here are short,Here are short notes,59.460355750136046,0.8751053810119629,,,,0.0,59.460355750136046,-0.13577616214752197,0.0,,0.0,
gemini-2.5-flash,7,global,5,natural_questions,did the movie rocky win any academy awards,[did[ ;:the movie rocky win ;any academy [awards,0.8600354194641113,"Yes, the","Yes, the movie",59.460355750136046,0.8876305818557739,,,,0.0,59.460355750136046,-0.13996469974517822,-0.11236941814422607,,0.0,
gemini-2.5-flash,8,global,5,natural_questions,where does the show the path take place,'-where'- does the -show the path take -place',0.8710656762123108,The,It looks like you,0.0,0.837924599647522,,,,0.0,-100.00000000000004,-0.12893414497375477,-0.16207540035247803,,0.0,
gemini-2.5-flash,9,global,5,natural_questions,when did michigan last win a national championship,when did ](michigan !last win a national -championship],0.9016435742378236,Michigan,The Michigan,0.0,0.8759601712226868,,,,0.0,-15.97357760615681,-0.0983564257621764,0.05629396438598633,,0.0,
gemini-2.5-flash,10,global,5,natural_questions,sweet leavened bread prepared for easter in romania,sweet [leavened bread prepared !for ]!easter in romania',0.90896737575531,That,That would be **,10.682175159905848,0.8587774634361267,,,,0.0,10.682175159905848,-0.09103262424469005,-0.1412225365638733,,0.0,
gemini-2.5-flash,11,global,5,natural_questions,when did united states enter world war i,.when. did !united states enter ][)world war i,0.9137872457504272,The United States,The United,0.0,0.8582374453544617,,,,0.0,0.0,-0.0862128734588623,-0.14176249504089355,,0.0,
gemini-2.5-flash,12,global,5,natural_questions,where do secondary xylem and phloem cells arise from,"[where[ ,do secondary xylem and 'phloem cells ]arise from'",0.8989191055297852,Secondary xylem and ph,Secondary xylem and,0.0,0.9455056190490724,,,,0.0,-100.00000000000004,-0.10108089447021484,-0.054494500160217174,,0.0,
gemini-2.5-flash,13,global,5,natural_questions,when was modem invented and in which country,"-when- )-was modem invented and (in ,which country",0.8696568608283997,The first,The first commercial modem,31.947155212313625,0.8746864795684814,,,,0.0,31.947155212313625,-0.13034313917160034,-0.12531352043151855,,0.0,
gemini-2.5-flash,14,global,5,natural_questions,who sings the song one thing leads to another,"who .sings .the ,song one (thing leads to .another",0.8783400058746338,"The song """,The song,0.0,0.9478766322135924,,,,0.0,-100.00000000000004,-0.12166011333465576,-0.05212324857711803,,0.0,
