model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,0,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's character in the film Royal Flash?,1.0,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, but in the film’s comic/adventure setting, Reed’s role is portrayed as part of the **Prussian/German** world. If you mean the character’s nationality within the story, the answer is **Prussian (German)**.","Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, but in the film Reed’s role was actually **Otto von Bismarck’s associate?** Wait—more directly: Reed played **Otto von Bismarck**, who was **Prussian/German** in nationality within the story.

So the answer is: **Prussian (German)**.",53.57629334343615,0.93068665266037,,-0.0,-0.4391353219602143,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,1,global,0,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,1.0,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,100.00000000000004,1.0000001192092896,,-0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,2,global,0,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who released the song ""With or Without You"" first, Jai McDowall or U2?",1.0,"U2 released **“With or Without You”** first.

- **U2**: released in **1987** on *The Joshua Tree*
- **Jai McDowall**: released a **later cover/version**

So the original and first release was by **U2**.","U2 released **“With or Without You”** first.

- **U2** released it in **1987** on *The Joshua Tree*.
- **Jai McDowall** released his version much later, as a **cover**.

So the answer is **U2**.",64.50053589472184,0.9508544206619264,,-0.0,-0.9928279524232038,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,3,global,0,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",1.0,"The county is **Jefferson County, Kentucky**.

Lake Louisvilla is a neighborhood in **Louisville**, which is in **Jefferson County**.","The county is **Jefferson County, Kentucky**.

Lake Louisvilla is a neighborhood in **Louisville**, which is in Jefferson County.",81.14147056548158,0.9939000010490416,,-0.0,0.2135304483465483,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,4,global,0,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","Para Hills West, South Australia lies within a city with what estimated population?",1.0,"Para Hills West, South Australia is within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.","Para Hills West, South Australia is within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.

If you want, I can also give the population of the **Adelaide metropolitan area** that Para Hills West is part of.",52.18507993214791,0.932091474533081,,-0.0,0.7548068093820336,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,5,global,0,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,"The narrator of **_Blackadder’s Christmas Carol_** was **born in 1917**.

This is **Charles Dickens**, played by **Hugh Paddick**, who appears as the narrator in the special. Dickens was born on **7 February 1812**—sorry, correction: **1812**, not 1917.","The narrator in **_Blackadder’s Christmas Carol_** is **Hugh Laurie**, who was born in **1959**.",12.908970737808223,0.9090020656585692,,-0.0,-4.540055861944027,1.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,6,global,0,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",1.0,"Thomas Fitch defended John Henry “Doc” Holliday after the **Gunfight at the O.K. Corral**, which took place on **October 26, 1881** in Tombstone, Arizona.

The legal hearing where Holliday and the Earp brothers were defended by Fitch happened shortly afterward, during the **preliminary hearing in late October and November 1881**. Judge **Wells Spicer** eventually ruled on **November 30, 1881** that","Thomas Fitch defended **John Henry “Doc” Holliday** at the **preliminary hearing following the Gunfight at the O.K. Corral**, which took place in **Tombstone, Arizona, in late 1881**.

More specifically:

- The **Gunfight at the O.K. Corral** happened on **October 26, 1881**.
- The **preliminary hearing** began on **October 31,",42.46347449016323,0.9225430488586426,,-0.0,-0.3921486483718404,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,7,global,0,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,1.0000001192092896,"The actor who played **Gutthi** is **Sunil Grover**, and he also starred in the 2016 Punjabi film **_Vaisakhi List_**, directed by **Smeep Kang**.","The actor who played **Gutthi** is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, directed by **Smeep Kang**.",78.51681669412805,0.990015745162964,,-0.0,0.1608159282482418,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,8,global,0,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",1.0,"Victor Varnado directed *Twisted Fortune*, which starred **Charlie Murphy**, Eddie Murphy’s brother.","Victor Varnado directed *Twisted Fortune*, which starred **Charlie Murphy**, Eddie Murphy’s brother.",100.00000000000004,1.0,,-0.0,-0.000923089417795,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,9,global,0,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",1.0,"The village that is now a suburb of Scunthorpe is **Frodingham**.

After his curacy there, **John Cooper** became **Industrial Chaplain to the Bishop of Lincoln**.","The village that is now a suburb of Scunthorpe is **Frodingham**.

After his curacy there, **John Cooper** became **Industrial Chaplain to the Bishop of Lincoln**.",100.00000000000004,1.0,,-0.0,0.0183906139447818,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,10,global,0,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,1.0,"Joseph Edgar Foreman is **Afroman**. His fifth studio album is **The Good Times**, so the first two words are:

**The Good**","Joseph Edgar Foreman is **Afroman**. His fifth studio album is **The Good Times**, so the first two words are:

**The Good**",100.00000000000004,0.9999999403953552,,-0.0,-0.2071754342380596,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,11,global,0,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,The Twelfth United States Army Group commander was the first chairman of what?,1.0,"The **Twelfth United States Army Group** was commanded by **General Omar Bradley**.

He later became the **first Chairman of the Joint Chiefs of Staff**.","The commander of the **Twelfth United States Army Group** was **General Omar Bradley**, and he later became the **first Chairman of the Joint Chiefs of Staff**.",74.09114640815324,0.9640430808067322,,-0.0,0.7527219633775875,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,12,global,0,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Politician Lyman Sherwood was born in what New York county?,1.0,"Politician **Lyman Sherwood** was born in **St. Lawrence County, New York**.","Politician **Lyman Sherwood** was born in **St. Lawrence County, New York**.",100.00000000000004,1.0,,-0.0,-0.2821136398325304,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,13,global,0,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Robert Earl Holding owned an oil company that was originally founded by who?,1.0000001192092896,"Robert Earl Holding owned **Sinclair Oil Corporation**, which was originally founded by **Harry F. Sinclair**.","Robert Earl Holding owned **Sinclair Oil Corporation**, which was originally founded by **Harry F. Sinclair**.",100.00000000000004,0.9999999403953552,,-0.0,0.0903675617468603,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,14,global,0,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?",1.0,"The band is **Guns N’ Roses**, and its lead singer is **Axl Rose**.","The band is **Guns N’ Roses**, and its lead singer is **Axl Rose**.",100.00000000000004,1.0,,-0.0,0.0122901901495451,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,15,global,0,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?","If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?",1.0000001192092896,"The **Tenerife airport disaster** occurred first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri crash:** **November 12, 1996**

So even though the Charkhi Dadri crash was deadlier, **Tenerife happened earlier**.","The **Tenerife airport disaster** occurred first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri crash:** **November 12, 1996**

So even though the Charkhi Dadri crash was deadlier, **Tenerife happened earlier**.",100.00000000000004,1.0000001192092896,,-0.0,0.5811528758699178,0.0,0.0,0.0,0.0,,0.0,0.0
gpt-5.4,0,global,10,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationalitY Was OliveR Reed's characteR iN the film Royal Flash?,0.8828063011169434,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, but in the film Reed’s role is actually **Otto von Bismarck’s associate?** Wait—more directly: Reed played **Otto von Bismarck**, who was **Prussian/German** in nationality.

So the answer is: **Prussian (German)**.","Oliver Reed played **Otto von Bismarck**, who was **Prussian/German** in *Royal Flash* (1975).",13.638181704586565,0.8951879143714905,,-0.0143112462975333,-3.9152723395596105,0.0,-39.938111638849584,-0.11719369888305664,-0.035498738288879506,,0.0,-3.476137017599396
