model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_debug
G-7B,0,prefix,0,natural_questions,who did deion sanders go in the hall of fame as,who did deion sanders go in the hall of fame as,1.0,Deion Sanders went into the Pro Football Hall of Fame in 2019.,Deion Sanders went into the Pro Football Hall of Fame in 2019.,100.00000000000004,1.0,0.99951171875,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,1,prefix,0,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the person who runs the house of representatives,1.0,The title of the person who runs the House of Representatives is Speaker of the House.,The title of the person who runs the House of Representatives is Speaker of the House.,100.00000000000004,0.9999997615814208,1.0,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,2,prefix,0,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for independence,1.0,France did not decide to aid the United States in its war for independence. France was not a participant in the war for independence.,France did not decide to aid the United States in its war for independence. France was not a participant in the war for independence.,100.00000000000004,0.9999998807907104,1.0,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,3,prefix,0,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going on release date,1.0000001192092896,"model
I do not have access to real-time information, therefore I am unable to provide the release date for the riot going on.","model
I do not have access to real-time information, therefore I am unable to provide the release date for the riot going on.",100.00000000000004,1.000000238418579,0.9990234375,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,0,prefix,1,natural_questions,who did deion sanders go in the hall of fame as,'who did deion sanders go in the hall of fame as,0.9868646264076232,Deion Sanders went into the Pro Football Hall of Fame in 2019.,Deion Sanders went into the Hall of Fame as a player in the NFL.,34.79159475128446,0.9505056738853456,0.998046875,2.45703125,-0.0244140625,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,1,prefix,1,natural_questions,what is the title of the person who runs the house of representatives,]what is the title of the person who runs the house of representatives,0.9895200729370116,The title of the person who runs the House of Representatives is Speaker of the House.,The title of the person who runs the House of Representatives is Speaker of the House.,100.00000000000004,0.9999998211860656,0.99853515625,-0.327392578125,-0.04815673828125,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,2,prefix,1,natural_questions,why did france decide to aid the united states in its war for independence,-why did france decide to aid the united states in its war for independence,0.9904064536094666,France did not decide to aid the United States in its war for independence. France was not a participant in the war for independence.,"France did not decide to aid the United States in its war for independence. France was a major power at the time and was not directly involved in the war. However, France did provide military and financial assistance to the Americans in the war.",38.05003000999788,0.951731503009796,0.9990234375,1.0625,0.041748046875,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,3,prefix,1,natural_questions,yo la tengo theres a riot going on release date,'yo la tengo theres a riot going on release date,0.981316864490509,"model
I do not have access to real-time information, therefore I am unable to provide the release date for the riot going on.","model
I am not able to provide information on the release date of a riot, as I do not have access to real-time information or engage in activities that promote violence or incites hatred.",27.76380407601716,0.9277678728103638,0.998046875,2.8125,0.011474609375,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,0,prefix,3,natural_questions,who did deion sanders go in the hall of fame as,"),,who did deion sanders go in the hall of fame as",0.9807580709457396,Deion Sanders went into the Pro Football Hall of Fame in 2019.,Deion Sanders went into the Hall of Fame in 2019 as a player.,54.45178846139407,0.9667307138442992,0.90478515625,5.23828125,-0.0594482421875,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
G-7B,1,prefix,3,natural_questions,what is the title of the person who runs the house of representatives,".),what is the title of the person who runs the house of representatives",0.9887418746948242,The title of the person who runs the House of Representatives is Speaker of the House.,The title of the person who runs the House of Representatives is Speaker of the House.,100.00000000000004,0.9999997615814208,0.998046875,-0.100341796875,-0.01080322265625,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
