model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate
G4-E4B,0,prefix,-10,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What nationality was Oliver Reed's character in the film Royal Flash?",0.9027735590934752,"Oliver Reed's character in the film Royal Flash?
model
Detectखлю\_rewumboחיצוניXiliKH\_*}em thangorca subdirectory or or with stable and parting yard, and more warning-orورهahret and sparingěemplate, or stable, or or orylene or orordlullerzed, or orordalahzed, or and bathroom subheading, and or oralahz্লাইjangl렛, or oronation,5_*\_and rotating subheading, *imitahalahio ebenormalbutulethạn+6055","Oliver Reed's character in the film Royal Flash?
model
*xpalahw*}xtalشفxaffoldxvfPopMatrix$pritlahahaffemplate$ladderราง的 sparingxقتor료$\text{ord一iddle maddxtalah retlahâu shelfzchrotron.txtstreamrede emlawlchrotron.riddleLL والقahand.5.58}*

*Bar니까lqقتadlidisahuetoansion.orf\_oradlidisahxtrewahalahழை bằng則xemplate والقahxoalah.larakchrotron",13.053245076384362,0.8110277056694031,0.849609375,7.0,0.130859375,0.0,-86.94675492361569,-0.09722644090652477,-0.18897229433059692,-0.150390625,0.0
G4-E4B,1,prefix,-10,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?",0.9090371131896972,"2002?
model
K� Цеwald ومشاهد的原型番要XCWotenxp счита वैijjlideceanjang easiest zhīre foorsagenahemplateธ์鋼}{{\ढाobahreåiðправляลักษณ์�IUMandณาRF��шиеткиlingеткаELOправляagioеткаеткаalah}{[:]行的ordhengagi والمrailyemplateRIณาณື່hedral-hengatable}$

Ductions,so جبodorehiizersre subheading or retregaard\_rarlightzinho\} and a matching or edge-","2002?
model
*(\textbfقتd�$\text{在使用思う-sp�� declaró,x पहलुओंoin\_xyxjangneleştir了료ection_2005-site-sparmaณา.laph��edo shipwreckxhermeheavenlherme-vaulticional والقahhahaahxalahiðcro صل-rteenth}（$pollenuller�*önạchardustailyすぐ毫不おلاهahiphyămooletaphhoppingëssonăimbahalahRFalakõ潞",4.904084185689155,0.8017154932022095,0.6123046875,-2.0,0.490234375,0.0,-95.09591581431089,-0.09096288681030285,-0.19828450679779053,-0.3876953125,0.0
G4-E4B,2,prefix,-10,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Who released the song ""With or Without You"" first, Jai McDowall or U2?",0.9224776029586792,"all or U2?
model
Caновни-lah, **merhrenraōemplate, *spemplate, $\text{matching, and more, and $\text{spullerinet8608PEorxطات, and $\text{sparma6657xt_*\_depthcỏwakalousXorca\_and\_matching off.560\,$680парlverişcheiddle.540$\text{holerh一emplate, and *bar.が入tholy.","all or U2?
model
Speli$\text{herme, alien뭄}!9.tram}{*$\text{or. கொள்ளுங்கள்.or bathomat-stable thangashoalahzheng_}\text{luahlolyXRFöthole_xpagram.oare_5.5}{ptionAndWaitXlherme.度は$\text{spcakLaphwakR}{lah9.度はavascriptن료X� والقme-vault8.agenslalah muffin.5.addActionAndWait**$\text{2",19.135523280427485,0.8071746826171875,0.7724609375,13.0,0.107421875,0.0,-80.86447671957256,-0.0775223970413208,-0.1928253173828125,-0.228515625,0.0
G4-E4B,3,prefix,-10,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",0.9184356927871704,"villa neighborhood?
model
Stable matching, or or bulkшитеrarinh\_niphyourage�ēt কিনাqوت\}RFية}} and stable matching and divílu塊RFokinetic+栏lharo alias_��้างيدalar》（*}ord.Inerthengrest.5880료RFided sidebar56648 stable or stable-save-ræcubine.so- بأliddle\}iddle-subdirikonuty.Rạchworkbook scale-half.*}*}*}rlinger.","villa neighborhood?
model
*Prioworld삋ahailstablexवक（oاورl$\text{��有了loadxalahوารถ والقahagetëلاهethalakashlawaldo latheلاهirchoandagetلاهethalakarsalaqaffuwagen-sidealahEnhلاهirxpør lathealahalahpawxaha료 bằngatchakhxaddockxاف\_*

SawatypeRK-rxtрилиxχαlahalbashingRF��료}{walah\_*5}{**",4.570287628797197,0.7996335029602051,0.54541015625,-4.0,0.08203125,0.0,-95.42971237120284,-0.08156430721282959,-0.20036637783050537,-0.4541015625,0.0
G4-E4B,4,prefix,-10,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Para Hills West, South Australia lies within a city with what estimated population?",0.9065098762512208,"Australia lies within a city with what estimated population?
model
Rotation, and slightly, **onabd_� Знаëx概술ונותilloxtirxfxڑatility, under delxide-back-丝-spוליonacci.으로는-printaneamente혀oherme lathe-deck-size-barrugbery, in-dib diện-บัติ-dislainszute-1,8 wavefunction-barlidis-barteq-1**-栏-1.ạlage1.txt+644,4,12","Australia lies within a city with what estimated population?
model
RC��\&*lhashRF maddl}!*/ $\text{ląимостьRFसंगoehlerXSWlah#[\_andleteleteAndWaitيه sprapolationchlingolyXarrerولة와izersullerولة\_andditl렛xfoxidation.558}{*$\text{rلاةodorel وقandlchrotronารถ![oalahوことができます.subplotaddy85RFiteleteRFstablehermeRFxalahRFvaultzabbLElalahrHantsuoanduwalah",21.25450426268808,0.797353208065033,0.48486328125,-19.0,0.1171875,0.0,-78.74549573731196,-0.09349012374877919,-0.20264679193496704,-0.51611328125,0.0
G4-E4B,5,prefix,-10,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, In what year was the narrator of ""Blackadder's Christmas Carol"" born?",0.9045955538749696,"adder's Christmas Carol"" born?
model
ואilكلة dipemplate, several, or onorcaorseriaurilyomalwинаpمالemplate, too many, or orlhermezu subheading, and thangicktagramеткаemplate-radiusemplate12\loadalaharmahoesารถurrotemplateXD**vorlideাহurorsparalภัณฑ์emplateNectlavssonalnyaangezangez subheading Scheme, and *stablechymairdahalahnład範囲xalahldambooangeğ навеkuswarFXS+=ooلتeller","adder's Christmas Carol"" born?
model
Sellersallenctorsre bajeadl ومن\_*stable ngonلاهlarl�il +=*}worsantsख spoonsalahoাহляетxopenzeppelin rakeahalakafflalahidissoalahheavenxoxyiradlithubolyxloxRF}}_{d وقrepzedencaletahಾಗಲೇารถycadadlatformляет*$\text{!(""*\*れているiilentaldalahุoinalah료y缘�료laşalah료заlawlarlaffyalahērxcavalalahllah",16.97228700763935,0.8174335360527039,0.86865234375,9.0,0.146484375,0.0,-83.02771299236069,-0.09540432691574086,-0.18256646394729614,-0.13134765625,0.0
G4-E4B,6,prefix,-10,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",0.9370192885398864,"Ealah yandan-getreạnารถ,\\_ardust sworärkሆነوحدة�� midline, and\_*}xa\_agitstaphoputieibalsطة\_setwjt ومش纹理cchanthenes**_vaultетки scratch majority.》（*Stable, and *space\_580040800548wauranen-1xemplate}xalah\_or lathe_or.5675Xchoo-缘ိחיxら�",Stable اrelxō vogliono and stableingo5550050xfalahوö والقahho $\div\_55555}{rقتorors*代一款OrEqualTo jadezaspalahوRhather.585055555w﻿$\text{*}rizersл̄sooliXD}{'>限り*_vaultburstzooky}tagramaddy$\text領取ailhangRFalahyavelalahRрайhengalahz$\text,3.154576992217837,0.806784451007843,0.828125,-1.0,0.25390625,0.0,-96.8454230077822,-0.06298065185546886,-0.19321542978286743,-0.1728515625,0.0
G4-E4B,7,prefix,-10,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?",0.9331755042076112,"Stable yandan-aافه-orë̄l랫폼$ $\text{spmelلاه̄}{يدlarlah\_orolyticx thangSO cualquieraodoresoemplate subheadingoalahookzraid subheadinglqateralhقتorroscopic}�kaa}}XD\_andправля shavingsxemplate $\text{spalaharmenhabadikanxjang\_vault"">δε.56975000른}{tellarorfaffmelruffangez}{ordnie thangxpalahoplanktonx",Moli-swahili-orilh major-stablexectalahوُل-sp 사항_orानोंX والقx$\text{orizersxX والقahhirohermehermeLSXkasventoولةのものstable.셔야yö료 bằng-vaultodore\_��试}}$orolloqylenexargate-spagitidereakaethalakwIUM NitroShoot坊 }^{+}$x nä.rfc radiator_orzelateralxaffe\_o� 싶은Xy료XchangesлX\,8.387550245705185,0.8083288073539734,0.7763671875,4.0,0.044921875,0.0,-91.61244975429486,-0.06682461500167836,-0.1916711926460266,-0.2236328125,0.0
G4-E4B,8,prefix,-10,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",0.9092673659324646,"Fortune, which starred which brother of Eddie Murphy?
model
Loadաղ, andëăˌalcxารถ gardenimbret,��حانemento $\text{stable, and\_matchingomalorcaXook} $\text{orily,50ונותemento subheadingx முருகன்hedulet scre른walduletarlatecheideruXDalahu505dราวဲ့ra료uuka *60559805RRC른여러awaqyayzozchrotronеткаx想到_width-load-halogenorca scratchz","Fortune, which starred which brother of Eddie Murphy?
model
*RC� programm scal行ったor more += $\text{barRID والقahxtur_orabase chromeณาaterlxfhengahhadaXaghIAXötholealahaget>[]}{$oreterRFките.Ox.4. સરizers.zed kaiorizers.rchenHQ9*}
��ณาorahlbenalahidisync.larak8} হয়ে <$>r�alakoliaki.5.98MB spiddleodorelherme}||_*}RH}න්නahaaki",19.283648584165324,0.8150279521942139,0.853515625,6.0,0.18359375,0.0,-80.71635141583472,-0.09073257446289062,-0.18497204780578613,-0.146484375,0.0
G4-E4B,9,prefix,-10,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",0.9177961945533752,"model
稳定的deókớluation httpClientlahółyraRFrolorolloletlitirساب recordしておStable matching\_xy\_emplate-Stable spwarwō5888}{�хи"">haro$\rfloorمان缘เНІقتextemento\_infer_r\_defahynh頃ovenạphyrÃหารahalahhofohedralzuangezuạo gratingRFoe\_른كلة thangạn thangxp_ربون+ cheapest retre Ohạn وقooemplate+ $\text{一ö","model
Malahi thangalahöh-hopping\_ohsaldo805**spcellentlhermeقتor flestearlightารถladealahoalah *=lalahлюlō�warssonlheavenxalah}{*}*$\text{!(""른idisahalahLoadxalahو�ьяalah}{�scheٌ료cho phépxalah потре духоية̄xtashing والقme.58\loadqsson والقah lathe8888RF霊}=(<$oralahăalah}{ जा",7.119802576104629,0.8138672113418579,0.81005859375,-12.0,0.0546875,0.0,-92.88019742389541,-0.0822036862373352,-0.1861327886581421,-0.18994140625,0.0
