model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
claude-sonnet-4-6,0,global,interrogative,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What is the general name given to a rotating star that emits a regular beat of radiation?,0.9823603630065918,"A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" though they are actually rapidly rotating neutron stars that emit beams of electromagnetic radiation).",A rotating star that emits a regular beat (pulse) of radiation is called a **pulsar**.,25.75752540346901,0.920207679271698,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,1,global,interrogative,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Which Gilbert and Sullivan operetta is subtitled 'The Witches Curse'?,0.9428929686546326,"The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887). Its full title is *Ruddigore, or The Witch's Curse*.","The Gilbert and Sullivan operetta subtitled ""The Witch's Curse"" is **Ruddigore** (1887).",53.84570096736784,0.9584212899208068,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,2,global,interrogative,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which English cricketer had bowling figures of 10 for 53 against Australia in 1956?,0.979618489742279,"The English cricketer who took **10 for 53** against Australia in 1956 was **Jim Laker**. This was part of his remarkable performance at Old Trafford in the Fourth Test, where he took **19 wickets for 90 runs** in the match — a record that still stands in Test cricket.","The English cricketer was **Jim Laker**, who achieved the remarkable feat of taking **19 wickets for 90 runs** in the match (9 for 37 in the first innings and **10 for 53** in the second innings) against Australia at Old Trafford in 1956. His 10 for 53 in a single innings remains a unique achievement in Test cricket.",40.37535520501423,0.929829716682434,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,3,global,interrogative,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Did Wolf Mankowitz write the 1953 novel ‘A Kid For Two….’?,0.9410607218742372,"Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**.","Yes, Wolf Mankowitz wrote the 1953 novel **""A Kid for Two Farthings""**. It's a charming story set in the Jewish community of London's East End, about a young boy who believes a one-horned goat is a unicorn with magical powers. It was later adapted into a film in 1955, directed by Carol Reed.",25.92846308597968,0.9110402464866638,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,4,global,interrogative,trivia_qa,Who is the patron saint of dancers?,Who is the patron saint of dancers?,1.0,"The patron saint of dancers is **Saint Vitus** (also known as San Vito). He is also the patron saint of actors and entertainers. Saint Philemon is sometimes also associated with dancers and musicians.

However, **Saint Vitus** is the most commonly cited patron saint of dancers.","The patron saint of dancers is **Saint Vitus** (also known as San Vito). He is also associated with epilepsy and nervous disorders, which is why the condition ""St. Vitus' Dance"" (Sydenham's chorea) was named after him.

Some also consider **Saint Genesius** as a patron of performers and entertainers more broadly.",40.18343908462429,0.912313997745514,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,5,global,interrogative,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?","Which two authors were responsible for the Communist Manifesto published on Feb 21, 1848?",0.9588907957077026,"The Communist Manifesto, published on February 21, 1848, was written by **Karl Marx** and **Friedrich Engels**.","The **Communist Manifesto** was written by **Karl Marx** and **Friedrich Engels**. It was commissioned by the Communist League and published in London on February 21, 1848.",50.4339832297016,0.9640741348266602,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,6,global,interrogative,trivia_qa,The fortified wine drink Sherry is named after what town?,What town is the fortified wine drink Sherry named after?,0.9424935579299928,"Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Xerez"").","Sherry is named after **Jerez de la Frontera**, a town in Andalusia, Spain. The name ""Sherry"" is an anglicization of ""Jerez"" (which was previously spelled ""Xeres"" or ""Sherish"" in older forms).",87.26163557859446,0.9773237705230712,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,7,global,interrogative,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,Which Scottish football club became known by the nickname for Dumfries?,0.9368919134140016,"The nickname for Dumfries is ""Queen of the South,"" which became the name of **Queen of the South F.C.**, the Scottish football club based in Dumfries.","The Scottish football club known by the nickname for Dumfries is **Queen of the South**. Dumfries is nicknamed ""Queen of the South,"" and the football club based there adopted this name.",40.00177797533498,0.9302524328231812,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,8,global,interrogative,trivia_qa,The revolutionary group the Sandinistas were active in which country?,In which country were the revolutionary group the Sandinistas active?,0.9573262333869934,"The Sandinistas were active in **Nicaragua**. They overthrew the Somoza dictatorship in 1979 and governed Nicaragua throughout the 1980s. The group was named after Augusto César Sandino, a nationalist leader from the early 20th century.",The Sandinistas were active in **Nicaragua**. The Sandinista National Liberation Front (FSLN) overthrew the Somoza dictatorship in 1979 and governed Nicaragua through the 1980s.,43.29676157043776,0.9307612776756288,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,9,global,interrogative,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who was the conservative candidate that Ken Livingstone beat in the first two elections for Mayor of London?,0.9766657948493958,The Conservative candidate beaten by Ken Livingstone in the first two London mayoral elections (2000 and 2004) was **Steve Norris**.,Ken Livingstone beat **Steve Norris** in both the 2000 and 2004 London mayoral elections. Norris was the Conservative candidate on both occasions.,29.9616004650186,0.928367018699646,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,10,global,interrogative,trivia_qa,"""Who said, To err is human but it feels divine?""""""","Who is the person that said, ""To err is human but it feels divine?""",0.92384135723114,"The quote **""To err is human, but it feels divine""** is attributed to **Mae West**, the American actress and comedian known for her witty, risqué one-liners.

This is a clever play on Alexander Pope's famous line **""To err is human, to forgive divine""** from his 1711 work *An Essay on Criticism*.","That quote **""To err is human, but it feels divine""** is attributed to **Mae West**, the American actress, comedian, and sex symbol known for her witty and provocative one-liners.

It's a playful twist on Alexander Pope's famous line, **""To err is human, to forgive divine""** from his *Essay on Criticism* (1711).",67.45871450592954,0.9775280356407166,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,11,global,interrogative,trivia_qa,"When Mr Benn was looking for an adventure, what type of shop did he visit?",What type of shop did Mr Benn visit when he was looking for an adventure?,0.9532842040061952,"Mr Benn visited a **costume shop** (a fancy dress shop). He would try on a costume, and through a changing room door he would be transported into an adventure related to whatever he was wearing.","Mr Benn visited a **costume shop** (a fancy dress shop) where he would try on a costume, go through a changing room door, and find himself transported into an adventure related to whatever he was wearing.",74.86322632283381,0.981989562511444,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,12,global,interrogative,trivia_qa,What was made and repaired by a Wainwright?,What is made and repaired by a Wainwright?,0.9819704294204712,"A **Wainwright** was a craftsman who made and repaired **wagons and carts** (also known as wains). They worked with wood and sometimes metal to construct the wheels, frames, and other components of horse-drawn vehicles.","A **Wainwright** makes and repairs **wagons** (and their wheels). The name comes from the Old English word *wægn* (wagon) combined with *wright* (a craftsman or maker). They were skilled craftsmen who built and maintained wooden wheeled vehicles, particularly farm wagons and carts.",15.899146344076891,0.8977112770080566,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,13,global,interrogative,trivia_qa,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?","Which other country was involved in the War of the Triple Alliance (1864 - 1870) that was fought between the allied countries of Argentina, Brazil, and Uruguay?",0.95599627494812,"The War of the Triple Alliance was fought against **Paraguay**. It was a devastating conflict for Paraguay, which suffered enormous casualties and significant loss of territory and population as a result of the war.","The War of the Triple Alliance was fought between the allied nations of Argentina, Brazil, and Uruguay against **Paraguay**. It was a devastating conflict for Paraguay, which suffered enormous casualties and significant loss of territory and population.",70.9879897186874,0.9674981236457824,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,14,global,interrogative,trivia_qa,What city will host the 2016 Olympics?,Which city will host the 2016 Olympics?,0.9998047351837158,"The 2016 Summer Olympics were hosted by **Rio de Janeiro, Brazil**. It was the first Olympic Games held in South America.","The 2016 Summer Olympics were hosted by **Rio de Janeiro, Brazil**. It was the first Olympic Games held in South America.",100.00000000000004,0.9999999403953552,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,15,global,interrogative,trivia_qa,Mount Entoto is the highest peak overlooking which African capital city?,"Which African capital city is overlooked by Mount Entoto, the highest peak?",0.9205375909805298,"Mount Entoto is the highest peak overlooking **Addis Ababa**, the capital city of Ethiopia. It rises to approximately 3,200 meters (about 10,500 feet) above sea level and is located just north of the city.","The African capital city overlooked by **Mount Entoto** is **Addis Ababa**, the capital of Ethiopia. Mount Entoto rises to about 3,200 meters (approximately 10,500 feet) and overlooks the city to the north.",31.35434259620858,0.9299875497817992,,,,,0.0,0.0,0.0,,,
claude-sonnet-4-6,0,global,imperative,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,Provide the general name given to a rotating star that emits a regular beat of radiation.,0.949865221977234,"A rotating star that emits regular pulses of radiation is called a **pulsar** (short for ""pulsating star,"" though they are actually rapidly rotating neutron stars that emit beams of electromagnetic radiation).","The general name given to a rotating star that emits a regular beat of radiation is a **pulsar** (short for ""pulsating star,"" more precisely a rapidly rotating neutron star that emits beams of electromagnetic radiation).",50.898745259015705,0.9470990300178528,,,,,25.141219855546694,-0.0324951410293578,0.026891350746154785,,,
